{'短评内容': '环境不怎么样，被子睡着不舒服', '短评打分': 5}
{'短评内容': '隔音效果不好', '短评打分': 4}
{'短评内容': '配置不怎么样，环境算是住过酒店里偏差的了。', '短评打分': 4}
{'短评内容': '整体还行，还没入住，期待。。', '短评打分': 5}
{'短评内容': '有停车的地方', '短评打分': 5}
{'短评内容': '隔音不好 其他都很好', '短评打分': 5}
{'短评内容': '距离新模范马路地铁站挺近的', '短评打分': 4}
{'短评内容': '宽敞，2个套间 2个卫生间', '短评打分': 5}
{'短评内容': '还行，离火车站不很远，约2公里，装修有点旧，但服务还行。', '短评打分': 5}
{'短评内容': '好评。京东的服务越来越多了', '短评打分': 5}
{'短评内容': '还可以，老板热很好，赞一个，谢谢', '短评打分': 5}
{'短评内容': '不错，服务很好，环境也不错离火车站也不远', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '不错，房间挺大的，也很干净，价格便宜，性价比高', '短评打分': 5}
{'短评内容': '不错，房间挺大的，也很干净，价格便宜，性价比高', '短评打分': 5}
{'短评内容': '很好啊，', '短评打分': 5}
{'短评内容': '不好不好不好不好意思是什么样了我在你身边吗我是真的不知道我现在还没有睡觉吗你说什么就是我我就是这么任性啊', '短评打分': 3}
{'短评内容': '这个酒店挺差的  第一天晚上的房间里面的地板是凹进去的 ，窗子是一层玻璃外面是墙然后再一层玻璃。第二天去去前台换了间房，比第一晚好了一些。怀疑酒店故意把差的房间给网上的客人。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不怎么样，空调不行，洗漱用品不全，遥控器坏的，床头插座坏的。', '短评打分': 2}
{'短评内容': '还不错，地理位置相当好', '短评打分': 4}
{'短评内容': '该酒店内外卫生都不太好，希望改善!', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '服务一般，酒店房间异味较大。', '短评打分': 3}
