{'短评内容': '酒店位置不错，在洋人街正中心。就是老旧了一点，其他设施都挺好，应该是翻新过…就是整体给人感觉内部跟大门的招牌不太搭…', '短评打分': 4}
{'短评内容': '嗯、还不错… 附近酒吧很多', '短评打分': 5}
{'短评内容': '房间环境不够卫生整洁。', '短评打分': 3}
{'短评内容': '还不错滴', '短评打分': 5}
{'短评内容': '位置不错。房间小，卫生间下水是堵的。洗澡水都流到房间了', '短评打分': 1}
{'短评内容': '位置还可以，环境一般吧，一分钱一分货。', '短评打分': 4}
{'短评内容': '可以看复兴路步行街街景，睡觉很安静，卫生好', '短评打分': 5}
{'短评内容': '就在古城的主干道上，真好。酒店没电梯是一个问题。除了没电梯以外，其他都很好。这个价格住在这个位子，简直太值了', '短评打分': 5}
{'短评内容': '各方面都很好，房间很大，就是卫生间有点陈旧！', '短评打分': 5}
{'短评内容': '位置不错，就在洋人街旁边，但卫生间太脏，太旧', '短评打分': 3}
{'短评内容': '三个赞，古城中心的中心，10.1的价格也不贵', '短评打分': 3}
{'短评内容': '交通便利，就在古城中心，去哪里都方便，就是卫生间太旧太脏', '短评打分': 3}
{'短评内容': '房间一的般吧，有点旧，不过周边环境还是可以的，离步行街近', '短评打分': 3}
{'短评内容': '蚊子狂轰滥炸，卫生间破烂不堪！', '短评打分': 3}
{'短评内容': '不如想象中那么好，很一般', '短评打分': 4}
{'短评内容': '先说优点：1、价格便宜，2、地理位置没得说，就在洋人街口子上，3、带阳台，感觉不错，只是带阳台就靠主街，有些吵，不过还是算优点吧，4、房间还有电脑，卫生纸的质量也很好！再说缺点：1、阳台门是坏的，只能开一边，进出阳台都只能侧着身子，而且门上雕花没有纱窗或者玻璃遮挡，噪音蚊子都容易进房间，2、浴室排水简直是渣，中间永远有一滩没脚背的水排不出，3、服务态度和水平有待提高，想找前台多要几个衣架都没有，试', '短评打分': 3}
{'短评内容': '位置非常好，设施一般', '短评打分': 4}
