{'descr': '不错不错', 'star': 5}
{'descr': '有小型停车场', 'star': 4}
{'descr': '房间干净，服务热情，周边环境好，很安静。交通便利。', 'star': 5}
{'descr': '离中山医院很近', 'star': 5}
{'descr': '无语，环境差点，可能离着医院近，所以价格也贵', 'star': 2}
{'descr': '在这里住好几次了', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '环境一般，设施一般。', 'star': 3}
{'descr': '离中山医院比较近，附近有复旦大学医学院等，还有好多医院。入口要走一段路，距离东安路地铁站比较近。总体还可以', 'star': 4}
{'descr': '服务态度很差，以后入住要想想。', 'star': 5}
{'descr': '卫生很一般，窗帘都破了，卫生间太小，不会再来了', 'star': 3}
{'descr': '房间太小，没有活动空间。电水壶烧开后不能自动断电，很危险，安全隐患较大，建议店家尽快整改。', 'star': 3}
{'descr': '前台态度不好，大清早就有人敲门要打扫卫生', 'star': 2}
{'descr': '没看到服务不好的，都挺好', 'star': 5}
{'descr': '睡了一觉 全身有红色小包包。', 'star': 3}
{'descr': '房间还好，日式的迷你小卫生间，地段不错，斜对面就是家乐福，很方便。', 'star': 5}
{'descr': '宾馆还不错就是卫生间小了点', 'star': 3}
{'descr': '环境不错，比较安静，卫生间太小了，大概3M2不到。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '上海枫园宾馆，地处徐家汇斜土路和东安路，临近上海复旦大学附属肿瘤医院，交通方便，经济实惠，而且还有停车位，非常人性化的宾馆，值得推荐！', 'star': 5}
{'descr': '位置很好，很安静，房间有大有小，好在我们住的这间够大，外面还可以晒衣服。', 'star': 5}
{'descr': '住了两晚，整体上还可以，不过价格能实惠点就好了', 'star': 5}
{'descr': '酒店环境算好!交通也还方便.只是居然没有小的便利店!连买瓶水都得到外面家乐福去.', 'star': 5}
{'descr': '还不错，满意吧，下次还会去，环境也还可以，价格再优惠点就好了', 'star': 5}
{'descr': '性价比较高~出行方便，算是在市中心难得一见的不错酒店了！', 'star': 5}
{'descr': '比较安静，卫生条件也不错。我是第二次来此酒店住宿了。', 'star': 5}
{'descr': '在那附近算是物廉价美的酒店了    环境 我们住的那还不错                              ，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '不错，性价比很高。但是，觉得附近吃饭的地方不多。', 'star': 5}
{'descr': '住宿条件不错，很安静，下次还来这里订房。', 'star': 5}
