{'短评内容': '高端大气上档次', '短评打分': 5}
{'短评内容': '整体还可以，没有很特别的印象', '短评打分': 4}
{'短评内容': '早餐很普通，有停车场，洗澡水温不好控制', '短评打分': 5}
{'短评内容': '没吃早饭', '短评打分': 4}
{'短评内容': '还不错，位置也很好找', '短评打分': 5}
{'短评内容': '环境确实不错哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 5}
{'短评内容': '装修风格独特！卫生条件一般！一进门就有股难闻的味道……有待提高', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '...位置好', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '到附近去办事，在携程找了一圈，感觉这是周围较好的酒店了。酒店在一写字楼上的26、27层，停车方便，前台服务很热情，早餐也凑合。房间很大，设施还行，就是像以前评论的一样卫生间有味。建议在重庆这样潮湿的地方不要用地毯，如果维护不好味道很差。另外，酒店目前没有信用卡的预售，只能直接刷消费，还要另付现金的押金，比较少见。本来出门就很少带现金，这次2两个人才把押金凑齐。', '短评打分': 4}
{'短评内容': '非常适合看演唱会  推荐这家  在重庆奥体看演唱会绝配', '短评打分': 5}
{'短评内容': '房间一般，床很软，早餐品种有点少', '短评打分': 3}
{'短评内容': '要看演唱会，地理位置方便，门口都是公交站', '短评打分': 3}
{'短评内容': '超级不满意，300多住这个酒店，无线慢的要死，基本用不了，我定的房间，酒店私自给了别人，我去的时候，只有一个房间，一进去臭死了，一股下水道的味道！我和朋友睡到四点就醒了，被臭醒的！酒店服务阿姨来打扫了一次，还是臭！以后绝不再入住！300多，我建议大家可以去其他酒店，住七天连锁酒店都比这个强！失望！第一次在携程写差评！', '短评打分': 2}
