{'短评内容': '距离市区有点远', '短评打分': 4}
{'短评内容': '早餐一般，位置有点偏。自驾可以，离高速口近', '短评打分': 4}
{'短评内容': '豪华气派！有时间再来入住！', '短评打分': 5}
{'短评内容': '房间很好，设施完善，卫生间条件很好，离高速很近。有一个问题，在携程上定的酒店，但是无法在酒店开专票，只能在网上补开，希望酒店能解决一下。太不方便。', '短评打分': 5}
{'短评内容': '十分好，舒适！', '短评打分': 5}
{'短评内容': '前台接待很好，办理入住快。电梯出门后有防火门，要是有个指示牌更好。卫生有待加强，洗浴间的地板大理石变色导致看起来很脏。床上用品尽量用含棉量高点的，毕竟是贴肤。建议把房间进行一次除四害，我发现有小宠物。', '短评打分': 5}
{'短评内容': '不太理息', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '饭店大堂很大，但是装修不是很豪华，整个总台只有一个人，房间也比较大，装修一般，豪华型酒店真的很勉强，最多就是高档一些的快捷酒店了，周围都在修路，尘土飞扬，大货车很多，晚上睡觉比较吵，不过酒店卫生很干净，床很大，床垫睡的很舒服，洗澡水很大，洗的也比较，虽然酒店周围没什么吃的玩的，但是大概4.4公里有个购物中心，吃喝玩都有，开车过去很方便。', '短评打分': 4}
{'短评内容': '酒店设施很齐全，服务热情', '短评打分': 5}
{'短评内容': '这是一家不错的酒店，而且价位非常合理，物超所值！', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '位置偏僻', '短评打分': 4}
{'短评内容': '很好！朋友评价很好！就是没含早餐！估计是我没看清楚！', '短评打分': 5}
{'短评内容': '空调没暖风 室外气温8度 屋里已经冻成狗 洗澡也没有热水 只有温水 洗完就感冒了 周边环境超级差 脏的要死满天都是土  再也不想来了……', '短评打分': 2}
{'短评内容': '早餐少', '短评打分': 5}
{'短评内容': '這家酒店價格算南寧還不錯的酒店 就在繞城高速路下來不遠 如果你們不進南寧 是個好選擇 但酒店外面是荒涼一片的保稅區 房間還可以 就是中餐廳超貴 也竟然沒有菜單menu 只給你一張紙 上面有的食材打勾 要一個一個問價格 點菜的人還要再出門問 有點像黑店餐廳', '短评打分': 5}
{'短评内容': '硬件和餐饮很不错，就是地方偏了点，方向是靠近机场，但是过去花的时间和市区差不多。', '短评打分': 5}
{'短评内容': '酒店很新，软硬件都不错，服务佳，床大而舒适，房内控制基本是触摸的，挺时尚的', '短评打分': 3}
{'短评内容': '酒店服务不错!但地理位置不是很佳!打车很不方便!', '短评打分': 3}
{'短评内容': '服务很好，酒店设施也很时尚和新颖，值得推荐，但酒店咖啡厅的自助晚餐太贵了，很少品种的菜式，却要98元/位，酒店离市区也比较远，去一趟最近的青秀山公园，出租车费都要40元。', '短评打分': 5}
