{'短评内容': '房间环境很好，床很大', '短评打分': 5}
{'短评内容': '早餐没什么吃食', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '第二次入住。又赶上马拉松。缘分呢。房间蛮干净的。保洁阿姨很客气', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '很好，非常棒！', '短评打分': 5}
{'短评内容': '环境差，态度差。朋友帮忙定错了日期，没去入住，他们也没联系到订单人。态度还不好，不解释，只住了一天就走了', '短评打分': 2}
{'短评内容': '酒店环境不错，非常舒适，服务态度很好', '短评打分': 5}
{'短评内容': '位置很好找，房间很大很干净，服务也很贴心，距离景点也不远，周边生活设施也很完备，', '短评打分': 5}
{'短评内容': '交通还算方便。', '短评打分': 3}
{'短评内容': '就一个字，棒！', '短评打分': 5}
{'短评内容': '帮我爸妈订了两个晚上，结果前台说只订了一晚，让我妈又付了一天，打电话去确认，前台说弄错了，让我联系携程退一天款，但不退我妈妈的现金。这是前台的错误，凭什么让我们客户来买单，更何况关携程什么事？坚决没有同意，因为有每天都有差价，现金肯定要比我事先预付的要贵，我也是服了', '短评打分': 4}
{'短评内容': '性价比高，服务和酒店内部环境都不错', '短评打分': 5}
{'短评内容': '酒店还是挺干净的，入住的高级大床房，就是卫生间热水出的比较慢，而且洗澡时间久了会出现间歇性断水，变成冷水，吓了一跳，希望日后能有所改善，前台服务态度很好，也很热情！总体还是比较满意的一次入住。', '短评打分': 5}
{'短评内容': '地理位置还行，房间大小刚好，设施齐全，隔音效果还不错，就是电视机有点老旧，不过频道还是挺全的，如果前台能够提供一些水果刀之类的用品就更好了。', '短评打分': 5}
