{'descr': '环境优美，老板人不错，很有创意的设计！下次一定还要来！', 'star': 5}
{'descr': '房间很干净，周围环境也很安静。', 'star': 5}
{'descr': '房间还可以，如果有冰箱和微波炉，那就更加完美啦。', 'star': 5}
{'descr': '离夫子庙比较近', 'star': 5}
{'descr': '带着父母和孩子出行，这种公寓式酒店有两张大床，能住下所有人，就在夫子庙旁边，交通十分便利，干净卫生。', 'star': 4}
{'descr': '可以', 'star': 5}
{'descr': '在居民小区内，商住两用楼，离夫子庙很近，出行也方便，附近有地铁，门口就有公交车站，小吃也很多，家庭房内设施一般，房间算大的，拖老带小实惠住住蛮好的', 'star': 4}
{'descr': '服务态度好，超级棒，非常适合四五个人一起住', 'star': 5}
{'descr': '服务态度好，超级棒', 'star': 5}
{'descr': '很大、两室两厅一厨一卫，位置不错，很干净，没有异味，12楼通风很棒，三面采光，停车过夜要30，热水器设定到75度4人洗澡够用，有洗衣机、微波炉、冰箱蛮好，净水器坏掉的。', 'star': 5}
{'descr': '交通出行地理位置的确很棒！但是房间真的一般般，和描述的有差距，面积也不到，和图片也不一样，窗帘很薄晚上外面灯光亮的睡不着，靠近马路又很吵，休息不好，总体来看就出行比较喜欢，中评！', 'star': 4}
{'descr': '房间住1504，第一次用密码开门!', 'star': 4}
{'descr': '预订时选择了各种条件，搜索结果就是他家！看图片很心宜。到的很晚，有老板亲自下楼来接我们。这是个高档小区，很安静的，小区临近夫子庙地铁站，门口就是公交站去哪里都特别方便。楼下还有个超市很便利。房间很大的，很干净。门是密码锁，猫眼上装了盖子，很安全。如果下次来，还会住这里。性价比很高的。', 'star': 5}
{'descr': '挺好的', 'star': 4}
{'descr': '酒店离夫子庙很近，地铁3号线出来，隔壁就是。居家式的设施，就像到了家的感觉，很舒适。卫生状况尚可。就是洗澡时有些渗水。下次如再赴南京，还想光顾此家。', 'star': 5}
{'descr': '还是不错的，就是厨房是摆设，没有灶头，不能自己做饭', 'star': 5}
{'descr': '不错，各种设施齐全。', 'star': 3}
{'descr': '还不错，有一点不太好就是房间做卫生特别晚~我们自己做了卫生了清洁人员才过来。其他都还行。', 'star': 5}
{'descr': '挺不错的，干净舒适，以后来还会选择的。价格再优惠些就好啦！', 'star': 5}
{'descr': '不错的酒店！推荐！位置很好，离夫子庙很近！', 'star': 5}
{'descr': '挺不错的酒店，干净卫生，房间大，房内设施也比较齐全，无线网比较给力。交通方便，小区安保措施也比较好，进出都有门禁。门口就有较大的停车场，停车方便，过夜一晚15元。老板服务态度挺好。以后如果再开车去南京，还是会选择入住。提个建议，希望房间内能放置一次性拖鞋，这样在卫生方面就更好一些了。', 'star': 5}
{'descr': '在银行门口停车，一次5元，一夜20，门口马路单行线，切勿错过。房间比一般宾馆要大，但得房率不高，实际感觉比标示要小一些。可以开发票，但隔日才能拿到。周边吃饭娱乐设施比较方便，位于夫子庙旅游区旁边。老板态度不错，值得表扬。适合家庭旅游，尤其一家三口居住更方便。', 'star': 5}
{'descr': '交通方便，周边景点很多。房间很大，设备也很完备。但是就是没一般酒店的传统服务，房间打扫很突然，估计是酒店式公寓的特色吧。总体很好~', 'star': 5}
{'descr': '公寓式酒店。有洗衣机，冰箱，电磁炉。全套三星电气。直饮水是亮点。缺点不像一般酒店随时有服务员。总体不错。下次还会入住。', 'star': 5}
{'descr': '还行，除了没有电话，位置有点小偏，离夫子庙站牌很近，离地铁远了点', 'star': 5}
