{'短评内容': '服务态度很好，订酒店方便。', '短评打分': 5}
{'短评内容': '好。。。', '短评打分': 5}
{'短评内容': '房间大，环境干净，周围吃饭方便，不错的选择', '短评打分': 5}
{'短评内容': '环境不错的。', '短评打分': 1}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '酒店挺大，环境一般，卫生间不好', '短评打分': 5}
{'短评内容': '还不错，楼高，设施还不错', '短评打分': 5}
{'短评内容': '房间较大，床也大，卫生一般。', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店稍旧，不过床上用品还可以，乳胶枕不错，位置方便！', '短评打分': 5}
{'短评内容': '第二次住这个酒店了，整体来说还不错。早餐一般般吧，但够吃。洗漱等东西不是很全，不像四星酒店。首日入住送水果还是我打电话要的，不积极。地角很好，离地铁站也不远，周围吃饭也很方便。', '短评打分': 5}
{'短评内容': '一般化，有需要提升的地方，尤其不该23点多打电话给客人要拿房间的东西', '短评打分': 3}
{'短评内容': '环境不错，很干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，早上打车不易', '短评打分': 3}
{'短评内容': '不错吧，性价比高', '短评打分': 5}
{'短评内容': '环境不错，设施有些老了', '短评打分': 5}
{'短评内容': '酒店环境 设施 服务都不错 还送了水果 房间较大', '短评打分': 5}
{'短评内容': '出差都住这里…………………………', '短评打分': 4}
{'短评内容': '科技园出门方便', '短评打分': 5}
{'短评内容': '周边吃饭的很多！性价比超高的一家酒店！', '短评打分': 4}
{'短评内容': '房间设施老久了，价格倒是很便宜！', '短评打分': 3}
{'短评内容': '性价比还可以，虽然有点旧，但这价格还算可以，就是不知道说返现的50块钱什么时候返', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '住过好多次了，性价比来说不错，不过早餐不太好，而且前台不太会说英语', '短评打分': 5}
{'短评内容': '很不错，早餐丰富，服务态度好，周边打车有点不方便，不过这不属于酒店原因', '短评打分': 5}
{'短评内容': '幽静、大气，只是成色稍旧一点儿，还需改观', '短评打分': 5}
{'短评内容': '酒店不错，稍微有点陈旧，洗手间有点臭味。', '短评打分': 3}
{'短评内容': '这酒店糟透了！！！我在网上预订的龙翠专享房间第一天去由于前台服务没有认真看订单给我开的是普通房，第二天我和网站确认后找前台给我换了一间所谓的“舒适大床房”除了房间大一点没有任何舒适可言，洗手间有尿味，床很硬，空调很吵，枕头很软，还不如普通房的功能床垫和枕头，睡的腰酸背痛后第三天我要求换回原来的普通房，酒店给我又换了原来楼层的房间，一进房间发现茶杯没洗，一个杯子是喝牛奶的一个是喝咖啡的污渍清晰可见，', '短评打分': 1}
{'短评内容': '总的来说房间挺好的，不过床比较硬，早餐不是特别丰盛。', '短评打分': 5}
{'短评内容': '或许深圳的酒店贵，房间有点简陋，卫生间也一般。出行倒是方便的。', '短评打分': 1}
{'短评内容': '早餐選擇算多樣, 口味也還可以, 只是等電梯時間會比較久', '短评打分': 5}
{'短评内容': '距離地鐵要走五分鐘, 附近吃的選擇不多, 綜合辦公大樓, 有送贈品, 還可以', '短评打分': 5}
{'短评内容': '，酒店还行，没有想象的好，总台在16楼，电梯太慢，但对得起价格了。', '短评打分': 3}
{'短评内容': '还是一如既往的好，服务员热情，房间舒适，餐厅手艺不错，性价比高，交通也方便，即使打不着车还有地铁。下次来还要住这。', '短评打分': 3}
{'短评内容': '客房设施陈旧，房间里的空调噪音太大，难以入眠。', '短评打分': 1}
{'短评内容': '酒店位置不错，门口就是地铁站作为商务出差，这家酒店还算不错的，门口就是地铁口，交通便利没的说，周围有超市，有医院，还有公园，感觉性价比还算可以的。', '短评打分': 5}
{'短评内容': '一无是处的一个酒店，房间不是很干净，交通也不方便，价格偏高，还不如经济型的酒店。绝对不来第二次', '短评打分': 1}
{'短评内容': '还不错，房间很好。就是服务员较少', '短评打分': 3}
{'短评内容': '房间很好，住得非常舒服，早餐种类少点但也足够了', '短评打分': 3}
