{'短评内容': '位置出了车站就在眼前', '短评打分': 5}
{'短评内容': '早餐酒店有餐厅，比较实惠。基本不用加床，房间比较便宜。带孩子应该可以，我是出差在济南站里，比较方便，随时出来上车。济南站有地下停车场，但收费四元每小时，不按天收费，一天24小时乘以四元每小时。建议还是听酒店的安排停车，别自己停到火车站里。', '短评打分': 5}
{'短评内容': '环境服务不错', '短评打分': 4}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '还不错，没有图片上好，隔音效果也不理想！', '短评打分': 5}
{'短评内容': '第一次使用京东金融订酒店，还不错。', '短评打分': 5}
{'短评内容': '挺好的 是新品 看着比较宽敞', '短评打分': 5}
{'短评内容': '出了济南火车站就是，比较方便，也还干净，缺点是比较简陋，隔音效果很差', '短评打分': 3}
{'短评内容': '比较差的代理商，订单里写着要发票还不主动开。最后寄发票还要额外收运费，还好京东方面主动补上运费钱', '短评打分': 2}
{'短评内容': '设施有点旧了，有点脏，就做火车方便', '短评打分': 5}
{'短评内容': '位置挺方便，就是高层需要转电梯，而且暖气声音太大', '短评打分': 5}
{'短评内容': '房间面积挺大，位置火车站正对面，适合下火车较晚的顾客住，餐厅的饭味道一般，服务人员的态度都很好', '短评打分': 4}
{'短评内容': '吓人，再也不住了！', '短评打分': 1}
{'短评内容': '下了火车就能看见火车站附近', '短评打分': 4}
{'短评内容': '酒店性价比高，是出游的好选择。', '短评打分': 4}
{'短评内容': '不错，酒店看起来很干净，而且就在火车站对面，交通很方便。附近也有很多的了超市，隔音效果也不错，商务出差选择的这个酒店，值得推荐！', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '位置不错，在火车站对面，很方便，去机场赶大巴也很方便；  房间内有异味，这是很难接受的，希望增加通风设施。', '短评打分': 3}
{'短评内容': '酒店交通便利，出行方便。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '啊实打实大师爱上大声的撒', '短评打分': 5}
{'短评内容': '服务态度好，干净，好好好好', '短评打分': 5}
{'短评内容': '房间很大，很满意，无限信号稍差。', '短评打分': 5}
{'短评内容': '价格较低，但太吵，晚上吵到睡不着，离火车站很近，这是唯一优点。', '短评打分': 1}
{'短评内容': '还不错 位置很好 方便 没什么可说的 就是位置好', '短评打分': 5}
{'短评内容': '还行，环境不错', '短评打分': 3}
{'短评内容': '环境还是蛮不错的，服务也不错，主动给我们升级成有窗的特价房。就是做电梯比较纠结', '短评打分': 5}
{'短评内容': '交通方便，一如既往好！！前台热情，会推荐给大家的！', '短评打分': 5}
{'短评内容': '虽然离火车站比较近，还算比较安静，不过我住的那天夜里三点道德，有蚊子，前台很热情地给送了蚊香片，还算满意了~', '短评打分': 5}
{'短评内容': '还好 就是楼上电梯得换乘 不过可以从如家直接进嘛哈哈', '短评打分': 5}
{'短评内容': '乘坐火车非常方便，适合短住；火车站环境比较乱，不宜常住。火车站广场对面连锁宾馆倒是有好几家，价钱都差不多，汉庭相对便宜几块钱，呵呵。', '短评打分': 5}
{'短评内容': '房间比较大，卫生条件一般，离火车站相当近，很方便。', '短评打分': 3}
{'短评内容': '舒适温馨 整洁方便', '短评打分': 3}
{'短评内容': '才11点半就开始催退房，很是烦人，又打电话，又来敲门的，就象要赶人走一样。', '短评打分': 1}
{'短评内容': '一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。', '短评打分': 5}
{'短评内容': '一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。一般。位置比较好。', '短评打分': 5}
{'短评内容': '＋房间很大，设施也很简单大方，床比较舒服，网速较快，下次会再住。', '短评打分': 3}
{'短评内容': '出站就能看到酒店的招牌，很好找，房间也不错。', '短评打分': 5}
{'短评内容': '地理位置绝佳，赶火车特方便；到后还给免费升级了房间，宽敞、热水很足很好；电梯刷卡到房间保证了个人住宿的安全。', '短评打分': 5}
{'短评内容': '服务好。。房间也非常好。。很满意。。下次还会来，太优惠啦', '短评打分': 5}
{'短评内容': '房间很宽敞也很安静，就是上楼要转两部电梯比较麻烦，汉庭推出的周末百元房挺实在。', '短评打分': 5}
{'短评内容': '为什么车站附近的旅店环境都一般般？', '短评打分': 3}
{'短评内容': '服务有待改善，房间还可以，跟我升级成了标间', '短评打分': 5}
