{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '酒店不错，就是窗户是内窗靠近走廊，最无奈的是坐便器的上盖是坏的无奈啊!价格比较适中。', '短评打分': 3}
{'短评内容': '不错，挺好的', '短评打分': 3}
{'短评内容': '房间不错，对得起这个价格，不过没窗，不爽。', '短评打分': 3}
{'短评内容': '价格还行，挺干净的', '短评打分': 3}
{'短评内容': '房间干净，有自助餐挺便宜的，不用出去找饭店', '短评打分': 3}
{'短评内容': '五一小长假去大同玩，订酒店定晚了，所以选择了这家，在大同名气挺大，但是有点老化，是一个兼顾洗浴中心的酒店，客房很不专业，设计也不合理，打扫不勤，没有主光源……', '短评打分': 1}
{'短评内容': '外表看着很大气的，里面也很好——我一开始到的时候以为房价会超贵的，呵呵，睡得蛮舒服的。我是打车过去的，酒店附近就有个公交站牌，交通也还好。', '短评打分': 5}
{'短评内容': '总体感觉不错，楼下就是KTV。洗澡什么的都挺方便。就是房间没窗户', '短评打分': 5}
{'短评内容': '还不错 环境很好', '短评打分': 3}
{'短评内容': '  房子挺宽敞只是窗户在过道白天也必须得开灯，还有卫生不是很好，有好多灰尘，好像好久都没人打扫不过床铺挺干净！', '短评打分': 3}
{'短评内容': '酒店隔音不好', '短评打分': 3}
{'短评内容': '.酒店还行，就是有点热', '短评打分': 3}
{'短评内容': '服务不错，就是房间没窗户，感觉不好', '短评打分': 3}
{'短评内容': '酒店环境很好，很干净，性价比很高。', '短评打分': 3}
{'短评内容': ' 酒店很烂，房间一股霉味，更夸张的是进去的时候居然有人在里面玩电脑，热水不热没法洗澡，服务态度很差，退房时候态度冷淡', '短评打分': 3}
{'短评内容': '吃住洗浴一体，方便，房间很暖和。只是酒店住房服务不太好，住快一个月，也不怎给换被子，卫生间也打扫的不勤。', '短评打分': 5}
{'短评内容': '一般，酒店服务很差，环境一般，卫生也一般', '短评打分': 1}
{'短评内容': '环境不错，就是位置稍偏远些，不是市中心，吃饭有些不方便，其他还可以，推荐。', '短评打分': 5}
{'短评内容': '应该是个洗浴中心为主的酒店，早餐恨不错，很多穿浴袍的一块去吃饭。推荐入住', '短评打分': 5}
{'短评内容': '应该是个洗浴中心为主的酒店，早餐恨不错，很多穿浴袍的一块去吃饭。', '短评打分': 5}
{'短评内容': '在这个价位能住上这样的酒店真的已经很不错了，只是房间的隔音效果似乎不怎么样，需要改进。', '短评打分': 5}
{'短评内容': '离客户较近，吃住方便，床够大网速也够快。\n住了一个多月消费六七千了，前几天早上赶时间去见客户，退房未要发票就急急忙忙走了，等3天后再回来的时候被告知发票无法补开，极其郁闷！', '短评打分': 5}
{'短评内容': '定的158元豪单，跟同事一起吃住了20多天消费五六千，过道房，窗户挨着走廊，不是很通风。房间面积和床都很大，网速很快，2楼是自助餐厅，早餐免费，午晚餐28元/位，种类多味道也不错，离客户单位近，很方便，以后还是会住这里。\n唯一不爽的是，在酒店消费3430元的时候服务员推荐我办理5000元的vip卡，可以在目前房费上再打七折，我算了下我在这住宿肯定会超过5000元，所以就答应办理了，谁知服务员却告知', '短评打分': 5}
{'短评内容': '酒店属于洗浴休闲型，室内隔音不好，住一晚还可以时间长了不适合。服务比较好。', '短评打分': 3}
{'短评内容': '感觉还可以就是房间不隔音', '短评打分': 3}
{'短评内容': '性价比很高，地下停车场，停车也很方便，服务态度好。房间设施也较新\n\n', '短评打分': 5}
{'短评内容': '隔墙竟然是玻璃窗···\n服务态度倒是很不错，酒店设施也还不错，性价比还可以。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '房间便宜，但房间特别扭，房间没窗户，两边都是过道，隔音不好，如果只是住一晚走人还将就，便宜没好房的', '短评打分': 5}
{'短评内容': '提醒噢158的房是过道房，没有窗户，酒店是不错，新性价比高，值得推荐！！', '短评打分': 5}
{'短评内容': '无早餐卷', '短评打分': 3}
{'短评内容': '不错！四星级酒店，设施较好，房间宽敞，卫生舒适。价格适中，双标230元，送早餐。推荐。', '短评打分': 5}
{'短评内容': ' 住宿环境很好，物超所值，推荐。', '短评打分': 3}
{'短评内容': '条件可以，早餐还不错', '短评打分': 3}
