{'短评内容': '房间不错，卫生条件好！', '短评打分': 5}
{'短评内容': '服务员很热情友好', '短评打分': 5}
{'短评内容': '干净整洁，位置便利', '短评打分': 5}
{'短评内容': '干净整洁，位置便利', '短评打分': 5}
{'短评内容': '很好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境一般般，而且房费还不便宜', '短评打分': 4}
{'短评内容': '酒店在哪里都不知道，已经退订了，还要晒评价', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '平价酒店，比较干净舒服', '短评打分': 5}
{'短评内容': '价格便宜，交通方便，服务员很好，周边有吃面的地方，而且是老字号，所以推荐住', '短评打分': 4}
{'短评内容': '快捷酒店，胜在位置好，离国防科大就10分钟的路程。酒店内没有吃饭的地方，外面有德园包子和杨裕兴面馆，附近还有几家小店。从这里去科大方便，去长沙景点就比较远了。', '短评打分': 4}
{'短评内容': '老旧了点，就是方便', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '来过两次，不错', '短评打分': 5}
{'短评内容': '尽量不住特价房', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错的酒店 性价比超高', '短评打分': 5}
{'短评内容': '不错。双床房比大床房安静，空间感觉也大些。', '短评打分': 5}
{'短评内容': '今天酒店还行，就是晚上隔壁呻吟太大声，受不了!', '短评打分': 3}
{'短评内容': '干净舒适，是一家不错的酒店，服务人员态度也比较好', '短评打分': 5}
{'短评内容': '房间挺大的，和照片上一样，就是太吵了…要是选个不挨着马路的房间应该不错～', '短评打分': 3}
{'短评内容': '床很大 房间隔音效果很不好 卫生ok 电视机信号差', '短评打分': 5}
{'短评内容': '靠马路这边的还是很吵，不过挺大挺干净的。', '短评打分': 5}
{'短评内容': '灰常不错，干净，房间很大，下次来长沙还住这里。推荐！！', '短评打分': 5}
{'短评内容': '干净整洁，就是向阳的房间因为靠要道太吵。', '短评打分': 3}
{'短评内容': '交通便利。酒店在三一大道东侧，从高铁长沙南站出站口的公交站坐66路公交车，2元/人，行车约50分钟到喻家冲站下车，走一分钟就到酒店。自助游，从喻家冲站乘901路或136路公交约5站，去湖南省博物馆看马王堆出土文物，乘公交车132路去岳麓山看岳麓书院都很方便。\n吃饭方便。酒店门左侧就是24小时营业的长沙名牌饮食“杨裕兴面馆”，有各种小吃和瓦罐煨汤和粥。从酒店出门左转走约50步，再左转顺拥军街向北一直', '短评打分': 5}
{'短评内容': '酒店在三一大道上，离国防科大北门很近，大床房床很大房间也很大，不错哈，酒店旁边就有家饭馆，吃饭比较方便，下次还会住的。', '短评打分': 5}
{'短评内容': '还不错,当天有点吵。算是方便快捷。有点消毒水的味道', '短评打分': 5}
{'短评内容': '酒店设施很满意,空间也很大,很温馨，主要是干净,看着就很舒服。住这里,旅行的心情也变好了!', '短评打分': 3}
{'短评内容': '卫生做的不好，房间有味道，房间虽然很大但是空间的空闲显得布局不太好，毛巾看起来很旧，还有破洞，其他的就没什么了', '短评打分': 1}
{'短评内容': '第一次入住，帮同事预定的，感觉还一般般。\n价格还好，挨着国防科大挺近的。\n卫生状况一般。\n总体还凑合！', '短评打分': 5}
{'短评内容': '房间：一般，貌似有消毒。比较大，还好吧。\n服务态度：还可以。\n旁边有杨裕兴，早餐很难吃！都烧肚子！\n一般吧，能够送早餐就好了，哈哈！', '短评打分': 5}
