{'短评内容': 'gro 高东昌 杜大庭 服务态度好 不喜欢复式房 立即调房 可兼得酒店管理到位', '短评打分': 5}
{'短评内容': '房间比较大，安静，周边环境好。热水好，洗澡舒服。早餐一般，九点就不怎么补餐了，品种不算很多，服务员扎堆聊天。订了三间智能大床房，有两间送了欢迎水果什么的，有一间什么都没有。智能房间其实一般，个人感觉就是噱头，不实用，还麻烦。', '短评打分': 5}
{'短评内容': '李玲关明贞服务热情', '短评打分': 5}
{'短评内容': '酒店位于风景区内环境优美宁静，服务十分热情周到体贴，特别感谢魏领、王松！', '短评打分': 5}
{'短评内容': '酒店位置很好，房间外有湖景，从酒店门口开始一路有工作人员王松，李玲，魏领帮忙拿行李，办理入住。非常热情。', '短评打分': 5}
{'短评内容': '王松、杜大庭经理，服务非常周到，', '短评打分': 5}
{'短评内容': '超值', '短评打分': 5}
{'短评内容': '很美丽的酒店。从湖南路进去过桥就到了，在没有婚宴的情况下停车是很方便的，如果有婚宴，就要把车停在公园的其他地方。', '短评打分': 5}
{'短评内容': '太好了！棒极了！有机会再去还是住这里！', '短评打分': 5}
{'短评内容': '地处徐州核心风景区，水系环绕，风景优美，服务态度良好。缺点是午饭价位稍贵，而且口味一般。适合居住，不适合餐饮。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈好', '短评打分': 5}
{'短评内容': '环境幽静，不错的酒店', '短评打分': 5}
{'短评内容': '环境优雅，适合情侣约会', '短评打分': 5}
{'短评内容': '酒店服务好，设施好，环境优美，安静！餐饮要是增加徐州当地特色美食会更好！', '短评打分': 5}
{'短评内容': '环境好，特别适合度假。', '短评打分': 5}
{'短评内容': '不错，在风景区，环境很好。', '短评打分': 5}
{'短评内容': '酒店处于云龙湖景区内，景色优美，风光迤逦，赏心悦目。早餐非常丰盛，可口。硬件和软件符合五星标准，但是游泳池只能算是个戏水池，只有80CM深。', '短评打分': 5}
{'短评内容': '\n非常好，服务生训练有数，硬件过硬，赞', '短评打分': 3}
{'短评内容': '景区附近，环境不错，房间挺大，设施也很好，服务态度不错。', '短评打分': 5}
{'短评内容': '非常安静，景色很美，就在最美的云龙湖景区里', '短评打分': 5}
{'短评内容': '环境很好。只是酒店的设施一般。只有棉拖没有凉拖，也没有吹风机', '短评打分': 3}
{'短评内容': '酒店在去龙湖边上，单间装修得不错，有单独的浴缸，只不过三楼的房间不太好找，找了半天才找到。房间价格有点小贵', '短评打分': 5}
{'短评内容': '酒店在去龙湖边上，标间价格相对比较贵，设施和单间比不是一个档次，但价格和单间一样，酒店回答说因为标间少，所以价格定得高，无语了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '风景很好，房间也不错，安静，就是价格有点贵。', '短评打分': 5}
{'短评内容': '很有品味的酒店，环境优美空气好！还回来呵！', '短评打分': 5}
{'短评内容': ' 房间安排很好,服务到位,还帮忙准备了一些物品,朋友很满意,就是房间味道还依然有点大,但下次还会入住。', '短评打分': 3}
{'短评内容': '风景极佳，距离市中心稍微有点远，适合家人一起度假', '短评打分': 5}
{'短评内容': ' 房间比预期要小 设施还不错 其他餐厅还有待观察', '短评打分': 3}
{'短评内容': '说实话，没有开元好。只是比开元新而已。它的性价比不高。早餐很少，房间也不大。但是适合夏天在那住。服务还不错。', '短评打分': 5}
{'短评内容': '环境还不错，但是晚饭基本没什么吃的，估计和客人比较少友有关吧。原本担心第二天的早餐问题，菜品不是很多，但是服务非常热情，总体感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '不错的一个酒店，风景也挺好的，以后出差到这边，还选择', '短评打分': 5}
{'短评内容': '因为以后出差经常到徐州，可能以后会有更多机会来住这里', '短评打分': 5}
{'短评内容': '非常非常好的酒店，坐落在云龙湖中间，旁边就是水街，吃饭喝酒都很方便', '短评打分': 5}
{'短评内容': '环境非常棒 但是性价比不高 如果不看价格的话 绝对是个好的选择', '短评打分': 5}
{'短评内容': '环境优美，靠云龙湖，风景如画，酒店较小，晚上11：30到的，大厅黑洞洞的，与五星不付，房间不错', '短评打分': 5}
{'短评内容': '设施很新，环境优美，住的很舒服的，早餐还可以,很好！', '短评打分': 5}
{'短评内容': '非常棒绝对好', '短评打分': 3}
{'短评内容': ' 很有设计，风景如画', '短评打分': 3}
