{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '还好呀，环境不错', '短评打分': 5}
{'短评内容': '无早，不过附近吃饭很方便，各种口味各种美食，交通便利，去机场和火车站都方便，万科尚城巴士4号线到白云机场大概1个半小时就到了', '短评打分': 4}
{'短评内容': '很好，干净卫生', '短评打分': 5}
{'短评内容': '没有停车场', '短评打分': 4}
{'短评内容': '挺好的&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好，很好，非常好&hellip;&hellip;', '短评打分': 5}
{'短评内容': '地理位置挺不错的，就在大地电影院旁边，出入挺方便的', '短评打分': 4}
{'短评内容': '还可以吧，我朋友去住的。', '短评打分': 5}
{'短评内容': '还不错，给个好评', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '都挺好的！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错，好评，下次再来买。', '短评打分': 5}
{'短评内容': '不错？bbbbbnnn', '短评打分': 5}
{'短评内容': '交通方便，房间有窗等于没窗，对内窗户，但不嘈。', '短评打分': 5}
{'短评内容': '酒店卫生很干净，服务很好，周边有个领好广场，吃喝玩乐比较方便', '短评打分': 5}
{'短评内容': '房间里比较简单，总归干净', '短评打分': 4}
{'短评内容': '就是旁边手机店太吵了', '短评打分': 5}
{'短评内容': '服务好，卫生也很干净，值得推荐！', '短评打分': 5}
{'短评内容': '还可以，周围稍微有点吵，交通还算方便。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '记得多久就多久的多久单家独户的混混沌沌好好的', '短评打分': 3}
{'短评内容': '房间卫生一般、周围比较吵、服务态度还可以，与其他连锁酒店差不多，总体不错。', '短评打分': 4}
{'短评内容': '不是第一次住了，朋友说还可以，每次来都住这里，经济实用型的  不是第一次住了，朋友说还可以，每次来都住这里，经济实用型的  不是第一次住了，朋友说还可以，每次来都住这里，经济实用型的  不是第一次住了，朋友说还可以，每次来都住这里，经济实用型的  不是第一次住了，朋友说还可以，每次来都住这里，经济实用型的', '短评打分': 5}
{'短评内容': '设备较全，环节还行', '短评打分': 5}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
