{'短评内容': '总体感觉很不错，早餐很好', '短评打分': 5}
{'短评内容': '位置很好离火车站和传统商业中心朝阳广场都在十几分钟步行距离之内，闹中取静。典型的老牌国营星级饭店风格，建筑高大宽敞厚重，设施齐全但不够时尚，服务有基本训练但热情主动不够，很多会议在此，没见到旅行团。早餐有地方特色，米粉就有四五种，但无西式餐点且细节欠缺，如咖啡只有小杯无碟无匙。性价比还是不错的，不在意老式酒店及服务者可以一试。', '短评打分': 4}
{'短评内容': '早餐丰富，交通便利', '短评打分': 5}
{'短评内容': '酒店就在车站附近，方便而又安静，饭菜味道也很好！以后还会来', '短评打分': 5}
{'短评内容': '住无数次酒店第一次上来评价，原因是今天遇上事了和大家分享一下，也希望携程和酒店不要仅考虑自己的利益也多为顾客考虑一些。今天预定了南宁凤凰宾馆豪华大床，待网站显示预定成功，可安心入住以及收到预定成功后的短信息后，拖着行李打车直奔酒店，到前台出示身份证告诉前台办理入住，前台头也没抬问哪里预定的，我说携程，前台一边忙一边说没房了，我说我已经预定成功了，短信和网站都显示的成功预定，前台说我们这边已经拒绝了', '短评打分': 3}
{'短评内容': '环境、地段好，服务也不错，对面就是民航大巴。', '短评打分': 5}
{'短评内容': '总体来说还可以', '短评打分': 3}
{'短评内容': '帮爸爸妈妈订的，他们很满意', '短评打分': 5}
{'短评内容': '多次入住了，性价比超高，自助晚餐很好。', '短评打分': 5}
{'短评内容': '位置离南宁站很近，交通非常便利！周边小吃众多！老牌经典4星酒店，值得信赖！早餐非常丰富，还有独特的油茶提供！赞！', '短评打分': 5}
{'短评内容': '多次入住，方便实惠。', '短评打分': 5}
{'短评内容': '不错，挺高大上 自助早餐还不错有牛奶月饼送，唯一不足就是电脑根本用不了卡死了', '短评打分': 5}
{'短评内容': '宾馆内装修比较老，但是设施齐全，入住还送了牛奶和月饼，特别赞一下自助早餐，有很多广西特色小吃，味道很好，性价比高，赞一个！离民航机场大巴站（民航饭店门口）很近，很方便。', '短评打分': 5}
{'短评内容': '干净舒适 早餐丰富 星级享受 大众价格', '短评打分': 5}
{'短评内容': '优点就是交通方便，机场大巴火车站线，基本直达哦。', '短评打分': 5}
{'短评内容': '京东下单，额外送京豆，还可用券。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很高大尚，环境不错离客运和火车南站很近，房间干净，房间也不贵很方便', '短评打分': 5}
{'短评内容': '一般一般一般一般一般&hellip;', '短评打分': 5}
{'短评内容': '一般一般，一般一般一般', '短评打分': 5}
{'短评内容': '不错，住得很舒服&hellip;！一下住了两天', '短评打分': 5}
{'短评内容': '京东订酒店很方便实惠，送京豆，有成长值，还可以打白条。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': 'h好的好的好的好的吧。', '短评打分': 5}
{'短评内容': '比较满意的一次入住经历，服务很好，房间干净，也很安静。', '短评打分': 5}
{'短评内容': '总体来说还可以，交通方便，服务也还行，但设施有待更新。', '短评打分': 5}
{'短评内容': '从南宁站出来被各种拒载，发现走着就可以过去，门口就是地铁，去哪都方便。', '短评打分': 5}
{'短评内容': '临时调整了路线，实际并没入住。情况不清楚，也无法取消预订，以后订房要注意这个问题。', '短评打分': 5}
{'短评内容': '宾馆就在地铁1号线火车站边上，公共交通非常方便，宾馆内装修比较老，但是设施齐全，入住还送了牛奶和粽子，特别赞一下自助早餐，有很多广西特色小吃，味道很好，性价比高，入住体验很好，非常满意！', '短评打分': 5}
{'短评内容': '比艺龙更实惠，亏得提前订一天，当天好多人来没房。在酒店住，自助早餐76元，比美团还便宜2元。四星，这个价位，性价比很高。', '短评打分': 5}
{'短评内容': '交通便利出行方便，但是现在在修地铁有点堵车，12月28号就通地铁了，通了后应该讲就很方便了。早餐品种多。陈村粉比较好吃。', '短评打分': 4}
{'短评内容': '交通方便，服务不错，酒店有点久了。', '短评打分': 5}
{'短评内容': '酒店房间面积很大，床垫很软，可以睡个好觉。即使周边修路，因为双层窗户，感觉不到吵闹。早餐还可以吧，勉强吃饱。洗澡的水龙头不太好用。总之，推荐入住。', '短评打分': 5}
{'短评内容': '住过一些次的老酒店。虽然知道设施老了，但因为是以前出差、开会就住过的酒店，这几年虽然住过客人点评普遍不好，这两年去南宁还是会选择住这里。这次从北京经南宁到巴马和返回北京前仍然选择了凤凰宾舘。这次4日入住12楼行政客房，保险柜仍然故障（基本都是不维护，电池没电了）第一晚发现洗手池下水管漏水，弄得卫生间地面都是水，浴缸的花洒开关也有毛病，第二天到前台去让接待换个房，这么件在其他宾舘的小事，这里前台工作', '短评打分': 3}
{'短评内容': '火车站附近有这样的宾馆真好', '短评打分': 5}
{'短评内容': '酒店对面就是机场大巴，不远处是火车站和旅游集散中心。周边吃饭和水果店价格公道。酒店内部设施也很棒，干净整洁。早餐可口丰富', '短评打分': 5}
{'短评内容': '酒店位置和服务都不错，早餐有很多特色小吃，总体性价比很高。唯一要吐槽的是酒店的停车，k', '短评打分': 4}
{'短评内容': '交通非常方便，服务也还不错，早上很早要去其他地方旅游，早餐时间开的很早，实在来不及还可以打包，内容也很丰富。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境可以，但是就是空调不行。开不了暖气，冷死人了', '短评打分': 5}
{'短评内容': '四星级左右的感觉,不过考虑到价格便宜,性价比真是很好的了!房间也还算蛮大的,推荐.', '短评打分': 4}
{'短评内容': '早餐和几年前比差了些，而且没有了免费长途', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '原来就住过凤凰宾馆，印象很好，这次特地又住那，就是早餐不如以前了，相比其他的很多提供早餐的宾馆还算是不错的。就是加了床的不提供早餐，加床也是付了费的。', '短评打分': 5}
{'短评内容': '还不错的宾馆，离火车站近，到小吃街中山路走15分钟，早餐超丰富，环境也干净', '短评打分': 4}
{'短评内容': '不错的宾馆', '短评打分': 5}
{'短评内容': '不错的宾馆', '短评打分': 5}
{'短评内容': ' 不错，不愧为四星级酒店，软硬件设施都很好，服务态度也令人满意，能够及时处理客人遇到的各种问题，办事效率较高，特别让人意外的是，房间内还配了电脑，方便客人了解各种信息，下次来南宁，就选这家了！', '短评打分': 5}
{'短评内容': '这家酒店挺好，下次去南宁还会入住，既宽敞又舒适。', '短评打分': 5}
{'短评内容': '地理位置很好，靠近火车站和民航大巴的登车点。离商业区也很近。', '短评打分': 5}
{'短评内容': '很一般的酒店，最多三星。但是，整体南宁好像也没有什么不错的。', '短评打分': 5}
{'短评内容': '凤凰住过多次了 这次住的310的房间 感觉不是很好 房间比较潮 有味道 条件允许的话还是推荐各位住388的行政房 房间很不错 早餐有专门的行政酒廊 ', '短评打分': 5}
{'短评内容': '房间一般般，只够三星标准，但早餐值得推荐，丰富、味道好。', '短评打分': 1}
{'短评内容': '虽然酒店有点旧，但价格还是比较公道的，而且早餐很好，值得再次入住', '短评打分': 5}
{'短评内容': '好早餐不错，一直都住这家那，好好好好好好', '短评打分': 5}
{'短评内容': '酒店位置不错，比邻火车站和商业区，附近旅行社很多，行政间房间设施全面，还有水果和饮料赠送', '短评打分': 3}
{'短评内容': '十位置好 离火车站很近。\n付漪', '短评打分': 3}
{'短评内容': '酒店服务挺好的，地理位置也不错，下次还会考虑入住！', '短评打分': 3}
{'短评内容': '相当不错\n付漪', '短评打分': 3}
{'短评内容': '火车站出来没多远，位置好，服务没的讲，不错，下次还住。', '短评打分': 5}
{'短评内容': '对于挂牌4星来说早餐品种少了，服务和房间设施较好，性价比不错。', '短评打分': 5}
{'短评内容': '交通方便，性价比高，早餐需改善，靠马路的房间有点吵！', '短评打分': 5}
{'短评内容': '去南宁就住这家，方便且价格实惠。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店客房服务还可以，入住就有服务员送下午茶和点心。房间设施也OK，但是早餐在4楼，感觉挺冷的，早餐的东西也有点冷', '短评打分': 5}
{'短评内容': '地理位置好，虽然装修时间有些久了，但挺整洁，早餐丰富，口味合适。入住的客人，如高层有房建议住高一点，也话会比较安静。', '短评打分': 5}
{'短评内容': '非常好！虽然酒店有点老，但性价比很高，早餐很丰富。', '短评打分': 5}
{'短评内容': '房间有电脑免费上网，还是不错滴。离火车站近，周围很热闹，到沃尔玛10分钟。', '短评打分': 5}
{'短评内容': '房间很大，住的舒服。', '短评打分': 3}
{'短评内容': '四星级酒店，内部设施不错，电视机很老了，有电脑和网络。我们住四楼能听到下面路人的声音。早餐感觉也就比三星稍好点，就餐环境很好，但根本无法没有到达部分网友所说可与五星相比。', '短评打分': 5}
{'短评内容': '卫生，交通方便，商业街就一站路，门口没多远就有车站。自助早餐，午晚餐东西都不少，特别是午晚餐各种烤肉自己选，味道不错，就是稍微贵点。\n需改进的：每天只送两瓶水，要是有个水果会更好。', '短评打分': 5}
{'短评内容': '住的地方离火车站非常近，交通方便。入住环境比较好，价钱便宜，而且每天免费洗衣服2件。就是早餐一般般，房间网速慢。', '短评打分': 5}
{'短评内容': '卫生干净,服务好,出行方便.', '短评打分': 3}
{'短评内容': '卫生干净,服务好.出行方便.', '短评打分': 3}
{'短评内容': '酒店所处的位置交通方便，走到火车站7~8分钟，坐车到北大客运站十几分钟，去清秀山、民族广场有公交车直达。行政楼层可以用早餐、办理退房，服务很贴心，值班经理对客人态度很热情。如果前台员工对客人关心的旅游方面的咨询多了解一些就更好了。下次去南宁还会入住。', '短评打分': 5}
{'短评内容': '挺方便的，机场大巴站点就在旁边，下车自己走过去就可以，出去酒店右边是公交车站，有车可以去南湖公园和青秀山。早餐品种少了点，还有就是不够热，到10点就关灯让顾客在比较黑的环境下吃早餐，这点很不满意，9点30分下去吃的时候已经没有什么东西吃了。房间还挺干净，但隔音不太好。', '短评打分': 5}
{'短评内容': '四星，双早，卫生，交通方便，商业街就一站路，门口没多远就有车站。自助早餐，午晚餐东西都不少，特别是午晚餐各种烤肉自己选，味道不错，就是稍微贵点，午58晚68。\n需改进的：酒店送餐品种极少。\n总体还不错吧', '短评打分': 5}
{'短评内容': '酒店非常好，交通方便，房间干净。工作人员的服务也很到位。', '短评打分': 5}
{'短评内容': '很好，服务到位！物有所值！就是凯立德导航出了问题，搜索“凤凰宾馆”，到了一个不知名的弄堂里，后来搜索“朝阳路”才找到，这个应该和当地的地理中心反应一下。', '短评打分': 5}
{'短评内容': '不错哒，可惜不是天天有水果！交通方便，但床比较硬，环境也不是蛮安静', '短评打分': 5}
{'短评内容': '地处闹市区，出行很方便，早餐很丰富。老四星酒店，价格略高', '短评打分': 5}
{'短评内容': '经常去这里住的，确实很舒服，也挺便宜的\n服务很好的，环境也是非常的不错', '短评打分': 5}
{'短评内容': '性价比很高，早茶也不错，离火车站较近……。', '短评打分': 5}
{'短评内容': '出差南宁都是住这家宾馆，这次定的13F的房间，服务很好，可以直接在13F用早餐和办理入住、结账手续，很满意，价格也不贵，以后还会住这里', '短评打分': 5}
{'短评内容': '酒店位置佳，早饭丰盛，是旅游住宿最佳选择', '短评打分': 3}
{'短评内容': '这酒店不错，服务还行，就是里面的月饼质量不怎么样。', '短评打分': 5}
{'短评内容': '\n凤凰宾馆在广西这样经济欠发达地区,服务不早餐不差于五星洒店。', '短评打分': 3}
{'短评内容': '不错,很舒适,整体的装修风格个人很喜欢,服务员的态度也不错.', '短评打分': 5}
{'短评内容': '当晚近10点才到的店，报上名字，很快就住上了，很高的效率，房间设施算不上高档，但也不错了，说是豪华，只是比标间多了两个苹果，两朵花。以后订标间就行了。早餐很赞，品种多得眼花缭乱，时间设置也还比较合理，7点到10点，不过对赶7点以前的车的人就没办法了，如果能改6到9点这样就更好了。。哈哈。', '短评打分': 5}
{'短评内容': '酒店的服务和地理位置都不错,重点是免费送的小点心特好吃.\n早餐也不错.性价比很高.', '短评打分': 5}
{'短评内容': '老宾馆，火车站附近，房间较旧，上午楼层迷你吧不错', '短评打分': 5}
{'短评内容': '酒店不错的，每次去南宁都住哪里，但是亿龙预定的房间都比较差，亿龙的相关部门该关心下。', '短评打分': 1}
{'短评内容': '帮同事订的，房间比自己的贵一点（是领导，级别不同），没有不良反馈。', '短评打分': 5}
{'短评内容': '离机场大巴终点不远，酒店房间不错，吃饭也较方便。晚餐有自助59元一位。', '短评打分': 5}
{'短评内容': '非常周到，热情，服务态度好,我下次去南宁一定再次光临', '短评打分': 5}
{'短评内容': '22年前就对这家店印象很好！现在服务一直没变。住着舒适，价格很合理。', '短评打分': 5}
{'短评内容': '性价比高，很满意。', '短评打分': 3}
