{'短评内容': '你位置好找，环境好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境卫生很好', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '一切还行', '短评打分': 4}
{'短评内容': '老公出差，自己订的酒店，也不来的及问他酒店如何！', '短评打分': 5}
{'短评内容': '嗯嗯几次想穿梭千年发展目标就是成为我生活了', '短评打分': 5}
{'短评内容': '还没住，鹿茵酒店是容桂老牌的酒店了，这个价格很实惠，值得入住', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '房间大，床舒服', '短评打分': 5}
{'短评内容': '位置一般 周围啥也没有 房间卫生啥的倒是还不错', '短评打分': 3}
{'短评内容': '吃饭方便！', '短评打分': 4}
{'短评内容': '还可以！', '短评打分': 3}
{'短评内容': '好，非常的好', '短评打分': 5}
{'短评内容': '寂寞下雨 图图人口哦啪啪缺', '短评打分': 3}
{'短评内容': '位置不在中心，服务还不错，设施旧了一点，自助餐比较简单，达不到四星的标准。但价格便宜，总的来说还是对得起这个价格', '短评打分': 3}
{'短评内容': '位置不在中心，服务还不错，设施旧了一点，自助餐比较简单，达不到四星的标准。但价格便宜，总的来说还是对得起这个价格', '短评打分': 4}
{'短评内容': '酒店位于容桂繁华地段，交通便利  设施基本可以，不算豪华，液晶电视太小  人员服务尚可，有些拖沓  性价比不错', '短评打分': 4}
{'短评内容': '一步一步一步一步', '短评打分': 4}
{'短评内容': '环境不错，地理位置交通方便，环境不错，地理位置交通方便', '短评打分': 5}
{'短评内容': '不错，交通方便，配套完善，就是有点贵，下次会再订', '短评打分': 5}
{'短评内容': '酒店还好，但是这边交通太乱了，虽然酒店地处十字路口， 但是摩托车啊 各种车太乱，外面居然很多卖偷盗电动车的。  只是周围环境不好。 空调不能制热。 其他还好。', '短评打分': 1}
{'短评内容': '性价比一般，酒店已很旧\n早餐很差，服务员更差', '短评打分': 1}
{'短评内容': 'The breakfast has a few selection\nThe waiter for breakfast is poor\nThere is no wi-fi in this 4 star hotel', '短评打分': 1}
{'短评内容': '酒店有点旧了， 浴室很陈旧， 一点四星的感觉都没有， 还没有免费的剃须刀，性价比不高，还有， 离闹市区有点远，除了在酒店里面， 附近没有什么可以吃饭的地方。 ', '短评打分': 1}
{'短评内容': '酒店性价比不错，就是早餐差了些，早餐处服务态度也不好，', '短评打分': 5}
{'短评内容': '服务还过得去，硬件设施都还行，但隔音不好，房内的窗打不开，窗也擦得不干静！！除此以外，也没什么了，仍值得推荐~~~~', '短评打分': 5}
{'短评内容': '酒店很干净,房间窗户很大.交通很方便,就是早餐比较简单.下次还会住.', '短评打分': 5}
{'短评内容': '容桂建得比较早的酒店，4星，价格比较便宜，整体环境不错，晚上很安静，唯一不太满意的是房间空间不大。', '短评打分': 3}
{'短评内容': '电视可以就是房间太小。', '短评打分': 3}
{'短评内容': '酒店设施太陈旧，没有专业的网络人员，结果两天都没有上网，到房间竟然还没有打扫，', '短评打分': 1}
{'短评内容': '酒店环境很好、房间大也很舒适、早就餐很丰盛又好吃。', '短评打分': 3}
{'短评内容': '住的豪单，卫生间的洗浴设备肯定达不到4星的标准', '短评打分': 1}
{'短评内容': '服务上随叫随到，房间内干净舒适，出行也方便，值得推荐一下。', '短评打分': 5}
{'短评内容': '酒店很舒适，位置也很好，位于中心地带，交通很便利的。', '短评打分': 5}
{'短评内容': '服务很好，房间很干净，设施很齐全，也很新，住的很舒适。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，装饰的很漂亮，服务很热情，房间也干净舒适，下次还愿意住。', '短评打分': 5}
{'短评内容': '酒店环境很好，房间很大，很干净也很安静，住的很舒适。', '短评打分': 5}
{'短评内容': '房间设计的很高雅，设施很齐全，卫生也好，住的相当舒适。', '短评打分': 5}
{'短评内容': '住房里面的灯太暗', '短评打分': 1}
{'短评内容': '酒店当时没有提供早餐.用餐不太方便，其它各方面条件还不错.整体来讲还可以.', '短评打分': 5}
{'短评内容': '环境挺好的，挺安静的，', '短评打分': 5}
{'短评内容': '一切都不錯。', '短评打分': 5}
