{'短评内容': '挺不错的，在闹市区，有停车场，挺喜欢的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '五星好评送早餐', '短评打分': 5}
{'短评内容': '环境不错，房间也干净', '短评打分': 5}
{'短评内容': '环境很好，安静舒适！', '短评打分': 5}
{'短评内容': '条件还行，性价比高', '短评打分': 5}
{'短评内容': '在市中心交通方便，周边购物吃饭很方便。大床房很大，设施不错，下次还会住，性价比高。', '短评打分': 5}
{'短评内容': '服务很好，就是酒店有点老了，希望重新装修一下！', '短评打分': 4}
{'短评内容': '酒店有点老其它还行', '短评打分': 5}
{'短评内容': '无。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不错不错哦', '短评打分': 5}
{'短评内容': '酒店有点蹩脚，还好找到了', '短评打分': 5}
{'短评内容': '酒店地段不错，房间干净整洁', '短评打分': 5}
{'短评内容': '酒店环境不错设施齐全房间整洁', '短评打分': 5}
{'短评内容': '房间设施齐备，酒店周围吃的也不错，还有沃尔玛，酒店早餐做得很不错就是有点晚', '短评打分': 5}
{'短评内容': '性价比很不错！！房间挺干净！！只是门口出租车难打，因！！！', '短评打分': 5}
{'短评内容': '前台啊，退房退了近40分钟，一个姑娘给我退，另一个姑娘和新来的客人在吵架。至于房间，就是有点老！', '短评打分': 1}
{'短评内容': 'jkjjjjsjsjjsjjssjjsjsjsjjsjssj', '短评打分': 5}
{'短评内容': '周围交通购物挺便利', '短评打分': 3}
{'短评内容': '酒店前台服务水平太差，发票开错名字还说是顾客的责任。', '短评打分': 1}
{'短评内容': '空调效果太差~环境一斑斑.服务不好也不坏.', '短评打分': 1}
{'短评内容': '良好', '短评打分': 3}
{'短评内容': '还不错哦， 这个价位。 而且有送2份早餐。', '短评打分': 5}
{'短评内容': '宾馆比较老，设施一般，比较干净，离车站近，环境比较吵', '短评打分': 5}
{'短评内容': '酒店不错，位置交通方便，环境卫生都做得可以。', '短评打分': 5}
{'短评内容': '第三次入住，交通便利，价格便宜，性价比较高！', '短评打分': 5}
{'短评内容': '总体来说还行。比较舒服。就是饭菜不怎么好吃。', '短评打分': 5}
{'短评内容': '位置不错，交通便利。房间也比较舒适，值得推荐', '短评打分': 5}
{'短评内容': '.....................挺好的..', '短评打分': 5}
{'短评内容': '各项条件还不错，就早餐差了点，花样少了点，那个炒饭炒得不好。', '短评打分': 5}
{'短评内容': '各方面都还可以，房间硬件设施齐全，服务到位，附近距离沃尔玛超市很近，购物方便，去火车站和汽车站也不是很远，出行比较方便', '短评打分': 5}
{'短评内容': '位置不错，靠近火车站和汽车站，座公交车2站地就到步行街了，出行还是很方便的，房间里硬件设施齐全，早餐丰富，总体感觉蛮不错的', '短评打分': 5}
{'短评内容': '房间硬件设施齐全，服务很好周到热情，早餐丰富，这边停车也很方便，住宿环境很不错', '短评打分': 5}
{'短评内容': '设施比较老旧，很一般的酒店。选择了较贵价格的房间，除了很大之外，感觉不多一点高档的感觉。', '短评打分': 1}
{'短评内容': '感觉酒店整体印象还是不错的，卫生做的很到位，打扫的很干净，房间硬件齐全，住宿环境很好', '短评打分': 5}
{'短评内容': '房间够大，靠街一面太吵，早餐品种太少了，别的都还不错', '短评打分': 3}
{'短评内容': '位置很好，不过临街一面太吵，总台答应一有不临街的就给换，房间倒是不小，住着还是比较舒适。缺点电话要收费价格好像还挺贵，一次性拖鞋要向服务员要', '短评打分': 5}
{'短评内容': '酒店的服务非常好，无论前台还是客房都有很专业的素质。环境也很好，不错的酒店。', '短评打分': 5}
{'短评内容': '房间还行，内部环境看起来整体感觉还不错，位置是挺好找的，但是可能是五一期间酒店的价格感觉还是有些稍微偏贵了一些， 服务还过得去不好也不坏，不过下次出行的估计我还是得考虑一下别的酒店了。', '短评打分': 1}
{'短评内容': '在岳阳，以该酒店的设施来看，195的价格偏高', '短评打分': 5}
{'短评内容': '马路上的噪音太大！不够安静.', '短评打分': 5}
{'短评内容': '位置比较好找,性价比还是比较高,卫生和设施还是比较不错的,服务也挺好的总体感觉还是行.', '短评打分': 3}
{'短评内容': '在电脑间住了2个晚上，觉得酒店的设施还算完备，就是如果住在面对汽车站方向的比较吵。 早餐主要是 本地风味的，有米粉， 如果增加点 西餐品种更好，比如牛奶和 蛋糕什么的 ', '短评打分': 5}
