{'短评内容': '整体太差了，水温烫死人，房间电话也没有，还有蟑螂', '短评打分': 1}
{'短评内容': '早餐说没有，其实有????', '短评打分': 5}
{'短评内容': '酒店不错，房间很大！', '短评打分': 5}
{'短评内容': '还可以啦，主要是距离近', '短评打分': 5}
{'短评内容': '半夜到常州订的酒店，离恐龙园很近，房间较大，很舒服。', '短评打分': 5}
{'短评内容': '房间一般般', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店设备齐全，布局合理有序，卫生干净。', '短评打分': 5}
{'短评内容': '性价比最高的，环境优雅', '短评打分': 4}
{'短评内容': '由于是没有窗户，所以空气质量会有影响，其余将就', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '总体一般', '短评打分': 3}
{'短评内容': '环境还可以，就是没有吹风机。', '短评打分': 4}
{'短评内容': '老顾客了', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
