{'短评内容': '十分舒适安静！推荐！', '短评打分': 5}
{'短评内容': '有停车场呢', '短评打分': 5}
{'短评内容': '已经交了押金借个充电器只有插头没有数据线还要再给押金，网速慢，噪声大。服务态度有待提升，反正印象不太好。', '短评打分': 2}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境挺好的，有家的感觉，特别像一居室', '短评打分': 5}
{'短评内容': '总体说不错', '短评打分': 4}
{'短评内容': '不错不错，挺干净的', '短评打分': 5}
{'短评内容': '可以，第三次入住。环境不错。前台的小伙子挺热情', '短评打分': 5}
{'短评内容': '酒店还是不错的，早饭一般吧，', '短评打分': 5}
{'短评内容': '性价比极高的4星级宾馆。', '短评打分': 5}
{'短评内容': '环境非常不错！', '短评打分': 5}
{'短评内容': '房间环境不错，就是酒店位置有点偏，', '短评打分': 5}
{'短评内容': '极差，开发票要交50元税费，第一次见，长见识了，奇葩。', '短评打分': 1}
{'短评内容': '极差，还要我交50元税费（据说还是给了优惠）才给我开发票，长见识了，真的。', '短评打分': 1}
{'短评内容': '促销活动的房间，一般推荐吧。', '短评打分': 3}
{'短评内容': '比想象中略好。就是房间外就是马路和空调什么的，关窗了也很吵，我睡眠很浅，所以没睡好。', '短评打分': 3}
{'短评内容': '整体狠不错~就是床太硬~睡得腰疼~', '短评打分': 3}
{'短评内容': '条件不错，还可以。。。。。条件不错，还可以。。。。。', '短评打分': 5}
{'短评内容': '条件，环境都不错，价格合理', '短评打分': 3}
{'短评内容': '干净，卫浴都是科勒的，房间还有些装修的味道，好在都放了竹炭。只是服务还要再提高了，我入住后发现房间一半没电，问前台，前台说知道那个房间有问题，我说有问题你还给我住？他说，那您下楼换房吧。我说你们就不能把房卡做好，送上来，还要我下去？但是等服务员上来一看，其实就是房间的电源没有合闸。', '短评打分': 5}
{'短评内容': '新开业的酒店，部分房间还有新装修的气味，向酒店提出后很快给我们换了一间。总体来说环境不错，服务也不错。就是早餐品种太少。', '短评打分': 5}
{'短评内容': '环境不错，干净整洁\n', '短评打分': 3}
{'短评内容': '酒店离常州春秋乐园及野生动物园很近，大约1公里路程，酒店是新的，房间也还不错，也蛮新的，就是早餐太简单了些，还有前台的服务人员需要再培训培训，除此之外一切都还不错', '短评打分': 5}
{'短评内容': '酒店離常州春秋樂園及野生動物園不遠，大約1公里左右，房間也不錯，很新，酒店也是新的，就是早餐簡單了些，前枱的人员訓練還有待加強外，其餘都還可以，值得推薦。', '短评打分': 5}
