{'短评内容': '物美价廉', '短评打分': 4}
{'短评内容': '酒店房间很干净，没有异味，设施很新，酒店在市中心位置很好找，跟着导航就直接到门口。酒店服装很周到，很热情，周边吃的也很多。', '短评打分': 5}
{'短评内容': '房间比较新，刚装修不久。就是楼下有ktv,相当吵。三更半夜不睡觉，不太适合带孩子。停车场还算方便。早餐就太差了。', '短评打分': 4}
{'短评内容': '算是茂名比较好的酒店了。', '短评打分': 5}
{'短评内容': '房间特别好 很大 比较安静', '短评打分': 5}
{'短评内容': '帮朋友定的房，没去住过', '短评打分': 5}
{'短评内容': '酒店已有一定时间，比较大！', '短评打分': 5}
{'短评内容': '好好好好好?好好好好好', '短评打分': 5}
{'短评内容': '房间比较大。豪华舒适。。。。。', '短评打分': 5}
{'短评内容': '房间比较豪华。不错', '短评打分': 5}
{'短评内容': '房间比较大，还不错。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '酒店位置便利，在茂名火车站和茂名中心汽车站不远，步行10分钟以内可达。酒店较卫生，一楼西餐厅很好吃，价格适中。', '短评打分': 5}
{'短评内容': '酒店位置便利，在茂名火车站和茂名中心汽车站不远，步行10分钟以内可达。酒店较卫生，一楼西餐厅很好吃，价格适中。', '短评打分': 5}
{'短评内容': '早餐一般般', '短评打分': 5}
{'短评内容': '电视设备不错', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错的商务选择', '短评打分': 5}
{'短评内容': '周边饮食购物交通便利', '短评打分': 4}
{'短评内容': '环境很好，值得再去', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '超级差，我预定的是豪华房，和招待所小宾馆差不多素质，洗澡水都不热，洗手间转身都转不了，太失望了，不会再入住！', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '酒店离广百步行只有10分钟左右，附近吃饭地方多，酒店的中餐厅吃饭也不贵，自助早餐品种也较多，房间大，设施较新，床又够大，满意。', '短评打分': 4}
{'短评内容': ' good', '短评打分': 3}
{'短评内容': '交通方便，房间网速太差，打开不了网页，前台动作太慢，结账用了20分钟，早餐还可以', '短评打分': 5}
{'短评内容': '酒店很不错，设施齐全！很干净！', '短评打分': 3}
{'短评内容': '床与被子与4星还是有差距，不过3楼的夜宵不错', '短评打分': 3}
{'短评内容': ' 电视不好', '短评打分': 3}
