{'短评内容': '早餐蛮好的，种类繁多，客房也很干净，暖气足！', '短评打分': 5}
{'短评内容': '安静，整洁，服务好', '短评打分': 5}
{'短评内容': '位置有点偏，房间卫生整洁。', '短评打分': 4}
{'短评内容': '酒店位置挺偏的。里面环境还可以，早晨起的晚，去吃早餐的时候基本没什么了。填饱肚子还是可以的。停车比较方便。', '短评打分': 5}
{'短评内容': '位置比较难找，早餐可以热的，选择性多些。', '短评打分': 5}
{'短评内容': '酒店装修时间不是太长，怎么会显得这么旧？ 停车场里脏乱差，房间里地毯上什么都有，话梅壳、纸屑、到处都是 头发等等，卫生间毛巾浴巾不仅旧，颜色还有点发黑，洗脸台上一层灰&hellip;&hellip; 这是我近几年住过的卫生最差的酒店，没有之一', '短评打分': 3}
{'短评内容': '酒店位置很隐蔽，比较安静。', '短评打分': 3}
{'短评内容': '枕套脏，厕所有味道，携程价300多不值，选择多了，没抽纸送卷纸来，希望大家有的选择，不要选这家', '短评打分': 4}
{'短评内容': '每次来镇江都是住丽景酒店，还可以吧，还比较方便。早饭种类稍微少了一点，总体感觉还不错！', '短评打分': 4}
{'短评内容': '安静 但早餐七点半开始 有点影响出行计划 没有吃到早餐周边交通不是很方便 但在周边算是高档一点的酒店', '短评打分': 4}
{'短评内容': '酒店环境优良，服务态度很好。', '短评打分': 5}
{'短评内容': '整天感觉比较好，多次入住了，位置比较幽静。价格也不错。', '短评打分': 4}
{'短评内容': '酒店设备比较陈旧，靠近景区，早饭一般。', '短评打分': 4}
{'短评内容': '性价比不错1早餐稍微差了点', '短评打分': 5}
{'短评内容': '酒店4星，设施干净，周边环境不??华，挺好安静，值得推荐。', '短评打分': 5}
{'短评内容': '酒店周边安静，没施挺好，早歺品种还行。建议加一些现做的面条，米线丶煎鸡蛋等', '短评打分': 5}
{'短评内容': '性价比很高，下次还考虑。', '短评打分': 5}
{'短评内容': '设施很新，环境安静，服务生态度不错，值得一住。就是地段稍偏了些。', '短评打分': 5}
{'短评内容': '位置偏了，但条件很是不错，网络也很好，下次还会住', '短评打分': 5}
{'短评内容': '酒店是出差的同事的口碑酒店，今后还会推荐其他好友入住的。', '短评打分': 5}
{'短评内容': '太偏远，出行不是很方便。以后不会入住了。', '短评打分': 1}
{'短评内容': '酒店很新，房间设施很好，很舒适。地点稍偏了些。不过，我们是骑车过来，也就无所谓啦！价格还算公道。早餐不算多，但很干净，可以放心吃。对了，早餐的咖啡不错哟，可以多喝两杯。', '短评打分': 3}
{'短评内容': '房间不错很漂亮，地理位置偏所以便宜，自己有车的话很方便，入住时发现空调不工作，把人热死了，室内一直26度。', '短评打分': 3}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': '周围太偏僻，但是酒店内部设施还不错。大堂不是很气派。', '短评打分': 5}
{'短评内容': '酒店装修还不错，卫生蛮干净的，周边环境不是最好，早餐品种太少', '短评打分': 5}
{'短评内容': '酒店很新，服務態度也可以，下次來還會選擇住這，缺點就是有點偏僻了', '短评打分': 5}
{'短评内容': '酒店很新，服務態度也可以到鎮江可以考慮入住，缺點就是附近很偏僻', '短评打分': 5}
{'短评内容': '环境一般，位置比较偏，交通不方便，早餐也不咋的，入住的人太少', '短评打分': 1}
{'短评内容': '首先，地方比较偏僻，打车也打不到，周边没有任何配套设施，无门童保安服务，混乱。服务员很不热情，住的房间床垫上能看到前住店留下的月经血，恶心死了，床套上也有两个血渍，简直是无语。跟前台反应后没动静，后来留了电话后有人打电话来解释了一下。跟总台预约早上8点叫醒，结果自己睡到8点40醒过来后也没人叫醒，这个星级酒店的服务？我表示非常遗憾以及愤怒。这个酒店让我叹为观止啊。', '短评打分': 1}
{'短评内容': '除交通稍有不便，其他一切都好，硬件不错', '短评打分': 3}
{'短评内容': '酒店安静，设施设备尚可，就是位置偏了一点。', '短评打分': 5}
{'短评内容': '酒店设备设施不错，早餐还丰盛，就是服务人员少了一点。', '短评打分': 5}
