{'短评内容': '很好，很好✌✌✌前台的帅哥美女都很好。✌✌✌✌✌', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 4}
{'短评内容': '可以带孩子住', '短评打分': 5}
{'短评内容': '干净，服务态度好。特别友善', '短评打分': 5}
{'短评内容': '服务人员的态度棒棒哒！房间环境棒棒哒！居住心情棒棒哒！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店對面是一個大型公園，可以散步，晚上公園外圍就變了賣夜宵、水果、菜、書本……市場和很多大叔大嬸在唱歌跳舞；步行10-15分有一家大型超市和很多食店（麻辣串、麵食、豆漿、包點……）', '短评打分': 4}
{'短评内容': '虽然旧了点，服务各方面不错！', '短评打分': 3}
{'短评内容': '感觉不错   好评', '短评打分': 5}
{'短评内容': '优点：锦江之星一如既往的风格，干净！整洁！服务人员态度好！酒店对面有个公园，晚上散散步不错！缺点：电视频道少！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务不错，干净卫生', '短评打分': 5}
{'短评内容': '还行！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '性价比不错的酒店，下次来还可以定这里，', '短评打分': 3}
{'短评内容': '酒店还行 没早 就是价格不便宜', '短评打分': 4}
{'短评内容': '挺好的。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '很好，，，还有积分，，方便', '短评打分': 5}
{'短评内容': '下次还来 比鼓楼店好下次还来 比鼓楼店好下次还来 比鼓楼店好', '短评打分': 5}
{'短评内容': '酒店靠近新月广场，乘旅游专线很方便，服务也很热情，不错，会向朋友推荐这家酒店。', '短评打分': 5}
{'短评内容': '床舒适，易睡，干净!', '短评打分': 3}
{'短评内容': '非常不错的酒店，服务员的态度非常好。地理位置很不错。下次一定还入住。', '短评打分': 5}
{'短评内容': '酒店不错,交通方便,服务周到。', '短评打分': 3}
{'短评内容': '锦江之星一直感觉都不错，住宿环境好，干净整洁，非常适合出差住宿', '短评打分': 5}
{'短评内容': '性价比不错，交通不是很方便，房间干净，服务也不错。', '短评打分': 5}
{'短评内容': '，很干净', '短评打分': 3}
{'短评内容': '该酒店卫生好，价格合理，服务很好，停车也方便，傍边就是新月广场。可以品尝一下宁夏的小吃。\n', '短评打分': 5}
{'短评内容': '卫生状况可以，服务员态度好。但地方比较偏，周边环境较差。', '短评打分': 5}
{'短评内容': '房间比较大 旁边还有大型花园  就是地理位置不是很好', '短评打分': 5}
{'短评内容': '很好，服务热情，停车方便，交通便利，出门走5分钟是小吃街。', '短评打分': 5}
{'短评内容': '位置很不错，在北京路和丽景路交叉的地方，我们是开车的，所以感觉很方便，还有院内停车场，很安全。房间在快捷酒店里算大了，而且很干净。不靠马路的那面非常安静。值得一提的是前台小伙子非常友善，还帮我们修电脑。', '短评打分': 5}
{'短评内容': '交通方便 下高速就到 停车场比较大 酒店不远的饮食街的烤羊腿非常好 房间也很好 拥有锦江之星的一贯风格', '短评打分': 5}
{'短评内容': '该酒店卫生好，价格合理，服务很好，停车也方便，傍边就是新月广场。可以品尝一下宁夏的小吃。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好.的很好很好.的很好很好.的很好很好.的很好很好.的很好很好.的很好', '短评打分': 5}
{'短评内容': 'HORRIBLE SERVICE. The hotel is located very far away from the city center and it is extremely difficult to get taxis. Elong says that there will be a breakfast and there is none. Terrible hotel and te', '短评打分': 1}
{'短评内容': '1. Room is comfortable and space is good.\n2. Location OK but not so near to major shopping malls.\n3. Value of money is good.\n4. Service are OK.\n5. Towels in the bathroom looks very dirty. But seems al', '短评打分': 5}
{'短评内容': '锦江之星的酒店，感觉很不错，这个酒店很注重细节，从房间内的设施就可以看出来，就是在国道边上，过往车辆很多，有些吵，好像退房是不查房的，速度很快。', '短评打分': 5}
{'短评内容': '干净整洁，服务态度比较冷淡，但还能做到有问必答，床太软了睡觉非常不爽，餐厅饭菜种类比较少', '短评打分': 1}
{'短评内容': '服务不错，房间干净整洁，面积也不小，就是没有早餐，整体非常不错', '短评打分': 5}
