{'短评内容': '舒服，房间大，值得', '短评打分': 5}
{'短评内容': '无早，热水差', '短评打分': 3}
{'短评内容': '没早餐，热水第二天早上才有。', '短评打分': 2}
{'短评内容': '到店都11:半了', '短评打分': 4}
{'短评内容': '不好找。', '短评打分': 4}
{'短评内容': '服务员态度一般', '短评打分': 4}
{'短评内容': '停车位很不足，停在对面酒店大坝里还早上去动车；房间很少且临街，完全可以看到对面，4-5楼还好，不算吵，但墙壁隔音很差，听得到隔壁的声音；设备一般有点差就电视机和空调电热毯；距离景点和吃饭的地方都很近，景点走10分钟就到，楼下和周边都可吃饭，古镇就在旁边，很适宜散步；服务人员还不错，就是吃饭的人比住的多，顾不过来。', '短评打分': 4}
{'短评内容': '就只有我们两个人住整个客栈，设施都齐全，离景区很近，但是服务态度不太好，明明定的登巴客栈，却让我们住对面的海丽客栈，明明我们定的大床，给我们的标间，两张床，整个摩西古镇其实就是个乡坝头的镇，很差劲，吃的什么很少，没特色，还没有洛带古镇好，反正没意思。', '短评打分': 2}
{'短评内容': '本来一直用艺龙订房的，现在开始改用携程了。不止听一家酒店说不愿意跟艺龙合作了。春节一路用艺龙订房，昨晚到店后前台居然说没房，说艺龙根本没有联系！又晚又冷又饿，春节去哪里找房？只好委屈在旁边二星客栈住下来。艺龙居然说价格比原来定的低了不赔付了，他们只退还之前我支付了的房款！必须比原来定的房价高他们才会赔付差价部分，这就是艺龙所谓的“到店无房首晚赔付”。呵呵，难怪很多酒店不愿意跟艺龙再合作。我想以后就', '短评打分': 2}
{'短评内容': '我们是自驾游，停车位差不多没有了，需要第二天早上挪车位，但免费；客栈一楼是饭馆还蛮红火的，二至五楼都是房间，一层3间房，楼道太狭窄了，房间也太小，但基本设备还是有的，24小时都有热水，没有吹风机，房间卫生的确一般，隔音效果极差，门外一点声音都很明显；客栈临街，但外面很安静，出门右转步行2分钟就可到磨西古街和天主教堂，左转步行不超过10分钟就到海螺沟景区大门，很近很方便，整个小镇不大，花个一个半小时', '短评打分': 4}
{'短评内容': '房间不错，老板服务好，价格公道', '短评打分': 5}
{'短评内容': '安排在旧楼房间，性价比不高，老板娘人还不错', '短评打分': 3}
{'短评内容': '一般吧，在那个镇上也算不错的酒店了，离景点很近', '短评打分': 3}
{'短评内容': '客栈位置很好找，虽然房间比较小但是热水非常好，而且老板服务非常好，满意', '短评打分': 5}
{'短评内容': '设施环境等一般，老板服务态度不错。适合对住宿条件要求不高的入住，对住宿条件要求较高的请绕行。', '短评打分': 3}
