{'短评内容': '房间的烟味太重', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '该说什么好呢，最大的特点就是25小时退房，不用那么着急。但服务就谈不上了，哦，不过那位女经理挺不错的，有客人优先意识。', '短评打分': 3}
{'短评内容': '就是比较安静吧，但是好多年了的酒店，设施是不食人间烟火的人设计的，很不实用，椅子也已榻陷。。。。。。。', '短评打分': 3}
{'短评内容': '卫生还行，能接受，反正毛巾是用自己的。房间还是很大的。但是房间的设备一般般。有个沙发。进来是房间有点味道，但是开了窗就好了。房间还有植物呢。发财树。', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '多次住在这个酒店了，基本还行，离机场较近，办事方便，周边环境不太好，较偏僻，商务出行还会选择住这里。', '短评打分': 4}
{'短评内容': '房间卫生有待提高', '短评打分': 2}
{'短评内容': '卫生不是很好！', '短评打分': 3}
{'短评内容': '好评！', '短评打分': 4}
{'短评内容': '酒店老了，墙纸都开了，大不如前', '短评打分': 4}
{'短评内容': '酒店用品陈旧了，到处破损严重。', '短评打分': 5}
{'短评内容': '房间很干净，舒服，是我想要的，酒店的服也很好。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 1}
{'短评内容': '比较喜欢自由的退房时间', '短评打分': 3}
{'短评内容': '住不错，还行，差不多。就这样。吃嘛真有点不是太方便，交通也只能打个嘀哦，总体给我个人感觉还行，有待尽心去做好的地方很多。不说基本都能猜到。', '短评打分': 4}
{'短评内容': '酒店的前台和服务员都很热情，可能是刚开的原因吧。酒店的东西都非常新，就是打车有点难', '短评打分': 5}
{'短评内容': '这个连锁酒店的性价比还是蛮高的，但电梯只有1个不太方便！', '短评打分': 5}
{'短评内容': '房间环境还可以比较干净，但位置比较偏很难找到，最后通多方努力才找到这个地方！', '短评打分': 5}
{'短评内容': '酒店服务不错，房间干净，明亮，宽敞。早点美味，能够更丰富一些就好了。', '短评打分': 3}
{'短评内容': '酒店房间不错，我住的是603圆房床，优点：房间干净，较大，有植物，跟图片一样。缺点：前台，大厅较为简陋，不太上档次，电梯小不够气派，走廊地毯较脏，走廊墙材料不够高档应贴高档墙纸，电梯还要刷卡而且不灵敏。。。。位置有点偏。。。开车在旁边找了半天，最后打电话给前台才找到的。。。。', '短评打分': 5}
{'短评内容': '房间还不错.25小时循环制退房比较新颖.周围环境差了点.餐厅营业到晚上12点这点比较好.总体性价比很高了', '短评打分': 3}
{'短评内容': '多次入住。满意', '短评打分': 3}
{'短评内容': '非常给力，价格不高，但是\n，，，，，，，房间很好', '短评打分': 5}
{'短评内容': '房间很大，环境很不错，而且25小时制很人性化', '短评打分': 5}
