{'短评内容': '感觉还好 就是空调小了点 总的感觉还是蛮好的h 还有个小冰箱 这就比较不错 ', '短评打分': 5}
{'短评内容': '服务态度很好，及客房卫生、环境都是同级宾馆中的最好', '短评打分': 5}
{'短评内容': ' 恒银宾馆性价比很好,卫生,空调及服务都不错。', '短评打分': 3}
{'短评内容': '房间空间太大能练体操，卫生间空间又太小，家具摆设好像家庭，好在地面是木地板，没有潮味。挂三星级，但是感觉怪怪的。。。', '短评打分': 5}
{'短评内容': '还可以吧，在莱阳这种小地方就算是不错的酒店了。价钱比较便宜。', '短评打分': 5}
{'短评内容': '酒店很舒服美中不足停车厂小', '短评打分': 3}
{'短评内容': '住了两次，性价比一般！适合普通出差住！还可以！推荐！！！！！！！', '短评打分': 5}
{'短评内容': '交通方便，总体感觉还算不错但电视有点不搭。', '短评打分': 5}
{'短评内容': '恒丰银行开的，估计开的时间不算短了。电视有点差，房间干净、价格一般。', '短评打分': 5}
{'短评内容': '挺老的酒店了 恒丰银行的宾馆，卫生是很不错的', '短评打分': 5}
{'短评内容': '房间超级的差，地毯都陈旧的有洞了，除了床铺还行外，该酒店实在找不出什么好的', '短评打分': 1}
{'短评内容': '客房硬件设施不错，就是提供的早餐一般.位置比较不错.出行比较方便.', '短评打分': 5}
