{'短评内容': '酒店内的网络不行，电视信号差，希望下次入住有所改变。', '短评打分': 5}
{'短评内容': '环境很好就是看电视不方便奥运啊', '短评打分': 3}
{'短评内容': '酒店网络没有，电视信号特差', '短评打分': 3}
{'短评内容': '其它一切还行，就是网速实在不敢恭维...', '短评打分': 5}
{'短评内容': '房间有点小，不过也差不多可以啦。。。 房间不隔音啊 。。。在门外可以听见里面的人说话！', '短评打分': 5}
{'短评内容': '环境可以，服务可以，订的是有电脑商务大床房，去到发现只有四间有电脑，已经都住人了，没办法，只能住没电脑的，其实想上网查点东西才订的，哪知道没有了', '短评打分': 5}
{'短评内容': '位置不错，方便。', '短评打分': 3}
{'短评内容': '酒店房間衛生情況不錯，床很大很寬，附近也有頗多食店。但房間裡的上網速度跟龜速沒分別，慢得要死!', '短评打分': 5}
{'短评内容': '靠近固戍地铁站出口，交通方便，去机场可以坐地铁，但早上首班列车往机场要到6:47才有，想再早一点的话，可以坐公交338、367、615等路线到福围，再走3分钟左右就到机场，比坐地铁更省钱；要注意的是，地铁站早上6点半没开闸前，要过对面马路坐公交，是一件很麻烦的事，因为不能穿过地铁站，就必须走很远才有办法过马路。我入住的莉馨大床房空间很小，浴室也很小，不过很干净，空调也够力，晚上睡觉很宁静、很舒服。', '短评打分': 5}
{'短评内容': '距离地铁口近，酒店比较新，有wifi，还有自助洗衣，虽然无早餐，但附近很多吃东西的餐馆，所以，不是问题，距离机场也很近，出行方便。', '短评打分': 5}
{'短评内容': '虽然第一次入住该酒店，不出所料，酒店在地铁固戍站F出口，房间新、大，价格也不贵，感觉很好，可以做为今后首选。', '短评打分': 3}
{'短评内容': '这个酒店很差，黑店一样。住在里面一定要加把锁，否则酒店里面的工员门也不敲就 进来了！唯一的好处是 距离 地铁特别近！', '短评打分': 1}
