{'短评内容': '酒店服务不错', '短评打分': 5}
{'短评内容': '非常好的酒店。', '短评打分': 5}
{'短评内容': '没有早餐吃', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '酒店离火车站近，出行方便，性价比超高，门口有到皮革城的公交车，如果要购皮草住此酒店很方便，门口吃饭也方便，推荐！', '短评打分': 5}
{'短评内容': '退房时用预授权结账，结了却不让走，一定要让我等着查房查完，确认没有消费，否则就要付现金。太别扭了！！', '短评打分': 4}
{'短评内容': '不能忍大晚上10点半都多了，酒店派个男的保安duangduang敲门，说要查房，问几个人住，巨大嗓门。我说，不确认你是不是保安，我要和前台确认，确认倒是确实是，可前台说话是一点儿好气儿都没有，还再问我一遍房间几个人住，就别提对给客人的惊吓和打扰感到抱歉了！！我还是说，你查房可以，找个女的上来，前台哦了一声，也不说来不来，我就又干等半小时。期间惊悚的心情，也是没谁了！！', '短评打分': 4}
{'短评内容': '不错便宜啦', '短评打分': 5}
{'短评内容': '房间不错，服务一般', '短评打分': 4}
{'短评内容': '价格亲民合理早餐丰富', '短评打分': 5}
{'短评内容': '环境设施都不错 交通出行也很方便', '短评打分': 5}
{'短评内容': '还不错，下次还会住', '短评打分': 5}
{'短评内容': '还不错，下次还会住', '短评打分': 5}
{'短评内容': '酒店位置不错，就在市中心，距离皮革城开车10分钟就到。房间较大，设施还算齐全，但是卫生一般，地毯较脏，378这个价位不值，考虑今晚入住其他酒店。', '短评打分': 3}
{'短评内容': '酒店不错 贵重东西忘拿了 也找回来了～', '短评打分': 3}
