{'descr': '态度好。酒店有点旧', 'star': 5}
{'descr': '没有电风吹，没有电风吹，没有电风吹，重要事情说三遍！房间味道很大，地毯陈旧，但是地理位置不错', 'star': 2}
{'descr': '二组', 'star': 5}
{'descr': '参观展览，最佳住地。', 'star': 4}
{'descr': '酒店虽然陈设老旧，但还算干净，离一妇婴很近，马路对面，服务也挺好的，早餐一般，对于去看病的人们，还是首选的酒店，以后去了还会入住的', 'star': 5}
{'descr': '好吧，应该叫宾馆吧，不能叫酒店，一个房间竟然连吹风机都没有，只有在走廊有，也是醉了的，和我们这边旅馆差不多饿 ，最主要是没有4G，没有4g', 'star': 1}
{'descr': '还可以，很好找，交通也挺方便的，就是不能办会员，退房时间12点，每超一小时20元，退房时间延长到14点就更好了。', 'star': 4}
{'descr': '老酒店了，设施旧一些，在妇婴医院附近，看病很方便，总体来说还不错', 'star': 3}
{'descr': '朋友去对面医院看病，图方便', 'star': 3}
{'descr': '主要距离办事的地方近，其他的一般。', 'star': 5}
{'descr': '房间里有股怪味很刺鼻，一晚上没睡好，四处散发着霉味，再也不会去第二次了', 'star': 1}
{'descr': '差差差', 'star': 1}
{'descr': '房间一般，卫生可以，主要优势就是到博览中心近！wifi不稳定，酒店服务员态度好！最不好的就是吃早餐的地方，卫生差，餐具不干净，没有消毒柜！又不消毒！而且态度极不好！特别是那个年纪大（短头发）厨房服务员！！！', 'star': 4}
{'descr': '空调不行，被子薄了晚上冷一晚上，还不让换房，电话也坏的，水也不热。', 'star': 2}
{'descr': '一般。价格有点高。', 'star': 3}
{'descr': '酒店较旧，味道有点重  离办事的地方近是王道', 'star': 5}
{'descr': '为了看病，只是去一妇婴方便，现在还得住。', 'star': 4}
{'descr': '一般吧,被子不舒服,其他还好.', 'star': 4}
{'descr': '去展会的话住的方便，酒店有班车接送', 'star': 4}
{'descr': '还行，服务态度挺好的。有专车送往新会展，挺方便的', 'star': 4}
{'descr': '还不错，还不错，还不错，还不错，还不错，还不错', 'star': 5}
{'descr': '还不错！ 服务还可以～\n里会展稍远，但有专车接送。', 'star': 5}
{'descr': '总的来说不错！  附近吃饭也比较便宜，方便！  会展期间也有专车接送。', 'star': 5}
{'descr': '服务还不错，还有车去会展中心，周边还有家不错的小饭馆哈哈', 'star': 5}
{'descr': '距离展览馆很方便，酒店有专车接送，附近超市用餐也很方便', 'star': 5}
{'descr': '总体来说还是不错的，干净，服务也很热情。有些小问题，服务生总是第一时间解决，非常及时。最亮的是，有往返新国际博览馆的班车，对于参加展会的人来说实在是太方便了！', 'star': 5}
{'descr': '住的还行，服务还好，下次去了还要订，离会展很近还有专车接送不错。', 'star': 5}
{'descr': '酒店设施一般，房间比较陈旧，电视能把人看花眼。服务态度不错。', 'star': 5}
{'descr': '酒店服务还是不错的，价格挺实惠。就是房间有点小啊。', 'star': 5}
{'descr': '在新国际博览中心不远，算是可以的。卫生有待改进，不过对得起价格，毕竟是在高消费的上海。', 'star': 5}
{'descr': ' 房间和图片相差很大 很小 床短', 'star': 3}
{'descr': ' 房间和图片相差很大 很小 床短', 'star': 3}
