{'短评内容': '环境可以 床舒服', '短评打分': 5}
{'短评内容': '太差了 卫生间直接不能冲水 房间感觉怪怪的 环境不太安全 电视电脑都是坏的 像以前改造的旧房子 早餐没有 ', '短评打分': 1}
{'短评内容': '总台和房间是分开的，所以有些服务不怎么跟得上，总体来说蛮不错的', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '还是不错', '短评打分': 4}
{'短评内容': '是那种大堂和住房分开的类型，看不到服务员。还没合规发票。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '很不错。东西忘带了还找回了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '将就', '短评打分': 4}
{'短评内容': '感觉一般 交通还算方便吧', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '一般般吧。第一天就换了三次房间，不是卫生间门坏就是没有宽带WIFI也连不上。。服务可以', '短评打分': 3}
