{'短评内容': '啦啦', '短评打分': 5}
{'短评内容': '离要去的学校很近，价格很实惠，早餐一般，但是隔壁有家快餐店，很实惠。房间没有吹风机，需要前台借用。前台服务很热情，还给免费寄存了行李，空调效果很好，WiFi比较慢，经常连不上。很适合短期出差。', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '有停車場的', '短评打分': 4}
{'短评内容': '早餐还行吧', '短评打分': 5}
{'短评内容': '奏和', '短评打分': 2}
{'短评内容': '设施不太好，朋友说没有无线', '短评打分': 4}
{'短评内容': '周边酒店太多了。相对来讲稍微贵了点，没有早餐。', '短评打分': 4}
{'短评内容': '卫生还可以 但是噪音太大', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '开发票还得另外加钱的…', '短评打分': 3}
{'短评内容': '我每次都住这里，还算比较方便吧', '短评打分': 3}
{'短评内容': '酒店干净利落，印象很好', '短评打分': 3}
{'短评内容': '宾馆还行不过离火车站不止5公里', '短评打分': 3}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '按照这个价格应该还不错 ,环境补角幽雅,设施还可以,就是卫生和硬件设施不是很理想,毕竟就是这样的价格.边上吃饭也比较方便,服务员的态度还可以.', '短评打分': 5}
{'短评内容': '环境很好很干净，早餐也很不错，最主要服务态度很好。', '短评打分': 3}
{'短评内容': '毕业了，估计没机会再住这儿了，赞一个吧~', '短评打分': 5}
{'短评内容': '房间环境还不错，服务态度也挺好的，周边环境不太好。。。', '短评打分': 5}
{'短评内容': '还行吧，就是只能定老店，有电脑房，省的带电脑了。要能定新店好了。', '短评打分': 5}
{'短评内容': '  还好。', '短评打分': 3}
{'短评内容': '天都性价比高,但位置较偏,早餐过于简单', '短评打分': 3}
{'短评内容': '虽然是老的天都，不过还行吧~~~~~~~', '短评打分': 5}
{'短评内容': '住宿条件\u3000总体还可以\u3000建议不要住靠马路一边的房间', '短评打分': 3}
{'短评内容': '离火车站7公里多还说只有3公里，不过早餐不错，价格实惠', '短评打分': 5}
{'短评内容': '条件不错，服务也很好', '短评打分': 3}
