{'短评内容': '干净卫生，有加湿器', '短评打分': 5}
{'短评内容': '酒店服务很不错', '短评打分': 5}
{'短评内容': '酒店服务很不错', '短评打分': 5}
{'短评内容': '前台美女服务很好，还送了小夜灯，礼物虽小暖人心！', '短评打分': 5}
{'短评内容': '各种都一般', '短评打分': 4}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '设施比较旧，服务意识有待提高，别总担心顾客占酒店便宜，有时候只是问个问题，不必要似惊弓之鸟。', '短评打分': 4}
{'短评内容': '位置好，购物方便', '短评打分': 5}
{'短评内容': '位置好，购物方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '办事方便', '短评打分': 3}
{'短评内容': '房间太小了，                        周边环境不好                ', '短评打分': 4}
{'短评内容': '房间还挺干净的，凌晨到的酒店，前台在办理入住也很快，服务还可以', '短评打分': 4}
{'短评内容': '地理位置很好，房间非常干净，服务态度很好，', '短评打分': 5}
{'短评内容': '一般环境', '短评打分': 2}
{'短评内容': '만족스런 호텔입니다 주변이 대로변이라 걸어서 다닐곳이 많지않습니다 ', '短评打分': 5}
{'短评内容': '직원들 매우친절하구요 4성급 이상인데 가격은 착하고 조식부페 괜찮구요 하얼빈역에서도 가깝습니다 공항서 택시타면 1시간정도 걸립니다 공항이 외곽에 있어요 고급검정택시로는 약 240위엔 일반택시론 120위엔 나옵니다', '短评打分': 5}
{'短评内容': '不错，有机会会再来，能便宜点就更好啦，酒店入住率较高，不容易订。', '短评打分': 5}
{'短评内容': '不错，有机会会再来，能便宜点就更好啦，酒店入住率较高，不容易订。', '短评打分': 5}
{'短评内容': '不错，屋顶的壁画非常漂亮的萨芬法萨芬的范德萨发对双方都', '短评打分': 5}
{'短评内容': '不错的一家酒店，具有浓郁的欧式风情，服务人员意识较强。不过房间稍小', '短评打分': 5}
{'短评内容': '帮朋友定的，听说很不错，下次应该还会选择他。', '短评打分': 5}
{'短评内容': '这里顶多是个四星的酒店！', '短评打分': 3}
{'短评内容': '挺好的呀\n冰雪节结束了，价格又降了，不错喔。房间挺大的，早餐不太好吃。', '短评打分': 5}
{'短评内容': '地理位置很方便，卫生间较小，就是没有电脑上网，服务比较好。', '短评打分': 5}
{'短评内容': '卫生间太小，转身都难，浴缸也没有，总体感觉不象五星级酒店', '短评打分': 1}
{'短评内容': '价格高。', '短评打分': 3}
{'短评内容': '酒店很好，环境不错！就是空调声音很大！房间小点儿！', '短评打分': 3}
{'短评内容': '挺好的，就是现在太贵了，贵得离谱。。。而且餐饮非常非常难吃，还很贵。。。', '短评打分': 5}
{'短评内容': '地理位置很好，住房条件好，菜品还行，服务到位。', '短评打分': 5}
{'短评内容': '太贵了，非常贵，根本不值这个价格，现在，涨价幅度比香格里拉大多了。。。', '短评打分': 5}
{'短评内容': '还不错啦，房间很舒适。。。餐饮真的不行，冰雪节涨价太多了，性价比不高了。。。', '短评打分': 5}
{'短评内容': '还不错啦，就是现在贵，非常贵，性价比没有香格里拉高了，因为涨价幅度太大了。。。', '短评打分': 5}
{'短评内容': '不错不错啦，性价比在哈尔滨算很高的，就是餐饮不好吃。。。', '短评打分': 5}
{'短评内容': '很不错的喔，每次来哈尔滨都住这家酒店的，就是餐食不好吃，希望能改进。', '短评打分': 5}
{'短评内容': '挺好的，现在来哈尔滨都住这家，豪华大床房非常舒服。就是早餐难吃了点。', '短评打分': 5}
{'短评内容': '酒店不错，位置好。是5星级酒店里的选择。', '短评打分': 5}
{'短评内容': '酒店还可以，早餐一般，交通也很方便，在哈尔滨算是可以了', '短评打分': 5}
{'短评内容': '很不错，在哈尔滨五星级酒店里面性价比算是很高的。只是餐饮很难吃，非常的难吃。', '短评打分': 5}
{'短评内容': '很不错的，本来预计今天离开哈尔滨的，所以早上退房了，结果下午想订竟然全满了，只好住别的酒店的。只是早餐难吃了点，我基本都没怎么吃这里的早餐。', '短评打分': 5}
{'短评内容': '酒店条件很好，服务也很好，早餐很不错,特别突出了哈尔滨地方风味，面包很好吃，唯一一点是价格较贵；房间设施装饰豪华，感觉很舒适', '短评打分': 5}
{'短评内容': '酒店装修很豪华！环境很好！很清洁！服务非常好！早茶也丰富！停车厂也宽敞！以后出差还住这家酒店！给好评！继续加油！', '短评打分': 5}
{'短评内容': '挺好的喔，我去哈尔滨都住这家酒店的，在哈尔滨五星级酒店里面算是性价比很高的。只是服务不怎样，中餐厅那叫一个贵啊，还不好吃，吃完发票还得自己去西餐厅取。', '短评打分': 5}
{'短评内容': '挺好的啊，早餐不是很好吃，反正我吃不惯，但是每次去哈尔滨都住这里，出门挺方便的，在哈尔滨五星级酒店里面性价比算很不错的。', '短评打分': 5}
{'短评内容': '自助餐品种多,房间大,干净,位置好!', '短评打分': 3}
{'短评内容': '挺不错的，每次来哈尔滨都住这家的，在哈尔滨五星级酒店里面算是性价比比较高的。', '短评打分': 5}
{'短评内容': '很不错的喔，我每次来都住这家酒店的，在哈尔滨五星级里面性价比算是比较高的了。', '短评打分': 5}
{'短评内容': '不错，这是哈尔滨性价比比较高的五星级酒店，不过早餐难吃了点，其他都很不错。', '短评打分': 5}
{'短评内容': '本酒店交通方便，环境安静，房间设施齐全，前台服务很好，结账离店速度很快，值得推荐。 ', '短评打分': 5}
{'短评内容': '不错的一个酒店，地理位置和硬件都不错，就是服务太差，看上去像是管事的几个女服务素质太差！', '短评打分': 1}
{'短评内容': '酒店还算不错，在哈尔滨算是比较新的。', '短评打分': 3}
{'短评内容': '已入住很好', '短评打分': 3}
{'短评内容': '下大雨了，酒店的雨伞都借完了，也不帮打的，其它都不错。', '短评打分': 3}
{'短评内容': 'The hotel is very convient located and the room is big and clean. The service staffs are polite but the breakfast are not too impressive.', '短评打分': 5}
{'短评内容': '已入住新巴黎酒店硬件还可以其他还不了解', '短评打分': 3}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '大堂很气派，房间较小，早餐还可以，价格900多有点贵，应该在600左右，', '短评打分': 1}
{'短评内容': '其他都不错，就是门口服务人员太差，人不少，即不帮叫车，也不帮提行李。不知他们整天干啥。', '短评打分': 1}
{'短评内容': '整体很好，还给免费升级了行政套房！非常满意！早餐也不错，种类还算丰富，时间也够晚结束，能睡个懒觉还不耽误吃早餐！前台服务也很热情，总体很满意！', '短评打分': 5}
{'短评内容': '哈尔滨新巴黎大酒店环境还不错~~~~~~~~~~~~~', '短评打分': 5}
