{'短评内容': '性价比不好，设施太老，。', '短评打分': 4}
{'短评内容': '305房间 床很差 ', '短评打分': 4}
{'短评内容': '酒店还可以，周围也很方便，离区政府和省府很近，旁边吃的也多', '短评打分': 5}
{'短评内容': '位置还不错，离地铁站不远不近的地方，不过就在政府单位旁边，看上去挺安全的地方。  酒店有餐厅，费用可以算在房费上。  总体来说住得还行，可能时间略有些长，房间略显有些旧。  其他的就是要吐槽一下长沙，一定要记得带洗漱用品，免得还要自己买一套。。。', '短评打分': 4}
{'短评内容': '空调效果应更好', '短评打分': 3}
{'短评内容': '空调效果要增强', '短评打分': 3}
{'短评内容': '靠近办事地点较近，老酒店了，还可以吧', '短评打分': 3}
{'短评内容': '酒店主要位置或许远离市区，但离旅游景点较近', '短评打分': 4}
{'短评内容': '交通便利，服务态度很好！', '短评打分': 5}
{'短评内容': '来之前还特意看了一下评价的，本人常年出差，不算挑剔也不算太随意，总体上还是比较满意的。卫生不错，服务也可以，没住临街那个方向，还算清静。旁边是区政府的武装部，个人认为比较安全。出门就有吃饭的地方，湘菜地道，价钱中等。', '短评打分': 5}
{'短评内容': '老婆出差办事的地方就在旁边，所以帮她定了这个酒店，基本上中规中矩吧', '短评打分': 5}
{'短评内容': '长沙市天心区政府专业接待酒店，安全，气派，住这有面子。', '短评打分': 5}
{'短评内容': '周边环境不错，交通方便，性价比高', '短评打分': 5}
{'短评内容': '总体性价比不错！附近有各种各样的餐厅，晚上去了马路对面一个别墅式会所与朋友聚餐，环境好价格也还能接受。', '短评打分': 4}
{'短评内容': '酒店大堂里迎宾茶水挺暖心的，而且四楼的小大堂里也有，不知道二、三楼有没有?酒店的空调后半夜没有了——好像长沙大部分酒店都这样。', '短评打分': 5}
{'短评内容': '酒店睡觉还是比较安静的，边上就是天心区武装部，吃饭的店好多！', '短评打分': 3}
{'短评内容': '算是物有所值', '短评打分': 3}
{'短评内容': '＋该酒店周边环境安静，住房舒适，服务快速及时。', '短评打分': 3}
{'短评内容': '交通十分方便，周边环境很好，吃饭的地方也很多。\n酒店整体比较新，这个价位真的很超值，送早餐，还没去体验。\n唯一不方便的是不提供牙具。', '短评打分': 5}
