{'短评内容': '还行吧！！', '短评打分': 5}
{'短评内容': '非常nice...嗯...嗯...嗯...', '短评打分': 5}
{'短评内容': '离火车站不远，几分钟就到，环境不错，离市中心也很近', '短评打分': 5}
{'短评内容': '房间还可以，就是有些小方面需要改进', '短评打分': 4}
{'短评内容': '房间很大', '短评打分': 5}
{'短评内容': '好评好评好评好评', '短评打分': 5}
{'短评内容': '房间膈音不好！！楼道说话听的很清楚！！！卫生不怎么样！门缝比较大每天有人往门缝里发黄色广告！！！', '短评打分': 1}
{'短评内容': '离车站很近', '短评打分': 4}
{'短评内容': '离火车站很近', '短评打分': 4}
{'短评内容': '火车站很近', '短评打分': 4}
{'短评内容': '靠近火车站', '短评打分': 4}
{'短评内容': '还可以离火车站很近', '短评打分': 4}
{'短评内容': '服务不怎么好。', '短评打分': 3}
{'短评内容': '很好，值得再次入住，谢谢', '短评打分': 5}
{'短评内容': '多次入住，性价比高', '短评打分': 3}
{'短评内容': '多次入住，性价比高', '短评打分': 3}
{'短评内容': '位置很方便，周围比较热闹，边上就有饭店，吃饭方便。', '短评打分': 4}
{'短评内容': '比较一般，相当凑合', '短评打分': 3}
{'短评内容': '酒店不错，离火车站很近，也满干净，就是洗澡水不大。', '短评打分': 3}
{'短评内容': '同类型的酒店价位还是可以的，供应的早餐不错，最主要的就是前台服务不是很好，要一个电蚊香还要自己去拿，这个服务有点对不起价格了', '短评打分': 1}
{'短评内容': '朋友帮我订的，出出差路过，环境挺不错干干净净，而且也不是很吵，离火车站很近很方便', '短评打分': 5}
{'短评内容': '房间比较小 总体还可以 距离火车站很近 交通比较方便', '短评打分': 5}
{'短评内容': '离火车站很近，比较方便！！！！！！！！！！ ', '短评打分': 5}
{'短评内容': '很不错的酒店，下次来是我的首选！推荐下给各位朋友！', '短评打分': 5}
{'短评内容': '酒店位置还行，交通方便。', '短评打分': 3}
{'短评内容': '还是不错的，房间够大，也挺舒服，酒店地点离火车站也不远，很方便，就是早餐不如锦江之星，希望改进一下早餐', '短评打分': 5}
{'短评内容': '酒店交通方便，环境优雅，服务周到，个人感觉很满意，坚决向朋友推荐！很好的酒店！', '短评打分': 5}
{'短评内容': '非常满意，特别宽敞', '短评打分': 3}
{'短评内容': '服务啊房间啊还可以', '短评打分': 3}
{'短评内容': '室内显得很陈旧，地毯很脏，对不起这个价格。', '短评打分': 1}
{'短评内容': '酒店前台服务一般，房间有速八酒店的元素在里面。整体还可以。', '短评打分': 3}
{'短评内容': '挺好，一觉睡醒去火车站', '短评打分': 3}
{'短评内容': '＋服务态度很好，就是房间有点小，空气不好，总体还可以', '短评打分': 3}
{'短评内容': '还行~~连锁酒店。、、、、下次还住。。。。。', '短评打分': 5}
{'短评内容': '很好 服务到位 态度很好', '短评打分': 3}
{'短评内容': '前台服务态度生硬，环境整体一般，真是有悖连锁酒店的称谓，不过有一位经理还不错、', '短评打分': 1}
{'短评内容': '房间还是不错的，而且打电话不用开通和花钱。早餐一般，房间隔音效果较差。', '短评打分': 5}
{'短评内容': '性价比较高，商务标间两张床分别是1米5和1米2，非常适合家庭出游。', '短评打分': 3}
{'短评内容': '卫生打扫得不好，晚上整个酒店就只有一个服务员，而且服务员的态度也不好，要求加杯子，只给了里面的杯子，但是不给里面的被套。', '短评打分': 1}
{'短评内容': '还算不错！', '短评打分': 3}
{'短评内容': '价格太贵，性价比不是太高，不如边上MOTEL 168', '短评打分': 1}
{'短评内容': '房间不隔音，离车站近，房间有异味。', '短评打分': 3}
{'短评内容': '离火车站近  非常方便～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '房间很干净，空间适中，卫生间有一点小，总体很棒。', '短评打分': 3}
{'短评内容': '一般吧，电梯和别的公司共用，人很杂，两部电梯只有一部好使。不过房间还是不错的。', '短评打分': 5}
{'短评内容': '方便。酒店服务一般。房间一般，但蛮光亮、及干净。值得再次入住。', '短评打分': 5}
{'短评内容': ' 服务、环境非常好,交通便捷', '短评打分': 5}
{'短评内容': '综 合 来 说 各 大 方 面 都 还 不 错。', '短评打分': 5}
{'短评内容': '总体来说 还不错  性价比稍微高了点而已', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '除了地面清洁欠缺，总体来说还是不错的。', '短评打分': 3}
{'短评内容': '卫生可以，服务不错，自助餐一般', '短评打分': 5}
{'短评内容': '服务很好，价格优惠，位置火车站附近，交通很便利，唯一地毯清洁不干净', '短评打分': 3}
{'短评内容': '价格合理,卫生干净,还会光临.', '短评打分': 5}
{'短评内容': '卫生条件一般，设施比较完善，地理位置交通还成，服务不好，性价比一般', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店房间的内部设计感觉不是很好,进门之后有一个斜坡,要是不注意很容易摔倒,不过房间的卫生环境还是可以,性价比不错.', '短评打分': 3}
{'短评内容': '位置很好 就在火车站旁边，前台服务很热情，因为这个酒店是今年7月份新开的，里面所有的东西很新，卫生非常干净，值得一提的是早餐10元钱，自助早餐比一些别的经济连锁酒店强多了，房间内的空间也很大，窗户很宽敞，没有之前去过的一些酒店的那种压抑感，总的来说性价比是当地经济性连锁酒店最高的。', '短评打分': 5}
{'短评内容': '酒店被子不怎么舒服，另外洗澡间设计的不怎么合理，总体还不错。', '短评打分': 5}
{'短评内容': '高级大床房走进去有一个斜坡，不是很好，好几次走过都滑下去了，很容易摔倒，酒店应该注意这个安全隐患。', '短评打分': 5}
