{'短评内容': '服务很好。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '最差', '短评打分': 1}
{'短评内容': '价位算', '短评打分': 3}
{'短评内容': '没早餐，不能加床，适合带孩子，位置还好，有停车场', '短评打分': 3}
{'短评内容': '还行，服务态度挺不错！', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，位置好找，房间里设施还算全，隔音效果一般，其他的还不错，有机会再去玩的时候可以考虑还住这', '短评打分': 3}
{'短评内容': '还可以，基本满意。', '短评打分': 3}
{'短评内容': '环境很方便，出门就是饭店，交通也可以，朋友住的很不错，挺好挺好，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '脏脏脏差差差！难以忍受！十一开封人多涨价，莫泰七日锦江之星标间都在300多携程看这个229还有早餐，不放心还看了评价和图片，主要又看它是连锁才定的。结果我们晚上到了标间现付才159，这不是重点，关键是房间太脏太差了，完全不是图片上和评价的，这就是一个那种城中村的小家庭旅馆，前台和服务员都是一家，第一个房间马桶一冲水堵了，老板给了个马桶搋子让自己掏，厕所上个人用过的废牙刷和脏杯子都在没收拾。换个房间', '短评打分': 1}
{'短评内容': '网上看着真是不错，一进去，真是无语到家了，周围是破败的垃圾堆，屋里环境真是开眼了，卫生间漏水，淋浴不能用，洗脸池破了，吊顶掉了几块，还是自己按上去了，床后面的墙掉皮发霉等等等等，感谢店家，让我们花着240多的价钱，享受着45十块钱旅馆的住宿。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '卫生各方面都不行，尤其周边环境很差，唱戏的，干嘛的', '短评打分': 3}
{'短评内容': '没有热水，卫生间有异味，提前等级信息不做好，半夜敲门又要登记，早餐太垃圾，整个差评，热水壶也是坏的，空调不制热，隔音效果也不好', '短评打分': 1}
{'短评内容': '还可以吧！就是烧水的壶不太干净', '短评打分': 3}
