{'短评内容': '完全可以满足', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 4}
{'短评内容': '特别舒适', '短评打分': 5}
{'短评内容': '去海拉尔一直住这家，市中心的位置，去哪都方便，就是不太隔音', '短评打分': 5}
{'短评内容': '极差的酒店，感觉像黑店！大床房是个30度的斜角房，要求换房说反正交钱了，你爱住不住。', '短评打分': 1}
{'短评内容': '服务态度好.比较干净.', '短评打分': 4}
{'短评内容': '挺不错的，房间挺大，挺干净', '短评打分': 5}
{'短评内容': '房间很干净，住着很舒服。', '短评打分': 3}
{'短评内容': '把头的房间，这个季节有点凉。窗帘不能把窗户挡严，能透光进来。', '短评打分': 3}
{'短评内容': '房间很干净。住着很舒服。', '短评打分': 3}
{'短评内容': '环境不错，也挺干净，床很大，老板人很好', '短评打分': 3}
{'短评内容': '环境很好，中心地带，方便。', '短评打分': 3}
{'短评内容': '这还不如旅馆，第二天发现被子上都是血真恶心，不过老板态度挺好', '短评打分': 2}
