{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '不错的酒店推荐下', '短评打分': 5}
{'短评内容': '因为到的晚所以没感觉什么特别的，服务还不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错 很好 ', '短评打分': 4}
{'短评内容': '停车还要单独收费，房间地毯脏的一塌糊涂，异味很浓。前台服务员一身酒气，非差不专业，服务态度极差。以后再也不会住这里了。', '短评打分': 1}
{'短评内容': '没有早餐，不能加床，环境还好。。。。。。', '短评打分': 5}
{'短评内容': '坑爹碰上了一个全是小孩的旅行团，房间挨在一起，吵得不行，连管的人都没有，整层楼的房顶都要掀掉了，一夜没睡好，太恐怖了。', '短评打分': 4}
{'短评内容': '豪华比商务好些，较安静，基本听不到楼下卡拉OK的声音，对面有很多小店，没含早餐的小伙伴可以考虑一下对面不远的奉化小林生煎', '短评打分': 5}
{'短评内容': '环境不错，价格适合!', '短评打分': 5}
{'短评内容': '商务间实在是很挤，为了干湿分离洗漱台居然挨着门边，床很软，不舒服，卡拉OK很吵，还好分在另一边，几乎听不到。', '短评打分': 5}
{'短评内容': '酒店不错，宽敞干净', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '房间有霉味，其他还不错', '短评打分': 4}
{'短评内容': '房间干净整洁，周边餐饮及出行都很方便，预计没有早餐前台送了，非常棒', '短评打分': 5}
{'短评内容': '周边小吃不少，就是不太好找。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务态度很差，酒店设备太老，2楼Ktv影响睡觉。', '短评打分': 2}
{'短评内容': '房间还舒适，就是早餐品种少了。', '短评打分': 3}
{'短评内容': '房間干凈，早餐衛生。\r\n网絡有些不便，設施有些舊', '短评打分': 3}
{'短评内容': '为了降低成本，夜里偷偷停掉空调，热的比外边的温度相差无几，再也不来住了', '短评打分': 1}
{'短评内容': '发现此酒店的秘密：深夜里，停空调，为了节省电费？', '短评打分': 1}
{'短评内容': '中规中矩的酒店，相加比还可以，适合商务出差的入住，总体不错的。', '短评打分': 5}
{'短评内容': '酒店位置还可以，交通是挺方便的，离火车站不远，算是个性价比可以的酒店了。', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐，下次还会考虑入住的。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '地处闹市中心地段，生活休闲都很好。非常经济实惠，性价比超高。是个好去处。酒店应有的设备和服务很周全。', '短评打分': 5}
{'短评内容': '不错的酒店。下次还会选择入住的。。。。。。', '短评打分': 5}
{'短评内容': '价格合适，环境优美，安静...........', '短评打分': 5}
{'短评内容': '地点太远，也非常不好找，房间和床都很小，晚上有点吵，早餐比较简单', '短评打分': 1}
{'短评内容': '酒店很中性，生意好像很好，餐饮也不错，味道还算可口，整体比较满意。', '短评打分': 5}
{'短评内容': '离火车站真的比较近，服务也还好，退房很快，不错，下次还住。', '短评打分': 5}
{'短评内容': '酒店不错，价格实惠。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '就是性价比不高', '短评打分': 3}
{'短评内容': '房间干净整洁，比较实惠经济，餐厅菜肴也不错，味道啥的也蛮好的，下次还住这家。', '短评打分': 5}
{'短评内容': '离火车站比较近，性价比还可以，周边还有很多好吃的小吃铺子。', '短评打分': 5}
{'短评内容': '酒店不错值得推荐。酒店不错值得推荐。酒店不错值得推荐。酒店不错值得推荐。', '短评打分': 5}
{'短评内容': '大堂前台的几个服务员里，就那个胖胖的戴眼镜的男的态度不行。', '短评打分': 1}
{'短评内容': '就是小了点，其他的都很不错， 服务也好，设施也好。 早餐也不错，就是少了些，饭量大的吃不饱。 ', '短评打分': 5}
{'短评内容': '主要是代客户预订的，但客户只进去住了两个小时就走了，所以评价也不好评价，总体环境应该可以。', '短评打分': 5}
{'短评内容': '酒店位置位于鄞州区商务中心，周边为万达广场。酒店设施不错，早点也还可以。但工作人员的岗前培训不够，结账速度慢，打个发票还打反了。总的来说还可以.\n', '短评打分': 5}
{'短评内容': '给我们经理订的酒店，商务旅行，指定要求这家酒店，据反映非常不错，交通便利，环境很好，服务、卫生各个方面都到位，这个价钱非常值。还是那句话，一分价钱一分货。\n', '短评打分': 5}
{'短评内容': '房间看上去比较干净，整洁。很好。对得起这个价位的了。早餐太烂，不是价格低廉问题，是明显的不用心做。', '短评打分': 5}
{'短评内容': '地点稍微差了一点，不过总体性价比很高，还是很满意的。', '短评打分': 5}
{'短评内容': '服务周到，房间干净整洁，周边饮食及交通购物便捷。\n\n遗憾：酒店早餐约为简单', '短评打分': 5}
{'短评内容': '信价比还是可以的，房间比较干净，周边有很多好吃的，出行也很方便，值得推荐。', '短评打分': 5}
{'短评内容': '酒店不错，交通便捷，服务也还好，房间很干净。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还行吧！总体感觉随然与想像有差距，但也不错了！', '短评打分': 5}
{'短评内容': '酒店很不错，安静，卫生，服务周到，位置方便.', '短评打分': 5}
{'短评内容': '环境非常好 服务态度也好 我晚了一会退房都没扣押金.', '短评打分': 5}
{'短评内容': '非常不错的一家酒店,地理位置好,服务也好,真的觉得非常满意.', '短评打分': 5}
{'短评内容': '入住过N次了，交通很便利，也很方便，还会在来得..', '短评打分': 5}
{'短评内容': '酒店总体不错，干净，整结。房间大小也可以，性价比不错，周围吃饭也方便，唯一早餐不尽人意，总体可以推荐。', '短评打分': 3}
{'短评内容': '房间很舒服,服务态度特别好,以后还会选择这里.', '短评打分': 5}
{'短评内容': 'very nice hotel as always, quiet and stylish. Will stay again.', '短评打分': 5}
{'短评内容': '酒店环境好，服务非常周到，配套设施齐全。我会向朋友积极推荐。', '短评打分': 5}
{'短评内容': '非常好的酒店，服务周到，房间干净，交通便利！', '短评打分': 5}
{'短评内容': '酒店不错，下次继续选择入住。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '以前住过，在鄞州区，离火车站比较近，环境很好。很不错的地方。就是check in的时候速度不是很快。\n\n', '短评打分': 5}
{'短评内容': '宁波第一次选择住该酒店，设施很好，很新！服务也不错，环境也很好！下次还会选择入住！\n\n', '短评打分': 5}
