{'短评内容': '很好红红火火恍恍惚惚红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '设施挺新的，交通便利', '短评打分': 5}
{'短评内容': '周边措施很好', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐很好', '短评打分': 5}
{'短评内容': '酒店位置很好，早餐不错', '短评打分': 5}
{'短评内容': '房地不错，挺好的。', '短评打分': 5}
{'短评内容': '好好好  推荐', '短评打分': 5}
{'短评内容': '环境不错，下次再去', '短评打分': 5}
{'短评内容': '酒店环境还不错让，服务亲切，很多客户在这里入住的', '短评打分': 5}
{'短评内容': '酒店环境还不错让，服务亲切，很多客户在这里入住的', '短评打分': 5}
{'短评内容': '酒店服务不错，价格实惠。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '목적이었던 이우 시장과 가깝고 주변에 편의점과 음식점이 즐비해있어 편했습니다. 일단 이우시장 2구와 3구에 굉장히 가깝습니다. 3구는 호텔 맞은편에 있고, 2구는 신호등 2개정도만 건너면 바로 도착이라 굉장히 좋았습니다. 저렴한 가격에 방 상태도 좋았고, 프론트 데스크 직원부터 시작하여 청소, 시설관리 직원들까지 친절하고 좋았던 기억 가지고 돌아왔습니다. ', '短评打分': 4}
{'短评内容': '목적이었던 이우 시장과 가깝고 주변에 편의점과 음식점이 즐비해있어 편했습니다. 일단 이우시장 2구와 3구에 굉장히 가깝습니다. 3구는 호텔 맞은편에 있고, 2구는 신호등 2개정도만 건너면 바로 도착이라 굉장히 좋았습니다. 저렴한 가격에 방 상태도 좋았고, 프론트 데스크 직원부터 시작하여 청소, 시설관리 직원들까지 친절하고 좋았던 기억 가지고 돌아왔습니다. ', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '环境很好，干净，服务态度好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店环境非常好。各方面都很单位。价钱也很实惠。绝对值得。', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '大厅环境什么的都还不错的，就是床单有点潮湿，不换还好，一换吓一跳，床单下的东西真的有点恶心，估计重来不换，可能酒店都这样吧', '短评打分': 5}
{'短评内容': '位置很方便 房间够大很好 就是冷气温度太低了', '短评打分': 3}
