{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '位置好、环境不错、服务好。', '短评打分': 5}
{'短评内容': '一般般，不贵价格也不算贵', '短评打分': 5}
{'短评内容': '酒店位置比较好找，停车方便，离青秀山公园很近，走路10分钟就到，早餐品种很多。', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '铂丽菲好的！！！！！！！！', '短评打分': 5}
{'短评内容': '我订了拼床大床间，房间算是可以的，只是为毛那个淋浴的花洒水管那么短，不能挂着用。从卫生间出来的地板，很多水，打滑。', '短评打分': 4}
{'短评内容': '很划算的价格，不过酒店有点旧了，又是老式地毯，感觉粉尘大，过敏性鼻炎的我，住起来有点难受，服务其他很好。', '短评打分': 5}
{'短评内容': '周你咯赛季么了链接阿狸链接了不', '短评打分': 5}
{'短评内容': '除了早餐品种有点少，其他都不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '用心做的一间酒店', '短评打分': 5}
{'短评内容': '酒店很好 和朋友一起住的 第二天赶机场 非常愉快 晚上茶庄还有古筝演奏 算是惊喜？以后还会继续住的 ', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好！挺舒服的', '短评打分': 5}
{'短评内容': '环境比之前好~感觉整改过了！', '短评打分': 5}
{'短评内容': '入住时安排902房间，以为可以，谁知道过了12点夜深人静时，房间充满电流嗡嗡声音，使人无法忍受，不能入睡。熬到深夜2点多，向客服中心反映，服务员来查看后叫去总台办理换房。无奈只好到总台办换房手续，换到1120房，还好不那么嘈，折腾到了3点多，勉强能睡一会。悲催！', '短评打分': 4}
{'短评内容': '帮同事订的，位置和环境都不错', '短评打分': 5}
{'短评内容': '挺不错的，准四星级', '短评打分': 5}
{'短评内容': '早餐种类太少', '短评打分': 4}
{'短评内容': '酒店设施陈旧，离市区比较远，早餐一般。。。。。。。。。。', '短评打分': 1}
{'短评内容': '2011年才开的酒店，自然硬件条件还不错，不过从装修的细节来看，我觉得是个比较好的三星标准吧。奇怪的是酒店大堂居然有挂牌四星。行李生没看到，导致自己拿行李，整体服务还不错。南宁的酒店普遍性价比比较高，如果在附近住的话，还是推荐这家酒店。', '短评打分': 5}
{'短评内容': '  停车方便!位置好找!环境好!', '短评打分': 3}
{'短评内容': '酒店不错，就是装修后的味较大！', '短评打分': 3}
{'短评内容': '服务好,交通不方便,周围没什么餐饮店', '短评打分': 3}
