{'短评内容': '。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常干净的酒店热水还是温泉水，非常满意', '短评打分': 5}
{'短评内容': '离咸阳湖很近', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '酒店卫生间卫生不好。马桶盖都坏了。服务不好。一次性纸杯还收费。太扣！', '短评打分': 3}
{'短评内容': '硬件软件差的厉害', '短评打分': 1}
{'短评内容': '对象挺好，大家随便入住，？？。。。。。。。。。。。，，地段也。。。。。。。。。。。。。。。。。。好，', '短评打分': 5}
{'短评内容': '服务很到位，就是无线网有点差，也还是好评了', '短评打分': 5}
{'短评内容': '还可以吧！七天服务还不错', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '晕晕晕，想起就生气，莫名其妙被服务员开门，这还需要说什么嘛', '短评打分': 4}
{'短评内容': '要求不高的 可以凑合一下', '短评打分': 3}
{'短评内容': '整体还好，就是进去时有点味，窗户没锁，周边环境很好，吃喝玩乐都购都相当方便，人民路是最繁华的一条街，推荐去附近的粗粮王就餐', '短评打分': 4}
{'短评内容': '在市政府附近，出门方便，步行大约五分钟就到市政府，出来办事儿方便，出行方便，住宿环境也不错，附近有不少吃的', '短评打分': 5}
{'短评内容': '和携程的对接有些许问题，总体来说还不错，就是卫生间有味', '短评打分': 4}
{'短评内容': '环境可以，但面积略小，整体服务及设施确实不错，所在地交通也比较方便，附近小吃也不少，晚上可以好好享受。值得推荐。', '短评打分': 4}
{'短评内容': '周边环境还不错，比较方便，房间情况一般', '短评打分': 5}
{'短评内容': '前台小姑娘热情周到，我到的很晚了，依然帮我们妥善解决问题，门口的保安大叔也提醒关于停车的事宜，非常认真，房间内干净就是没有电梯。地理位置方便，附近特别多好吃的。推荐。', '短评打分': 3}
{'短评内容': '电梯都没有，卫生间老旧', '短评打分': 3}
{'短评内容': '不错，价格环境还是可以', '短评打分': 3}
{'短评内容': '还不错吧，离高速很近，好找，入住条件一般，但是吃饭交通方便', '短评打分': 5}
{'短评内容': '刚来，有些服务人员态度不好，其他一般，还比较推荐', '短评打分': 5}
{'短评内容': '门口没有停车位，只能是先到先占，服务态度不错，洗澡水也不错', '短评打分': 5}
{'短评内容': '很舒服!我喜欢服务态度很好的!这里不仅服务好酒店环境也很好的!', '短评打分': 5}
{'短评内容': '下次去咸阳继续住这家，位置方便在市中心，咸阳出租6元起价4公里才跳一次啊，几乎可以坐遍全城，148的价格地面都是地毯，背后是小区很安静啊，对我来说算豪标了，有人说水龙头太旧，是因为每个酒店都用的咸阳统一供应的地热水，水是咸的所以水龙头腐蚀了，地热水啊，还没享受过这种待遇啊，洗了澡全身好光滑啊，喜欢咸阳，比西安好多了！！！！', '短评打分': 5}
{'短评内容': '总体情况尚可，就是比较吵，隔音效果不太好。', '短评打分': 5}
{'短评内容': '酒店服务与环境不错，价格也还行', '短评打分': 3}
{'短评内容': '客房配置略显陈旧，而且设施也是有待提高，整体印象不是很好.', '短评打分': 3}
{'短评内容': '商务酒店，对于商务出差还是比较方便的，而且位置好，出行方便.', '短评打分': 5}
{'短评内容': '房间宽敞明亮，而且住着空间也是蛮大的，挺舒服.', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快的，而且服务也很热情周到，对我们都挺亲切的，条件不错.', '短评打分': 5}
{'短评内容': '很好 很满意 服务也好 就是没有电梯 要是有服务把大包提上来就好了 ', '短评打分': 5}
{'短评内容': '房间比较大，但是比较冷，洗手间比较旧。不能刷卡~~', '短评打分': 1}
{'短评内容': '附近就是渭滨公园，环境不错。楼下就有陕西小吃泡馍面条', '短评打分': 5}
{'短评内容': '房间很大，卫生也换好，服务不错，只是随意涨价很不厚道。', '短评打分': 1}
{'短评内容': '电视和机顶盒的遥控器好像不是很好用，总体上还是可以的', '短评打分': 5}
