{'短评内容': '...............', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好地方，住的 key', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺不错，下次还会来', '短评打分': 5}
{'短评内容': '位置很好，晚上安静。', '短评打分': 5}
{'短评内容': '作为一个出差要求不高的人，啥都ok，唯有一个缺点，wifi太慢太慢太慢，对于笔记本没有网口的我，没有办法工作，只好拿手机顶了1G流量。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，干净利落，服务态度好', '短评打分': 5}
{'短评内容': '总体不错出差首选', '短评打分': 5}
{'短评内容': '出行交通方便', '短评打分': 4}
{'短评内容': '性价比还好', '短评打分': 4}
{'短评内容': '服务较差，下次不到这家了！', '短评打分': 4}
{'短评内容': '卫生、设施还说的过去，总台服务较差，一个个苦瓜脸，西北的服务水平要向南方好好学学！', '短评打分': 3}
{'短评内容': '交通方便，且好找，就是停车一晚要收费的，不喜欢卫生间格挡成玻璃间，房间里会有味道的，只是显得房间大些', '短评打分': 5}
{'短评内容': '这家酒店不错，房间干净，性价比也高。下次有机会还会入住。', '短评打分': 5}
{'短评内容': '酒店装修比较符合商务酒店的特点，颜色搭配很好，比较适合休息，住着比较舒适。房间隔音不太好，能听见隔壁说话，尤其是过道的动静。房间净化桶装饮用水要收费，可是如果你不用的话，会发现没有烧水的，只能用他的桶装水。自助早餐品种太少。服务员服务意识有点欠缺，第一次去这家酒店，到前台发现还有168元的房间，告诉服务员上去看看房间，可是上去看了之后，下来办手续时告诉没有房间了，已经被登记了，郁闷。', '短评打分': 5}
{'短评内容': '固原好地方，宾馆床很舒服，早餐不还好，停车安全', '短评打分': 5}
{'短评内容': '酒店网速很慢，无法正常上网，而且空调无法开启，有点难受，不过床还算舒服，交通也较方便，下次去应该还会考虑', '短评打分': 5}
{'短评内容': ' 很好找，环境非常不错，房价也很大很干净，就是早点单调，服务员不够热情。', '短评打分': 3}
{'短评内容': '给朋友们定的豪华标记208元，门市价398元，绝对的超值，房间有电脑，洗手、洗浴、马桶都是相互隔离的，非常不错的酒店，下次去还定这个！', '短评打分': 5}
