{'短评内容': '宝贝收到了，真心喜欢，好评', '短评打分': 5}
{'短评内容': '挺好的，标间是一个大床一个小床，很满意的啦，就是有点偏远，也没地铁，不过打个滴滴就好了，或者小黄车也可以', '短评打分': 5}
{'短评内容': '服务很好，可惜卫生掉链子', '短评打分': 4}
{'短评内容': '服务很好，可惜卫生掉链子', '短评打分': 4}
{'短评内容': '住一晚么有洗澡热水，住的时候问清楚在入住。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很方便的位置', '短评打分': 5}
{'短评内容': '干净卫生，离清华近，每次来北京都定这里。', '短评打分': 5}
{'短评内容': '干净卫生，离清华近，每次来北京都定这里。', '短评打分': 5}
{'短评内容': '干净卫生，离清华近，每次来北京都定这里。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈还好', '短评打分': 5}
{'短评内容': '锦江还是不错的，希望继续努力多多优惠，经常住锦江！！！', '短评打分': 5}
{'短评内容': '京东超给力，酒店干净整洁，服务态度好。环境舒适。以后还会在京东订酒店。', '短评打分': 5}
{'短评内容': '不错不错 还可以', '短评打分': 5}
{'短评内容': '很不错啊，就是有点偏', '短评打分': 5}
{'短评内容': '周边是工地，乱七八糟的，卫生一般，房间好重的异味，服务还行', '短评打分': 1}
{'短评内容': 'Cheap, but environment was pretty bad. When I was there, around it was all construction. Standard Room B does not have a window (the first thing reception staff said, was offering me an upgrade to ano', '短评打分': 3}
{'短评内容': '环境还可以，值得入住！', '短评打分': 4}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '此次入住227，房间采光好，干净', '短评打分': 4}
{'短评内容': '住过好几次挺不错的', '短评打分': 5}
{'短评内容': '性价比不错的酒店，只是设备比较一般。', '短评打分': 3}
{'短评内容': '离地铁站远，房间里面卫生有点不太干净。周围没啥可吃', '短评打分': 3}
{'短评内容': '卫生较差', '短评打分': 3}
{'短评内容': '烟味很重', '短评打分': 3}
{'短评内容': '还不错，标准间的床一大一小，适合一家三口，挺好', '短评打分': 4}
{'短评内容': '各方面都不错，但是比较难找。', '短评打分': 4}
