{'短评内容': '早餐不错，位置也很好，房间很人性化，卫生间淋浴洗脸池都是分开的。还是非常不错的利用空间和节省时间。很喜欢！下次来盐城还会住这里。', '短评打分': 5}
{'短评内容': '酒店很不错值得推荐', '短评打分': 5}
{'短评内容': '每次出差基本都住这里，非常不错！', '短评打分': 5}
{'短评内容': '非常好的一家酒店', '短评打分': 5}
{'短评内容': '有点老', '短评打分': 3}
{'短评内容': '早餐简单。服务不错。', '短评打分': 5}
{'短评内容': '经济型，性价比不错，隔音有待提高', '短评打分': 4}
{'短评内容': '都挺好的，就是周边没什么吃饭的地方。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不是很好，服务态度差', '短评打分': 3}
{'短评内容': '不错，房间设施，硬件设施齐全', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店也就那样吧 没有外表看上去那么好 不是很满意', '短评打分': 4}
{'短评内容': '酒店很干净，性价比较高，客服态度较好', '短评打分': 5}
{'短评内容': '酒店很干净，性价比较高，位置也很好', '短评打分': 5}
{'短评内容': '出水有时冷热不均', '短评打分': 4}
