{'短评内容': '还不错 前台服务态度很好', '短评打分': 5}
{'短评内容': '好评，习惯了', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '早餐不在二楼，入住时没人提醒。早餐相当差', '短评打分': 4}
{'短评内容': '相当不错。价格实惠，服务人员很好。房间干净整洁…', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '房间干净整洁，性价比高，下次还住。', '短评打分': 5}
{'短评内容': '你抱过fluidMP5牛咯我哦岁MP5top忸怩', '短评打分': 5}
{'短评内容': '床住着很舒服，服务态度也很好，值得再去', '短评打分': 5}
{'短评内容': '可以住住，可以', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通便利，一次非常愉快的旅行。', '短评打分': 5}
{'短评内容': '可以的，下次去接着住。', '短评打分': 5}
{'短评内容': '很好，特别舒服', '短评打分': 5}
{'短评内容': '不错不错 挺好的', '短评打分': 5}
{'短评内容': '价格高点，但是里面房间比较赞，以后来阜阳，再来这家，自己感觉好就行了', '短评打分': 5}
{'短评内容': '房间很舒适，价格又便宜，真的很不错，可以选择', '短评打分': 5}
{'短评内容': '环境、卫生、服务、餐饮都很好，性价比也超高，值得去的酒店', '短评打分': 5}
{'短评内容': '好久没去住了，这次去变样了：重新装修过了，内部环境很好。入住后，服务员又送来了免费的酸奶和旅游洗漱套装，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '蛮好的酒店，还送了酸奶和洗护小包装，赞', '短评打分': 4}
{'短评内容': '比较吵，隔音不好。别的都很满意', '短评打分': 4}
{'短评内容': '在阜阳算是比较好的酒店了，价格也不贵。就是停车还要另外收费。', '短评打分': 5}
{'短评内容': '整体设施还可以，价格有点小贵，性价比不是很高。', '短评打分': 5}
{'短评内容': '整体设施还可以，就是价格有点偏高，性价比不高，早餐还行。', '短评打分': 5}
{'短评内容': '房间太旧,地毯太旧!这种环境,这个价格不值!', '短评打分': 1}
{'短评内容': '房间还算合理，但是设施有些陈旧，而且临街噪音比较大，奇怪的是早餐地点距离太远，好像另一个建筑中', '短评打分': 5}
{'短评内容': '总体来说就是 脏乱差....不想多说什么了', '短评打分': 1}
{'短评内容': '太陈旧了，希望早点装修。服务态度比较好。', '短评打分': 5}
{'短评内容': '该酒店不错，地理位置好，服务也不错，会向朋友推荐的', '短评打分': 5}
{'短评内容': '服务周到.房间干净.可再次入住', '短评打分': 3}
{'短评内容': '前台服务态度还好，只是酒店设施太旧了，另外停车要收费太不应该。', '短评打分': 3}
{'短评内容': '干净.服务热情价格合理', '短评打分': 3}
{'短评内容': '服务与价格不对等！服务与价格不对等！服务与价格不对等！服务与价格不对等！', '短评打分': 1}
{'短评内容': '环境不错，服务也可以，下次再去阜阳还会入住！！！', '短评打分': 5}
{'短评内容': '老公去住了，说还不错，还满干净的，服务也热情，毕竟是阜阳最好的了。性价比算不错的了，早餐丰富点就更好了', '短评打分': 3}
{'短评内容': '不太行\n不太行\n标四星，相当于三星，而其价格不便宜啊....', '短评打分': 1}
{'短评内容': '不管酒店怎样，在当地已经没有太多的选择了，只能是它。不管酒店怎样，在当地已经没有太多的选择了，只能是它。不管酒店怎样，在当地已经没有太多的选择了，只能是它。', '短评打分': 5}
{'短评内容': '这是我们住过的最差的酒店，还敢叫四星？不知哪个贪官给评的。简直挂羊头卖狗肉！！！！！', '短评打分': 1}
{'短评内容': '干净整洁，服务热情，设施完备，环境优雅。', '短评打分': 5}
{'短评内容': '设施比较陈旧，达不到四星的标准，早餐很简单。服务还不错。卫生还可以', '短评打分': 1}
{'短评内容': '服务挺好，硬件太陈旧，以后还会去的也会介绍给朋友', '短评打分': 5}
{'短评内容': '酒店设施陈旧，花洒不能正常使用，停车还要收费。', '短评打分': 3}
{'短评内容': '阜阳好酒店就根本没有，所以差中选优，这个就将就了！要选商务间，标准间实在是太不标准了！', '短评打分': 5}
{'短评内容': '在这个城市也没有比较像样的酒店，凑合吧，下次再来也只能住这里\n', '短评打分': 5}
{'短评内容': '周边环境较乱，清晨5点钟就被市场的叫卖声吵醒啦！', '短评打分': 1}
{'短评内容': ' 在当地酒店应该还算不错了，饭店有不少优惠活动，长途市话免费打啊，送咖啡，送洗衣擦鞋等等，有服务创意。总体值得推荐！', '短评打分': 5}
{'短评内容': '酒店软硬件比较合理，在皖北的酒店中算是比较突出的', '短评打分': 5}
{'短评内容': '酒店软硬件都比较差，尤其早餐，只是目前在阜阳没有其他更好的选择了', '短评打分': 1}
{'短评内容': '这家酒店说起来是很好的。我以前也住过。但是这次住的感觉很糟糕，一个方面：室内的中央空调温度很高！怎么都凉不下来，服务员来了4次。温度恒温在28度。而室外的温度非常舒适，是18-24度左右吧。\n我经常住的国贸酒店和中京大酒店各方面都很好，朋友们还是住那里好。且比这里便宜。我这次住的是6038商务标间。', '短评打分': 1}
{'短评内容': '酒店 整体已经很落后了，虽然这些年也有一定提升，但是相比较皖北其他酒店，还是不行。当地缺少好酒店的竞争。', '短评打分': 1}
{'短评内容': '这个酒店还算可以，就是吃早餐的餐厅有点远，虽然在同一个酒店内，不过下次还会住那。', '短评打分': 5}
{'短评内容': '酒店虽然比较早，但是整体环境还不错，在阜阳的酒店中还是值得推荐的。', '短评打分': 5}
{'短评内容': '房间太吵。', '短评打分': 3}
{'短评内容': ' 设施比较旧了，房间比较大。服务比较热情，一开始给了靠马路的房间，非常吵，后来换了背面的安静多了', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '酒店不错，布局好。', '短评打分': 3}
{'短评内容': '阜阳目前最好的酒店了，勉强四星，设施陈旧，早晨查房和结账的速度很慢，服务较差。', '短评打分': 1}
{'短评内容': '条件一般，房价过高。', '短评打分': 3}
{'短评内容': '很差的酒店，不过是阜阳。也没有选择.主要是设备陈旧', '短评打分': 1}
{'短评内容': 'sb酒店  tmd平白无故吧我预定的房间给我取消了！！！还tmd有点信誉没有！！！！', '短评打分': 1}
{'短评内容': '性价比不高,感觉不值这个价,只是阜阳其他的酒店也陈旧', '短评打分': 5}
{'短评内容': '出差时订的。号称阜阳最高档的酒店。还行吧，设施略旧，听说有更新更好更便宜的，但如果没当地人介绍的话，下次还是住这家吧', '短评打分': 5}
{'短评内容': '在阜阳算是很好的酒店了，比较气派，也有不错的饭店包厢适合商务宴请。', '短评打分': 5}
{'短评内容': '服务尚可，硬件有待改进', '短评打分': 3}
{'短评内容': '卫生还算不错，硬件有待提高。', '短评打分': 3}
{'短评内容': '太老了，价格有点高。不过这样的县级市应该也没有太高的要求。', '短评打分': 5}
{'短评内容': '老宾馆,还行.', '短评打分': 5}
{'短评内容': '早餐还可以，就是沐浴设施和洗漱品再好些就更好了', '短评打分': 5}
{'短评内容': '在阜阳，它是最好的了。不过日后有5星酒店，它的重要性就要打折', '短评打分': 5}
{'短评内容': '入住的数码单间干净卫生，较安静，值得表扬。批评的是房间1小袋咖啡喝完了问服务员要了2袋居然被收4块钱，晕倒。另外特别要提出的是早餐品种和品质一定要抓紧时间提高，因为牛奶喝不出奶味（兑水严重），果汁只能喝出甜味（拼命放糖），与酒店四星级身份简直就是背道而驰。', '短评打分': 5}
{'短评内容': '性价比一般，服务一般，环境还不错，早餐样式还可以', '短评打分': 3}
{'短评内容': 'I hope there is better hotel in this city.', '短评打分': 5}
{'短评内容': '房间卫生较好，设施老化，早上前台退房速度很慢', '短评打分': 5}
{'短评内容': '环境还可以，服务一般有待提高，性价比一般', '短评打分': 5}
{'短评内容': '设施有些旧了，在阜阳也没有什么好的了，相对其他酒店这个还算是好的', '短评打分': 3}
{'短评内容': '比较旧，不过阜阳没有什么更好的选择了，只能将就将就。', '短评打分': 5}
{'短评内容': '阜阳最好的酒店之一，很干净。交通也方便。', '短评打分': 3}
{'短评内容': '挺好，应该是当地最好的，内部一般，外部比较气派', '短评打分': 5}
{'短评内容': '肥西县最好的酒店，设施比较不错，很干净，蛮不错。', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好，可能是当地最好的酒店。只是设施有些老旧', '短评打分': 3}
{'短评内容': '服务挺好，卫生也比较干净。设施有些老旧。 住起来很舒服。 只是价格有个稍贵', '短评打分': 5}
{'短评内容': '床单挺干净', '短评打分': 5}
{'短评内容': '凑合着住吧，等明年万豪建起了，什么都好了', '短评打分': 5}
{'短评内容': '相当于地市级的三星级酒店吧，优点是卫生还不错，可以免费打长途很方便；缺点是酒店大堂灯光灰暗，内部设施陈旧。需要提醒的是，入住的时候注意房间的电视遥控器开关千万别按到电影键上，我就是因为电视选台的时候不小心按到了电影键上，虽然只是几秒的时间就换台了，可是结账的时候竟然让我多交60多元的电影点播费，虽然经过据理力争、调查核实，最终没酿成冤假错案，可还是心有余悸哦。另外入住车辆在酒店停车得收10元过夜费', '短评打分': 5}
{'短评内容': '阜阳老牌四星酒店，服务很好~设施有点老', '短评打分': 5}
{'短评内容': '在阜阳入住的这家酒店性价比一般，酒店和房间看来都比较老了，不过大概还算阜阳最好的酒店，没什么特色，只能算是一般般，跟房间里面的设置相比感觉价格有点贵了。', '短评打分': 5}
{'短评内容': '过得去，过得去，过得去', '短评打分': 1}
{'短评内容': '这个酒店总的感觉还不错，这在阜阳算好酒店啦，下次还会去住。', '短评打分': 5}
{'短评内容': '还不错  性价比高', '短评打分': 5}
{'短评内容': '说实话，就酒店本身，换到合肥，挂个三星都勉强，但是在阜阳，就凑合着住吧。整个酒店的感觉不明亮，服务粗放，卫生勉强，舒适度相当一般。早餐嘛，充饥而已。这样的四星，呵呵，也就是在阜阳了，和这个城市的形象确实匹配。同样是四星，去六安皖西宾馆看看，为什么差距这么大呢？', '短评打分': 5}
{'短评内容': 'it a just so so 4 star hotel.', '短评打分': 3}
{'短评内容': '在阜阳这样的城市，这个酒店算好的了。没有别的好选择。', '短评打分': 5}
{'短评内容': '在阜阳也就这样了', '短评打分': 5}
{'短评内容': '在阜陽算是不俗的酒店了...\r\n', '短评打分': 5}
{'短评内容': '相当于招待所的四星酒店', '短评打分': 3}
{'短评内容': '太吵了', '短评打分': 1}
{'短评内容': '只能说是与招待所差不多的四星级酒店', '短评打分': 1}
{'短评内容': '早餐一般，8点半以后基本就没什么东西可以吃了，免费电话和免费桑拿还不错', '短评打分': 5}
{'短评内容': '早餐要走到旁边的楼,太麻烦了,位置和服务还可以.', '短评打分': 5}
{'短评内容': '大堂的设置好像不如以前。', '短评打分': 5}
{'短评内容': '两年前去过，到现在一点没变，做为阜阳唯一两间的四星级酒店之一，单人间300左右的价格可以说是性价比超高，各方面还可以，只是隔音条件较差，三楼的KTV到凌晨两点还叫个不停，吵得难以入睡，如果对此没太大在意，还是值得推荐的酒店。若标双还可以更优惠些。', '短评打分': 5}
{'短评内容': '总体很好\r\n1 停车收费不理想,\r\n2 ,没有带早餐卷就不给吃,吃早饭的地方不好找', '短评打分': 3}
{'短评内容': '在阜阳算不错了', '短评打分': 5}
{'短评内容': '总体很好。有两点不满意：\r\n1、停车收费不理想，现在很多五星级都不收了；\r\n2、早餐多餐卷查的太厉害，忘记带就不给吃？何况你吃早餐的地方拐弯抹角的......', '短评打分': 1}
{'短评内容': '房间免费打国内长途电话，非常实惠。虽然设备有些陈旧了，但房间卫生干净，环境舒服。服务员服务意识强，态度友好亲切，服务快捷，非常不错，下次到阜阳还会入住白金汉宫。', '短评打分': 5}
{'短评内容': '酒店的服务环境不是很好，房间里的电话打国内长途都打不了，不过他的位置还可以，应该算是在阜阳市中心了，在阜阳这个酒店算是还可以了。', '短评打分': 5}
{'短评内容': '餐饮时间结束的太早，晚上8点多没吃的了，酒店的价格还挺优惠的', '短评打分': 5}
{'短评内容': '哪有4星啊', '短评打分': 1}
{'短评内容': '除了网速快 没什么值得一说的', '短评打分': 5}
{'短评内容': '到达酒店的时候，服务员还没有打扫房间，要晚两个小时才可以入住', '短评打分': 1}
