{'短评内容': '非常棒  早餐丰富', '短评打分': 5}
{'短评内容': '酒店卫生尚可，但是设施不怎样，而且房间有烟味，非常大，散不掉，整晚没休息好，而且没有空调，睡觉人感觉冷的哆嗦。', '短评打分': 3}
{'短评内容': '这个酒店与4星不相符啊，西宁那几天比较热，就冲着空调住的，空调居然半夜关掉了，硬把人热醒了，住的时候不承认携程预定，说了半天重新付款才住的，不会再去了', '短评打分': 3}
{'短评内容': '宾馆地处中心，其后平行相邻一个街口步行5分钟就可到达当地东关清真寺所在的街道，其边上布满当地清真美食。宾馆设施一般，但干净。', '短评打分': 4}
{'短评内容': '酒店环境不错，服务态度很好', '短评打分': 5}
{'短评内容': '太差了，床单很脏，还有蚊子，整夜没有睡', '短评打分': 1}
{'短评内容': '这酒店最多三星水平，家具陈旧，真的好差。', '短评打分': 1}
{'短评内容': '新酒店。非常不错', '短评打分': 0}
{'短评内容': '环境有点儿旧，床硬，无纸巾提供，早上也无热水。已经提前支付费用，到店时服务员居然不知道。好歹对付一夜。', '短评打分': 4}
{'短评内容': '因为旅游旺季，订不到合适的酒店，最后定到这里。完全是穆斯林的装修风格，人都很实在友好，但是房间装修风格方面可能很多人不太适应，周围吃饭的小店面片做的真好吃', '短评打分': 3}
{'短评内容': '酒店位置可以，设施一般，防盗链坏了也没有修。', '短评打分': 4}
{'短评内容': '酒店一般，床太硬', '短评打分': 3}
{'短评内容': '酒店条件与四星酒店差距太大，服务水平低，不值这个价', '短评打分': 3}
{'短评内容': '挺不错的 有特色 服务也好 以后也会订', '短评打分': 3}
{'短评内容': '定的套房，卫生还不错。早餐一般。车停地下停车场，从楼梯走上来，结果不通宾馆。呵呵', '短评打分': 5}
{'短评内容': '酒店条件简陋，大床房只有一米五，太吭爹了，卫生条件一般。', '短评打分': 3}
{'短评内容': '酒店的早餐竟然是一碗没有肉的牛肉拉面，前台非常难沟通，虽然礼貌还可以。都是回民妇女，我们的意思他们听不懂，不是因为方言，主要是不知道他们的思维为什么如此僵化，他们酒店规定押金必须是一百，多了不行，少了也不行，刚好房价是有零头的，我们又都没有零钱，酒店也没零钱，想着多放点押金在酒店，让写个押金条，结果服务员就不敢写，然后请示老板了十分钟，把我们撂在那里，最后还是没有想到解决办法，最后我提出来把多出房', '短评打分': 1}
