{'短评内容': '可以，值得推见', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '太旧，地毯太脏了。', '短评打分': 3}
{'短评内容': '地点不错', '短评打分': 5}
{'短评内容': '地理位置比较好，离邮轮码头比较近', '短评打分': 3}
{'短评内容': '一家老酒店了，还不错哦哦', '短评打分': 5}
{'短评内容': '宝山地区少数几个条件较好的宾馆之一，离宝钢股份很近，出行办事都方便，酒店自己的餐饮一般，但附近有几家不错的小饭馆', '短评打分': 5}
{'短评内容': '酒店有点老了。大堂还不错', '短评打分': 3}
{'短评内容': '还不错，不过比较陈旧了，建议翻新下', '短评打分': 3}
{'短评内容': '酒店设施有点老了', '短评打分': 4}
{'短评内容': '非常不错！推荐', '短评打分': 5}
{'短评内容': '挺好的，下次还要住这里。比较方便。', '短评打分': 5}
{'短评内容': '在宝山城区中心位置。在附近出差很合适。', '短评打分': 4}
{'短评内容': '老店了，设施旧，周边比较热闹。', '短评打分': 3}
{'短评内容': '酒店很旧了，需要重新装修。部分房间已经装修', '短评打分': 3}
{'短评内容': '酒店很不错，京东合作价格还是有点小贵', '短评打分': 5}
{'短评内容': '帮同事预订，不过公司开会经常在该酒店，应该不错。', '短评打分': 5}
{'短评内容': '地处闹区，设备较陈旧', '短评打分': 3}
{'短评内容': '酒店设施较陈旧，木制家具感觉温馨，整体性价比不高。', '短评打分': 3}
{'短评内容': '酒店不错！整体环境和交通还可以，下次过来会继续住！', '短评打分': 5}
{'短评内容': '房间一般，早餐还可以，服务员态度很好。', '短评打分': 3}
{'短评内容': '很满意，非常好。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通方便，性价比高，离我办事的地方很近。', '短评打分': 3}
{'短评内容': '住这个酒店就是离我要出的地方方便，没有别的原因了~~~~~~', '短评打分': 5}
{'短评内容': '交通方便，地段不错，是宝山的闹市区。总体来说还不错。就是楼上洗澡下水有点吵。', '短评打分': 5}
{'短评内容': '价格便宜，环境不错，服务员挺热情；以后会经常入住这酒店', '短评打分': 5}
{'短评内容': '比较老的酒店，设施一般，服务一般，在宝山办事的话出行比较方便的。', '短评打分': 5}
{'短评内容': '总体卫生、环境都不错，不过酒店停车场还收费，这个有点不理解了', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，适合旅游入住，室内很舒适，位置也很好，窗外景观也不错，很喜欢酒店的整体风格，服务态度，以及地理位置。', '短评打分': 5}
