{'短评内容': '订过很多次，环境还不错', '短评打分': 5}
{'短评内容': '不错很好', '短评打分': 5}
{'短评内容': '位置不错，张江高科园边上，位置比较安静，环境不错，价格稍高。公共交通不太方便，打车还可以。楼下还有电动汽车可以租。', '短评打分': 5}
{'短评内容': '还行吧，就是安排的房间靠近空调装置，有点吵', '短评打分': 4}
{'短评内容': '房间很好，离医院很近。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间挺不错，就是办公桌没有额外的电源插孔，使用笔记本不太方便。其他环境还有自助早餐都特别好，推荐入住', '短评打分': 5}
{'短评内容': '房间不错干净卫生', '短评打分': 5}
{'短评内容': '服务态度确实不怎么样，下次是不会入住的。', '短评打分': 1}
{'短评内容': '卫生不错，环静安静，离曙光医院一路之隔，但与周边酒店比偏贵百分二三十。床大软，根本无法睡，做计多数人是不会习惯，床上东西放太多，不好看也不方便，烂坏的门框不及时修。酒店硬件管理需要加强', '短评打分': 4}
{'短评内容': '床垫太软没法睡觉，估计百分九十国人难以接受，只好半夜直接睡地下，毛巾很旧，卫生间又暗，门框烂了一大节也不修看得可怕。好在离曙光医院一路之隔，方便。卫生倒不错。', '短评打分': 4}
{'短评内容': '飞机很舒服！上面的饭菜也好吃', '短评打分': 5}
{'短评内容': '位置偏，房间设施一般，服务态度一般，早餐一般几乎没什么优点nnnnnnnnnnnnnnnnnnnnnnnnnnn', '短评打分': 3}
{'短评内容': '酒店位置好，出差方便。', '短评打分': 5}
{'短评内容': '环境不错，还有免费健身房，也很安静', '短评打分': 5}
{'短评内容': '环境不错，还有免费健身房，也很安静', '短评打分': 5}
{'短评内容': '装修比较早了，感觉一般。', '短评打分': 4}
{'短评内容': '从公司步行10分钟可到，加班晚了直接入住很方便。房间比较大，服务也不错。', '短评打分': 5}
{'短评内容': '干净卫生，也很安静。', '短评打分': 5}
{'短评内容': '不错的酒店！！！ \n挨着曙光医院！ \n交通方便！！\n早餐一般！！\n', '短评打分': 5}
{'短评内容': '酒店周围环境不错，很安静，就是周围吃饭太少！', '短评打分': 5}
{'短评内容': '酒店干净整洁,不过早餐不是很好,电视节目没有HBO...', '短评打分': 5}
{'短评内容': '酒店位置很好，设施也还可以，就是早餐很一般，总的来说比较满意。\n', '短评打分': 5}
{'短评内容': '环境很好，安静，房间整洁，就是健身房显得冷清。', '短评打分': 5}
{'短评内容': '非常舒适的一个酒店，交通也很方便，环境很安静，值得推荐。以后还会来。', '短评打分': 5}
{'短评内容': '酒店价格比较适中，其实我并未自己住，是帮越南朋友订的。应该还不错吧', '短评打分': 5}
{'短评内容': '酒店房间不错，就是早餐比较差，去晚了，八点半以后很少吃的了。', '短评打分': 5}
{'短评内容': '不错 房间干净整洁 服务周到 态度和蔼 就是早餐略差点 ', '短评打分': 5}
{'短评内容': '环境很好，交通也很方便，酒店很新，设施和服务都比较满意，已经介绍住了好几位客人，以后还会来。', '短评打分': 5}
{'短评内容': '酒店挺新的,内部设施配置很好,环境也比较安静,客房面积也比较大,以后还会再来.', '短评打分': 5}
{'短评内容': '不錯!', '短评打分': 3}
{'短评内容': '酒店环境不错，服务也很好，要是到上海出差一定会再去！', '短评打分': 5}
{'短评内容': '房间还可以，早餐品种太少。酒店整体服务水平低，像是没有培训过。服务与价格实在不相称。性价比很低。', '短评打分': 1}
{'短评内容': ' 不错，就是价格有些便贵', '短评打分': 3}
{'短评内容': '服务周到。', '短评打分': 5}
{'短评内容': '酒店装修的挺显档次，空间很大，卫生间也很大，而且很干净，感觉很不错。', '短评打分': 5}
{'短评内容': '房间挺宽敞，设计也不错，卫生很到位，打扫很干净。出行也方便，整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店周边交通还成，离2号地铁站挺近，出行比较方便，服务卫生也挺好，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间挺大的，打扫挺干净，设施摆放合理，感觉挺舒适的。', '短评打分': 5}
{'短评内容': '房间看上去整洁舒适，隔音也很好，服务也很周到，周边环境也不错，交通很方便。', '短评打分': 5}
{'短评内容': '环境还不错，安静干净，硬件设施也完善，床上用品质量也不错，用的很放心。', '短评打分': 5}
{'短评内容': '在上海住过最差的酒店，服务非常恶劣，今后再也不会去住这个酒店。', '短评打分': 1}
{'短评内容': '当时没有其他酒店入住了，只好住这家，感觉都很一般', '短评打分': 1}
{'短评内容': '酒店位于浦东张江工业园区内 较新 但距离各处旅游景点均较远 酒店新开业 服务设施极度不全 5层楼才有一个服务员 性价比较差', '短评打分': 1}
{'短评内容': '位置較偏但還可以接受,離新國際展館打車約20元,晚上很安靜很適合居住,人員服務很好,真的要挑毛病的話只有早餐的部分沒啥變化也沒幾樣配菜,我們開了四間房住了五晚,每天早上吃的都一樣,真的要好好改進才會接近完美!', '短评打分': 5}
