{'短评内容': '出差香港靠近公司每次住的酒店～', '短评打分': 5}
{'短评内容': '环境很舒适 .房间比较大.交通也比较方便', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '棒棒哒 出行很方便', '短评打分': 5}
{'短评内容': '房间好大，海景房很棒，前台还帮忙免费升级了海景房，小朋友们进来都舍不得出去逛街了，非常满意！下次过来还住这里。', '短评打分': 5}
{'短评内容': '酒店房间很好，房间清洁卫生，前台服务很好都笑容可掬耐心讲解点赞。到中文大学很方便，出门也有地铁站。总的很满意', '短评打分': 5}
{'短评内容': '服務差對熟客人不好', '短评打分': 4}
{'短评内容': '环境好，原来预定的山景房，入住时给换了海景房，很棒', '短评打分': 5}
{'短评内容': '真的很棒', '短评打分': 5}
{'短评内容': '一如既往的好，五星品质的保障，就是属于中大的宾馆。信任京东。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很不错，还免费升级为行政套房。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '非常好实惠好用下次还在京东订房啊', '短评打分': 5}
{'短评内容': '不错，性价比高，主要是价格?', '短评打分': 5}
{'短评内容': '很满意，一切都挺顺利', '短评打分': 4}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，地段离购物稍远点！', '短评打分': 5}
{'短评内容': '非常好！！！！！', '短评打分': 5}
{'短评内容': '因为会议需要，选择这个酒店，酒店方位位置一般，离香港机场比较远，地铁也没有直达，不过酒店自身还是不错的。', '短评打分': 4}
{'短评内容': '酒店服务设施环境都很好，价格也非常合理，本来预订是山景房，入住的时候跟前台说了需要有浴缸的，就给了一间有浴缸还看这河的房间，真是棒棒的，这次旅行非常完美', '短评打分': 5}
{'短评内容': '已经是第二次住沙田凯悦酒店了，酒店就在东铁大学站旁，从罗湖口岸过关非常近及方便，但附近缺乏大型购物中心，不过交通很方便，酒店外有巴士站，可去马鞍山的新港城或沙田的购物中心，也可坐东铁去沙田购物、吃饭，只需二个站，非常便捷，性价比高。', '短评打分': 5}
{'短评内容': '已经是第二次入住沙田凯悦酒店了。同上次一样，酒店免费升级为双房套间，套间有客厅、饭厅和厨房，还是全海景呢，不管是在客厅还是在卧室，香港的吐露港就在眼前，感觉太棒了！去香港我一定选沙田凯悦。', '短评打分': 5}
{'短评内容': '酒店很老，位置较方便。', '短评打分': 3}
{'短评内容': '房间不错，服务态度很好', '短评打分': 5}
{'短评内容': '帮朋友定的，不错', '短评打分': 5}
{'短评内容': 'The hotel is far from the city ', '短评打分': 5}
{'短评内容': '整體住宿經驗非常好，根據我們的需求幫我們換成更好的房型，是一次非常好的體驗，只是地點有偏僻，除此之外一些都很好', '短评打分': 5}
{'短评内容': '每次来香港必选的酒店，虽然离九龙和港岛距离有点远，但轻铁大学站离酒店步行五分钟，转乘地铁都非常方便。这个价钱在香港能住到房间面积这么大的五星酒店实属性价比超高。硬件很棒，有室外恒温游泳池，冬天游泳一点不冷。以后会继续支持！', '短评打分': 5}
{'短评内容': '性价比很好，在下午2点入住时就是不给安排大床房，说是只有双床，不知是不是因为通过携程定的原因。但是总体还是很好的酒店。', '短评打分': 4}
{'短评内容': '下雨天有遮雨廊道可以直通地鐵，四周環境清幽，飯店設施俱全，房型非常舒適，前台服務態度優良，是前往內地很好的中繼入住酒店，非常樂意下次再次入住。', '短评打分': 5}
{'短评内容': '环境干净，舒适，下次去仲住系呢间酒店，推荐', '短评打分': 5}
