{'短评内容': '整体来说都特别好', '短评打分': 5}
{'短评内容': '酒店房间大', '短评打分': 4}
{'短评内容': '特别少男哈哈哈哈房间还不错可以撸猫服务也很好床很软很大但挑高有点低名宿区里环境很好适合慢游', '短评打分': 4}
{'短评内容': '很有特色的民宿客栈，前台美女特别温柔热情 服务到位。很感谢这次享受到了特殊的待遇，帮忙免费升级的房间很满意，很喜欢房间内装修的风格。房间和床都够大。周围环境和空气都很好，安静舒适。因为有阳台 院子，还有前台美女养了几只可爱的猫咪，小孩子都特别喜欢在那里玩。除了亲子家庭，浪漫情侣出游也是不错的选择。地理位置较好，出行方便，去灵隐 西湖 市区 火车站 都很方便。工作繁忙之余 周末自驾住一住这样的客栈特', '短评打分': 5}
{'短评内容': '离灵隐寺步行十分钟～早餐还有店主自己做的小点心很温馨 像家一样', '短评打分': 5}
{'短评内容': '就在灵隐寺的旁边走走10分钟就到，房间干净整齐，店家也很客气，赞一个！', '短评打分': 5}
{'短评内容': '离市区有点远，吃饭不是很方便，服务不错', '短评打分': 5}
{'短评内容': '一直说我，有敏感词汇。那就长话短说～很不错的旅店，挺温馨的。动物好可爱好可爱，环境卫生也很整洁。总之很推荐，有机会一定再去！❤️', '短评打分': 5}
{'短评内容': '店主很贴心，免费帮升级了带露台的房间……视野、空气都非常好', '短评打分': 5}
{'短评内容': '喜欢这些猫猫狗狗', '短评打分': 5}
{'短评内容': '位置不错还可以，下午去了隔壁喝茶看日落!', '短评打分': 5}
{'短评内容': '很安静，开着窗户睡觉也不吵，卫生很不错！卫生间也很干净！家庭氛围很浓！适合家庭出游，客栈只有四个房间可以几家一起出游，提前订下即可！在灵隐景区那么吃喝就没有青芝坞那么丰富了！前台小姑娘自己收养了2只狗一只猫！也蛮有特色！', '短评打分': 5}
{'短评内容': '冲着猫咪去的，结果糖豆居然受伤了，一只前爪被截肢??好心痛！因为受伤的关系，变得很胆小，躲在房间里不敢出来见人了，另一只小黑猫也超可爱，两只颜值都高，可惜只有一面之缘，愿早日克服心理阴影，继续做只开朗的喵星人…三井和布丁一如既往可爱听话卖萌… 酒店蛮好的，挺卫生，关键是安静！棒棒哒', '短评打分': 5}
{'短评内容': '白乐桥一片都是独栋民宿，环境挺不错，店里大金毛可爱又乖巧，猫咪受伤了，变得好胆小，只能匆匆看一眼。离灵隐寺近。', '短评打分': 5}
{'短评内容': '不错。值得一住，采光差了一点。大金毛很乖。', '短评打分': 4}
