{'短评内容': '不错，价格实惠', '短评打分': 4}
{'短评内容': '总的环境还是不错的，服务态度很好', '短评打分': 5}
{'短评内容': '卫生不好，设施简单。', '短评打分': 3}
{'短评内容': '酒店早餐很好，酒店位置好，有很大的仃车场。最主要的是服务态度好！', '短评打分': 5}
{'短评内容': '位置优越', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间相当旧了，但是还算干净', '短评打分': 5}
{'短评内容': '免费升级了房型，好评', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通便利，服务台的工作人员服务非常热情！房间设施不错，特别我朋友衣服掉酒店大堂了，电话核实过程非常热情和认真负责，相当不错！', '短评打分': 4}
{'短评内容': '性价比还好', '短评打分': 4}
{'短评内容': '酒店外观不错很漂亮，内射比较陈旧', '短评打分': 5}
{'短评内容': '房间外观高大上，房间内设施比较陈旧，只能说舒适。交通方便，吃饭的地方在马路对面出门左手走大概500米左右。有很多吃的。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，看上去大气，房间条件也不错，前面马路对过是公园，背后不远是长江，散步小憩都很方便，性价比高。', '短评打分': 5}
{'短评内容': '丰都最好的酒店', '短评打分': 4}
{'短评内容': '凑合，价格合适，住着很舒服。。。', '短评打分': 5}
{'短评内容': '离丰都鬼城较近，据说是当地最好的酒店，整体情况还好！', '短评打分': 4}
{'短评内容': '每次回来都住这里，感觉高大上，下次还会考虑。', '短评打分': 5}
{'短评内容': '交通方便，服务良好，价格合适，设施一般。', '短评打分': 5}
{'短评内容': '交通方便，服务良好，价格合适，设施一般。', '短评打分': 5}
{'短评内容': '国宾馆总来的说还不错，环境有点老旧了（只有一点点），服务还是很不错的，送餐的回锅内饭很好吃。。', '短评打分': 5}
{'短评内容': '算是丰都比较好的酒店了， 干净，早点还行，西点不行', '短评打分': 5}
{'短评内容': '酒店干净，硬装有点旧， 早餐还行，不算丰富。', '短评打分': 5}
{'短评内容': '丰都比较好的酒店了， 市中心。环境不错， 高楼层还能看到长江。', '短评打分': 5}
{'短评内容': '外观很富丽堂皇，内部也不错，早餐也还可以蛮丰富的，就是没咖啡有点遗憾！最奇怪的是餐厅没有调羹，吃什么都是用筷子，不知是不是当地的习惯呢？', '短评打分': 5}
{'短评内容': '環境很好，房間舒適，價格合理', '短评打分': 3}
{'短评内容': '价格合理、卫生干净，档次也上的去。但我住的那间结果没有宽带，后来换了房间解决了。', '短评打分': 5}
{'短评内容': '环境不错，服务也好。', '短评打分': 3}
{'短评内容': '在这个“鬼”地方有这样的酒店真很不错。', '短评打分': 3}
{'短评内容': '宾馆地理位置很不错，高层的看长江很不错。整体装修很没品味，宾馆设施很老旧，服务还行，停车比较方便。', '短评打分': 1}
{'短评内容': '不错，环境各方面都还可以，就是早餐太简单了点', '短评打分': 5}
{'短评内容': '不错，位置佳，条件还好，卫生，服务也行，特别是早餐很棒。', '短评打分': 5}
{'短评内容': '总体感觉不错，蛮干净的，价格经济实惠，下次如还来丰都还会继续订这家酒店', '短评打分': 5}
{'短评内容': '＋建筑外观造型还算不错，比较独特，欧式风较重！   房间还比较整洁干净，就是设施有点陈旧，铺盖较硬，不柔软！   ', '短评打分': 3}
{'短评内容': '很好的酒店。值得推荐，环境好，服务好；硬件和软件都很好；', '短评打分': 5}
{'短评内容': '房间干净整洁，设施一般，服务挺好，位置很优越，交通购物很方便。', '短评打分': 5}
{'短评内容': '环境还可以，酒店的设施还是有些陈旧，位置还可以，价格还不错的。大堂的服务不是很好，其他的都还可以吧。', '短评打分': 5}
{'短评内容': '晚间大厅人员服务态度差，没有值班经理。设施不象是四星级', '短评打分': 5}
{'短评内容': '还不错,可以眺望江景,但房间有点小,', '短评打分': 3}
{'短评内容': '好,只是不如茂田', '短评打分': 3}
{'短评内容': '还可以,', '短评打分': 5}
{'短评内容': '条件一般，性价比一般.唯一就是位置不错，挺方便出行的.', '短评打分': 1}
{'短评内容': '酒店的各方面我很满意，无论价格还是服务都可以，环境也不错', '短评打分': 3}
{'短评内容': '这家酒店的环境让我感到意想不到的好！&lt;br /&gt;\n其实我不止一次来丰都了，变化虽然大，但是我没想到这么的大。&lt;br /&gt;\n再次来到丰都入住的这家酒店让我有点回到家的感觉，服务周到，设施完善，价格也嘿合理，尤其是里面推出的海鲜火锅让我吃了又吃，说得不好听点都不想走了。好安逸哦！&lt;br /&gt;\n喜欢旅游的朋友们！如果有机会到丰都千万莫忘了住呐家酒店咯！&lt;br /', '短评打分': 5}
{'短评内容': '这里的海鲜火锅超植，68、78、88元任选，霸道！&lt;br /&gt;\n我上次住的801房，房间的床上用品特舒服，又很新，一点也不象我曾经住过的号称“*****”的那些酒店；在丰都能享受到这样的服务，的确让我喜出望外！', '短评打分': 5}
{'短评内容': '这家酒店我十一的时候曾经住过,真想不到在丰都还有这么好一家酒店,房间非常舒服,设备设施都很新,性价比极高,值得向自驾车到丰都旅游的朋友们推荐!', '短评打分': 5}
