{'短评内容': '还行吧，方圆十里最好酒店了', '短评打分': 5}
{'短评内容': '酒店很舒心，环境优雅，园林式的设计，可以有更多的散步空间，对于喜欢运动的我来说，真的很好。房间里陈列简单，可能是维持原来的风格，总觉得缺了点什么。要是能改变下房间面貌，那就太完美了。', '短评打分': 5}
{'短评内容': '早饭太差', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '我订的没有早餐', '短评打分': 5}
{'短评内容': '非常好的酒店还会继续住', '短评打分': 5}
{'短评内容': '环境优美，服务好', '短评打分': 5}
{'短评内容': '设施齐全，', '短评打分': 5}
{'短评内容': '服务很好，设施齐全', '短评打分': 5}
{'短评内容': '多次入住，非常适合短期休假。', '短评打分': 5}
{'短评内容': '设施服务很好，价格偏贵', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '还不错 性价比高', '短评打分': 5}
{'短评内容': '非常适合我的小心肝', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '总体满意', '短评打分': 4}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '同事出差帮忙预定的酒店 相对来说卫生设施挺好的 酒店的价格也合理 酒店服务也不错 性价比蛮高的', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，配套的室外泳池更是填色不少。此酒店对于在洪梅出差的商务人士可谓上选。', '短评打分': 5}
{'短评内容': '酒店一般，早餐尚可。住在8楼依旧很吵！', '短评打分': 3}
{'短评内容': '洪梅地区最好的酒店，游泳池够大。整体感觉不错，美中不足的是感觉浴巾和毛巾均有小小的破损和陈旧！', '短评打分': 5}
{'短评内容': '酒店一如既往的舒适,推荐,推荐!下次还会入住,早餐非常不错', '短评打分': 5}
{'短评内容': '房间很大很舒服.服务很好. 就是早餐时间有些时候人很多.', '短评打分': 5}
{'短评内容': '酒店设施挺好的。房间很宽敞。早餐也不错，性价比高。', '短评打分': 5}
{'短评内容': '广交会接送车服务好，早餐也好吃，服务态度也好', '短评打分': 5}
{'短评内容': '这个酒店比较适合休闲度假人士，整个休闲娱乐设施齐全，热带雨林风格的泳池群也相当的漂亮，而且有一半的房间都能坐拥东江的江景。但商务人士需要考虑两点：一是周边交通不发达；二是楼层低的房间晚上比较吵杂，因为楼下的KTV非常热闹', '短评打分': 5}
{'短评内容': '设施齐全，服务号，早餐也丰富..............................................................', '短评打分': 5}
{'短评内容': '                                         非常满意........................................................', '短评打分': 5}
{'短评内容': '在东莞洪梅镇，算是很偏僻的地方，很安静环境很好，可以试试', '短评打分': 5}
{'短评内容': '环境很好，很安静，就是出行不太方便，比较偏，周边可选择的餐饮娱乐不多', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静。早餐也不错。晚上的自助餐超好，就是价格有点贵，还要加上服务费。', '短评打分': 5}
{'短评内容': '经常去住，不错。当然价格也高，位置不是很好，还比较安静啦。', '短评打分': 5}
{'短评内容': '区新沙港办事方便，酒店设施还可以，广交会期间价格太贵了。', '短评打分': 5}
{'短评内容': '去理文纸业，没有别的选择，不过酒店不错，值得推荐。', '短评打分': 5}
{'短评内容': '要去理文纸业，没有别的选择，不过酒店还可以，值得推荐。', '短评打分': 5}
{'短评内容': '现在到客户这里都习惯住此酒店，4.5星的硬件，才418元，性价比高。当然，位置差是这几年比较大的缺点。不过还好是带车来的。', '短评打分': 5}
{'短评内容': '酒店装修非常漂亮，但是外观很普通，要到里面才能看到它的奢华。卫生和服务都不错，交通也方便，正好在西部干道旁边，距离广深高速也只有3公里左右。但是周围没什么商业场所，要买东西得找很远。而且也没有的士，让酒店叫车也很慢。', '短评打分': 5}
{'短评内容': '服务态度一般，也许是我住的是低端客房？？', '短评打分': 5}
{'短评内容': '性价比挺高，硬件不错。但是吃饭很贵。外面没有太多好吃的地方，因为稍微偏僻点。', '短评打分': 5}
{'短评内容': '环境很不错的酒店，在洪梅很安静，去广州很方便', '短评打分': 5}
{'短评内容': '环境非常好，江景房很舒服，东江就在眼前，还有好多树，很好', '短评打分': 3}
{'短评内容': '宾馆很新,房间较大,自助晚餐日式菜值得推荐.宾馆位置有些偏,配套设施不足.', '短评打分': 3}
{'短评内容': '宾馆设施很好,比较安静,自助晚餐花样多,可口.但位置较偏,配套设施不够.', '短评打分': 3}
{'短评内容': '服务不错,早餐很丰富.晚上很安静,房间也大', '短评打分': 5}
{'短评内容': '硬件和软件条件还都不错，在该区域出差必选', '短评打分': 3}
{'短评内容': '硬件和软件条件还都不错，在该区域出差必选', '短评打分': 5}
{'短评内容': '位置离市区有点远，不是很方便，但是环境非常好，还是值得的', '短评打分': 3}
{'短评内容': '环境非常好，外边就是东江，景色很不错，环境非常舒服', '短评打分': 5}
{'短评内容': '酒店环境挺好位置也很好找，房间挺好的，价格还行。', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 3}
{'短评内容': '很好的酒店，前两次到这里开会，这次专门带家人来这里度假。一家人很开心！', '短评打分': 3}
{'短评内容': '不错的选择，之前曾经住过几次，这次带家人过来一起。房间不错，挺大的；就是入住的团队比较多，拿房要等一段时间。', '短评打分': 5}
{'短评内容': '硬件和软件条件还都不错，就是位置很偏不好找，但周边的交通还算便利.综合来讲还不错.', '短评打分': 5}
{'短评内容': '住宿环境和设施都不错，下次还会住那里，不过早歺品种不多，可选择少。还有本人住在907房，但我朋友打客服电话时却被告之无此房号，无此人入住。我正要投诉。', '短评打分': 5}
{'短评内容': '酒店不错，在一个镇上，有这样的酒店。非常好了。', '短评打分': 5}
{'短评内容': '到洪梅基本都住这里，还是不错滴！\r\n跟东莞其他地方不一样，洪梅没几家象样的酒店。汇景附近吃饭比较方便，可选较多，主要是离我要去的地方近。', '短评打分': 5}
{'短评内容': '房间很大,玻璃窗很大,配套不错', '短评打分': 5}
{'短评内容': '环境好，服务专业!', '短评打分': 5}
{'短评内容': '酒店离广州较近，房间设施一般，但室外游泳池挺不错的，服务还可以。', '短评打分': 3}
{'短评内容': '由于广交会期间入住，价格太贵，综合觉得与其它较高档的五星级酒店相比有点差距。', '短评打分': 1}
