{'descr': '房间比较干净，卫生间偏小。\n早餐太差了。', 'star': 5}
{'descr': '还不错，房间干净，价格也不贵。就是早餐种类太少了。下次还会考虑住这里。', 'star': 5}
{'descr': '还不错，在市中心，房间干净，价格也不贵。就是早餐种类太少了。下次还会考虑住这里。', 'star': 5}
{'descr': '位置好，上海城边上，干净，设施也还不错。只是隔音稍稍差点。', 'star': 5}
{'descr': '这个酒店一般，反正也不是特别喜欢，还可以吧。', 'star': 5}
{'descr': '其他都不错，就是淋浴水不热，和体温差不多，没有兴趣洗澡。', 'star': 5}
{'descr': '地段离市中心很近，停车也比较方便，设施也不错。只是洗澡水不热，跟体温差不多，所以以后不会再住。', 'star': 5}
{'descr': '还算干净，空调制热效果很好，淋浴花洒很好。离市中心很近，比较方便。', 'star': 5}
{'descr': '第二次住这个酒店了，感觉性价比不错，但就是房间在路边的话，有点吵', 'star': 5}
{'descr': '设施和服务都还不错. 唯一有点遗憾的是暖气老是上不来. 不过总体来讲还不错', 'star': 5}
{'descr': '第三次入主了，临街比较吵，早餐大不如前，太简单了，不过炒菜还不错', 'star': 5}
{'descr': '比较整洁卫生，临近汽车站，交通很方便，餐厅也不错', 'star': 5}
{'descr': '第二次入住了，市中心，干净，但是临街噪声很大（虽然是住十一楼），见意改双层玻璃。早餐比较简单。价格较高。', 'star': 5}
{'descr': '靖江尚诚名都酒店靖江尚诚名都酒店靖江尚诚名都酒店', 'star': 5}
{'descr': '酒店总体不错，下次还来。暖气没问题，交通也好，服务也不错', 'star': 5}
{'descr': '房间卫生、服务人员热情、交通方便，只是上网不便，网速太低', 'star': 5}
{'descr': '位置靠近市中心繁华地段，整体感觉还不错，有机会再光顾\n', 'star': 5}
{'descr': '环境不错，设施齐全，服务态度比较好，就是早餐不算丰盛', 'star': 5}
{'descr': '  上网困难,卫生好', 'star': 3}
{'descr': '优点：\n1。地段较好。\n2。房间设计比较合理。\n3。房间比较干净。\n缺占：\n1。房间比较小（住的是行政房）。\n2。装饰很陈旧，许多地方都剥落了。\n3。卫生间一直都飘出臭味道。\n4。网速比较慢。\n5。早餐很差。\n\n总之在靖江，188这个价格，性价比是比较低的。', 'star': 1}
{'descr': '房间很干净，不错。', 'star': 3}
{'descr': '酒店很舒服…性价比很高、、服务好…干净', 'star': 3}
{'descr': '很不错的酒店，房间面积够大，很整洁干净，装修软件可到达到4星级酒店标准，性价比很高，值得推荐大家入住！', 'star': 5}
{'descr': '酒店设施很新，价位也比较合理。\n地段也很不错，市中心。\n推荐。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '酒店非常不错，行政套房非常舒服，下次还会来住', 'star': 5}
{'descr': '环境还行，卫生也可以了，就是网络一直不好用', 'star': 5}
{'descr': '小了一点，但还是比较方便。就是价格稍微有点高了！', 'star': 5}
