{'短评内容': '一般般，不是很满意', '短评打分': 3}
{'短评内容': '酒店还行，地段不错', '短评打分': 4}
{'短评内容': '没早餐，在市中心，交通便利，100米以内多家24小时便利店和超市，能停车', '短评打分': 5}
{'短评内容': '房间挺好的，服务不错呢，下次还会来的', '短评打分': 5}
{'短评内容': '位置挺好，周边商场和逛街的地方挺多，早饭也还可以', '短评打分': 5}
{'短评内容': '很舒服，空间大', '短评打分': 5}
{'短评内容': '环境不错，出行方便', '短评打分': 5}
{'短评内容': '好评，以后再来无锡还会订这家', '短评打分': 5}
{'短评内容': '还可以，交通便利', '短评打分': 5}
{'短评内容': '#ud83d#udc4d                                                  ', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '电视我就说不说啥了，有去住得自己体验吧', '短评打分': 4}
{'短评内容': '离南禅寺很近，就在地铁口旁，交通方便。各方面都还不错，值得推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '性价比很高的酒店，周围用餐购物也方便，房间内设施装修都不错，值得推荐入住', '短评打分': 5}
{'短评内容': '这个价格在无锡市中心还是很好的，去哪里都很方便，床铺很新，房间宽松，下次还住', '短评打分': 5}
{'短评内容': '不错的酒店。地理位置很好；楼层高，安静；周围吃饭的地方很多。带儿子来玩了两天，满意。就是房间地毯有污渍。', '短评打分': 5}
{'短评内容': '感觉非常好，卫生，安静，房间也比较大，很舒适，在市中心价格也不算高，下次还住该店。', '短评打分': 5}
{'短评内容': '性价比高，地段不错的，去八佰伴什么的挺方便哦!', '短评打分': 5}
{'短评内容': '酒店环境相当不错。', '短评打分': 3}
{'短评内容': '装修蛮好的，交通很方便，也在市中心位置，离八佰伴很近。', '短评打分': 5}
{'短评内容': '很不错，干净、安静、舒适！以后出去还会选择维也纳！', '短评打分': 5}
{'短评内容': '离市中心很近，就在八佰伴对面，服务很好，环境很OK，朋友们都很满意', '短评打分': 5}
{'短评内容': '酒店地段很好，周边很繁华应该是无锡最热闹的地方了，出行购物都很方便，难得的是可能酒店楼层较高身处闹市也很安静，休息的很好，酒店硬件设施在同档次的酒店里算是很好了，可以跟一些四星级的酒店媲美了。房间卫生搞得不错，就是酒店前台的人员少了点，碰到顾客较多的时候需要等。总的来说这样的价格物超所值，下次有机会来无锡还是会选这家店！', '短评打分': 5}
{'短评内容': '地点方便，离王兴记，三凤桥很近。前台服务热情，但门童太木讷。', '短评打分': 5}
{'短评内容': '给朋友订的，朋友反映非常好，性价比高，值得推荐！', '短评打分': 5}
{'短评内容': '酒店不错，一晚上大床的二百多，设施都很好，服务也不错，好找，但就是一点，我住的房间旁边应该是个商务房吧，还有麻将桌，我就郁闷了，隔壁凌晨还在打麻将，隔音效果还特差，吵的我一晚上也没怎么睡，这一点我很不满意，但想想马上就退房了就算了。唉~', '短评打分': 5}
{'短评内容': '地段好，闹中取静，房间干净舒适，大床很大，非常好', '短评打分': 3}
{'短评内容': '地段很好，很好找。房间也挺大，蛮不错的。', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全。挺好的，我下次去南京，还会住那里。', '短评打分': 5}
{'短评内容': '地理位置极好，交通便利，购物吃饭极其方便。酒店还不错，干净，设施也较新，总之，性价比非常高，以后到无锡还会住这家店。', '短评打分': 5}
{'短评内容': '房间干净宽敞。很不错', '短评打分': 3}
{'短评内容': '第一次入住，房间挺大的，看起来也很干净，只是地巾好像没有洗干净。', '短评打分': 5}
{'短评内容': '全满分，推荐此店！在火车站东广场坐118路，到二院（中信银行）下车，中信银行旁边的小路拐进去就是维也纳酒店了。价格跟经济型酒店差不多，但是硬件、档次上明显是三星级朝上走，性价比极其高啊！\n\n这次住13楼的豪华大床房，房间面积大，送两瓶矿泉水，有窗户通风，一点都不嘈杂，服务员很热情，给人的感觉很亲切。我最讨厌住的宾馆用浴缸，这家的卫生间用的是淋浴房哦，水量大，一次性用品齐全。有衣柜，海信液晶电视，有', '短评打分': 5}
{'短评内容': '酒店很好，在繁华的市中心，出入方便,八佰伴，百盛，汇金都在附近，步行就到。\n新崇安寺步行街楼上的豆豆蛙干锅好吃。八佰伴对面的 大唐饼业 里面的点心也蛮好吃的。', '短评打分': 5}
{'短评内容': '酒店很好，在繁华的市中心，出入方便，有家叫粤仔湾的餐厅很好吃，\n\n', '短评打分': 3}
{'短评内容': '酒店很好，和干净，服务也很好，在市中心，很方便。这个价和值。', '短评打分': 5}
{'短评内容': '不错，服务蛮好，干净，物超所值。下次还会选这个酒店。', '短评打分': 5}
{'短评内容': '酒店位置很好，在中山路上，离南禅寺很近步行5分钟就到，离王兴记中山路店不足200米。注意，自驾的朋友，酒店是在中信大楼没错，但是酒店的门面在巷子里，不在中山路上，看到中信银行的牌子请减速，中信大厦旁边的巷子进入就到了。我们定的豪华大床房，房间比较大，电视是一体机，可以上网。', '短评打分': 5}
{'短评内容': '位置好，干净，舒适，性价比超高，很值得推荐。。。', '短评打分': 5}
{'短评内容': '地处闹市区。住宿环境不错。。服务态度好。。不错的选择！', '短评打分': 5}
{'短评内容': '很好的酒店，你他家宣传册上的话就是：二星的价格，五星的体验！就是13楼洗澡水不是很热', '短评打分': 3}
{'短评内容': '酒店入口在巷子内，不太起眼，不过房间很不错，房间地毯踩着很舒服，床比较软，环境很安静，又在市中心，住的很舒服，下次来无锡还住在这边！', '短评打分': 5}
{'短评内容': '位置好，装修好，堪比三四星酒店，性价比超高，这次走了四五个城市，属在无锡这家酒店住得舒心', '短评打分': 5}
{'短评内容': '酒店的位置在巷子里，不太好找。但前台的服务很热情，房间的布置什么的也不错，缺点是空调不够给力', '短评打分': 5}
{'短评内容': '帮朋友定的，他回来说这酒店性价比高，下次出差还会选维也纳', '短评打分': 5}
{'短评内容': '帮朋友定的，他回来说性价比高，不错的酒店', '短评打分': 5}
