{'短评内容': '可以方便好', '短评打分': 5}
{'短评内容': '可以方便周到', '短评打分': 5}
{'短评内容': '可以方便真的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '还行吧！环境不错', '短评打分': 5}
{'短评内容': '安全贴心，温暖舒适！', '短评打分': 5}
{'短评内容': '设备设施好', '短评打分': 5}
{'短评内容': '交通方便，吃饭方便', '短评打分': 3}
{'短评内容': '不错，方便出行。', '短评打分': 4}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '整体感觉都挺好的，有机会还选择去住。', '短评打分': 4}
{'短评内容': '一般般，但便宜。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以...', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '停车方便，不收钱的，有免费早餐，离医院近，不错，可以推荐。', '短评打分': 5}
{'短评内容': '比较好找，离华西医院很近，各个附属医院在1公里范围，还有就是停车方便，而且免费的，有免费早餐。总体感觉还是可以。', '短评打分': 5}
{'短评内容': 'jiudain离华西很近，住的病人和家属很多！早餐居然服务员每个人施舍一个鸡蛋！像是打发叫花子一样！是在是可恶！', '短评打分': 1}
{'短评内容': '酒店早餐太烂了，居然是服务员站在柜台给每人发一个煮鸡蛋，象是在施舍，不应该！', '短评打分': 3}
{'短评内容': '房间设施很一般，清洁也不到位，性价比不高。只是离华西医院近，如果外地看病的朋友，可以考虑小住。', '短评打分': 1}
{'短评内容': ' 环境不错，干净整洁，还是可以的。', '短评打分': 3}
{'短评内容': '这家酒店不错，也很干净。很满意。', '短评打分': 3}
{'短评内容': '打电话确认的时候告知酒店10点到10点半之间才能到，结果10点23的时候到了说把房间取消了，很不负责任！后来协商还是给了我们两间房，结果其中一间电视是坏的，其中一个床用不了天花板会漏水下来，好的床却又会摇晃，找了经理态度蛮不错的，结果后来又来了一个不知道是什么的人，态度蛮狠，还说要不然就别住，这国庆的全称爆满，让我们去哪儿住啊，明明是他们有错在先还振振有词，很不愉快！！！', '短评打分': 1}
{'短评内容': '环境马马虎虎，早餐只有稀饭馒头和一个鸡蛋。服务也一般', '短评打分': 3}
{'短评内容': '早餐差，其他还好', '短评打分': 3}
{'短评内容': '很安静，条件还不错，就是不能刷卡，只能付现金，这点不太方便啦~~~~', '短评打分': 5}
{'短评内容': '房子还好！值！\n\n\n\n', '短评打分': 3}
{'短评内容': '全现金支付 没有预授权刷不了卡,这得带多少现金啊.不过地理位置的确很占便宜,去医院的话住这里的确是挺近的. 不过下次再近也不住了\n', '短评打分': 1}
{'短评内容': '装修陈旧，服务不到位，门口是单行道  ，交通很不方便，性价比不高', '短评打分': 1}
{'短评内容': '房间有点小,卫生间也很小.服务员态度还可以.', '短评打分': 3}
{'短评内容': ' 这个宾馆相当负责任', '短评打分': 3}
{'短评内容': '：感谢', '短评打分': 3}
{'短评内容': '酒店房间很宽阔，1.8米的床很宽大，卧具很舒服，还有一个带搁凳的沙发。不足之处：房间窗户开着的时候，落进来的灰尘不小，沙发及搁凳全是土啊；酒店的餐厅已经承包给个人，早餐按照餐券一人发一个鸡蛋，中晚餐都不能签单，不过服务态度挺好的。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店很脏，空间狭小！地板，床罩都不干净。周边环境较差。', '短评打分': 1}
{'短评内容': '性价比高，但停车场很小很小。服务还算勉强。', '短评打分': 5}
{'短评内容': '总体感觉不错，物有所值，下次去成都还住他', '短评打分': 5}
{'短评内容': '环境有点差', '短评打分': 5}
{'短评内容': '总体感觉还可以，就是隔音效果差了点，隔壁说话稍大声点就听到，由于酒店附近并非什么商业区，得花点时间找 ，最不巧的是由于第二天酒', '短评打分': 5}
{'短评内容': '还不错 真的还不错 就是不好找 门口是个单行道', '短评打分': 3}
{'短评内容': '我忘了去退押金 打算去退押金\r\n哎 真麻烦', '短评打分': 5}
{'短评内容': '屋里有两个台阶，晚上起来上洗手间，摔了一个跟头，太不安全；\r\n在卫生间一洗澡地上都是水，很滑，容易摔跤。\r\n', '短评打分': 1}
{'短评内容': '没有体现商务酒店的特色', '短评打分': 3}
{'短评内容': '比较方便，', '短评打分': 3}
{'短评内容': '早餐不好，', '短评打分': 5}
{'短评内容': '性价非常好的酒店,位于市中心,闹中取静,房间设施达到三星级标准,使用了应该不到两年,略嫌不足的是房间的面积小了一点', '短评打分': 5}
{'短评内容': '位置好，交通方便。', '短评打分': 5}
{'短评内容': '不是很舒服，交通也不方便。', '短评打分': 1}
{'短评内容': '比较方便，还行！～！！', '短评打分': 5}
{'短评内容': '酒店就在我办事地方的旁边，很近，内部的硬件条件和服务还算可以的，价格挺优惠，还不错。', '短评打分': 3}
{'短评内容': '性价比高，住着舒服，但是电梯太慢，电梯里有点脏。 ', '短评打分': 5}
{'短评内容': '\r\n\r\n整体感觉一般，但从九寨沟下来后就觉得还是不错的', '短评打分': 5}
{'短评内容': '总体来说还是比较不错的，只是其中一个楼没有电梯。', '短评打分': 5}
{'短评内容': '总体感觉，不太好，希望能够提高服务质量', '短评打分': 1}
{'短评内容': '逃离，这酒店服务太差劲了，前台办事速度奇慢，态度奇差，一个个就跟家里刚死了人似的', '短评打分': 1}
{'短评内容': '前台服务员、收银员要提高服务，，服务真的很差劲，顾客说什么，从来就是一个字&quot;不行”，建议经理换人。', '短评打分': 1}
