{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '环境和汉庭的比起来差太多了，我是住一楼的靠近路边太吵了隔音不好，还有房间里放着太多的自费商品你要是没注意看拆下去就要付钱咯，还有浴室地板也没有防滑垫。。。。。这是我住过的最差的一次酒店了', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '不错服务态度很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般，真的一般', '短评打分': 5}
{'短评内容': '不错，环境和便利', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '周边真的很多吃的 出行公交也方便 酒店态度挺好。不像评论说的那么差 房间基本用的毛巾和床上用品还算干净 只是墙上有个蜘蛛网 让我有点小恶心', '短评打分': 5}
{'短评内容': '还不错哦哦哦', '短评打分': 4}
{'短评内容': '一楼有蚊子，最后到二楼，总体说还不错', '短评打分': 3}
{'短评内容': '比较干净，挺不错的，也不吵', '短评打分': 5}
{'短评内容': '一般出差住一下还可以，讲究舒适的就不行了，价格就这样了！', '短评打分': 3}
{'短评内容': '一般商务出差而已，不要要求太多，干净安全为主！', '短评打分': 3}
{'短评内容': '房间卫生较差。还有蚊子较多，周边较吵，晚上还有拖拉机来回声音。。', '短评打分': 3}
{'短评内容': '设施太差，服务恶劣，差评', '短评打分': 3}
{'短评内容': '住了1楼~·环境很对不起这个价格·~半夜一群群喝酒的人经过发酒疯·~吵死', '短评打分': 1}
{'短评内容': '现金劵不给抵用，洗手间的遮帘太脏，电梯有味道', '短评打分': 3}
{'短评内容': '整体感觉良好，位置在市中心，去哪里都很方便，晚上吃夜宵的地方也很多，比较推荐。', '短评打分': 5}
{'短评内容': ' 蚊子很多，其他就对不起这个价格吧', '短评打分': 3}
{'短评内容': '比较差。。。环境什么的，都不怎么好。只是地理位置好一点。不推荐。', '短评打分': 1}
{'短评内容': '地段交通饮食配套都挺不错的，但酒店房间不大，设施比较简单，在泉州这个价位不便宜，性价比一般', '短评打分': 3}
{'短评内容': '还可以，比较舒适，地段也还不错', '短评打分': 3}
{'短评内容': '酒店环境很好。挺喜欢的 。就是没有无限。', '短评打分': 5}
{'短评内容': '位置在美食街上,还是很方便的,性价比还是不错的', '短评打分': 3}
{'短评内容': '舒适，性价比很好的饭店，服务周到，价格适中', '短评打分': 5}
{'短评内容': '地理位置是不错的，外观也不错，就是里面的设备有点旧\n让人看起来怪怪的 服务倒是不错。', '短评打分': 5}
{'短评内容': '酒店位于市区繁华地段，旁边就是美食街、电影院，出则就是丰泽街、津淮街，酒店房间整体环境只能说一般吧，就是有停车场停车方便。', '短评打分': 1}
{'短评内容': '还行吧 前台服务不错如果房间换成地毯就好了', '短评打分': 5}
{'短评内容': ' 不错的酒店。。狠适合男女住啊', '短评打分': 3}
{'短评内容': '房间不大，但很干净！离开美食街也很近。但隔音很差，旁边房间的用水、说话声音很清楚！这个价格还没有早餐！', '短评打分': 5}
{'短评内容': '房间不大，但很干净！离开美食街也很近。但隔音很差，旁边房间的用水、说话声音很清楚！', '短评打分': 5}
{'短评内容': '1、地理位置号称离车站十分钟，实际上我走了三十分钟才到。\n2、给我的房间在1楼，又潮，又吵，房间霉点什么的都有的，不就是比别的客户便宜十块钱么，至于嘛。\n3、我在房间落下一样首饰，第二天打电话过去希望帮我找找，服务员爱理不理的，什么态度。', '短评打分': 1}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': '环境很好，设施挺齐全，价格挺实惠，值得推荐。', '短评打分': 5}
{'短评内容': '预订的是迷你房间，价格不比直接柜台少，这里预订的是139元，而门市是149元，就相差10元。房间10㎡不到，真的是什么都mini，电视机很mini，洗澡房间是在床的旁边不到30公分。洗手间设计极不合理，漏斗在马桶的旁边，而且装修的时候这个洗澡房的地面坡度肯定低于15度，水就这样不能流下去。还有电视机用的电信IPTV，基本上你只要看电视，电脑上网就用不了，共享宽带的。还有那个椅子的坐垫，人一坐就塌陷', '短评打分': 1}
{'短评内容': '酒店硬件设施比较差，房间很小有些压抑，而且隔音也不是很好，临街比较吵.', '短评打分': 1}
{'短评内容': '服务员水平低，房间有味道。而且还有深夜电话打进来。', '短评打分': 1}
{'短评内容': '酒店挺适合年轻人的，设计的挺时尚，价格也不贵，出行也挺方便。', '短评打分': 5}
{'短评内容': '还不错;吃饭;交通都很方便.还能看网络电视.就是墙壁隔音不好.', '短评打分': 3}
{'短评内容': '清洁舒适。还不错。', '短评打分': 3}
{'短评内容': '总体感觉还行 电视机是迷你型的 也太小了吧...', '短评打分': 5}
{'短评内容': '总体还不错，不过洗浴用品质量太差，迷你房太小！', '短评打分': 5}
{'短评内容': '房间颜色搭配的挺好，看着很舒服，卫生打扫也不错。性价比方面也挺好的。', '短评打分': 5}
{'短评内容': '干净，设施好。是个好酒店。我会推荐给朋友去体验。', '短评打分': 5}
{'短评内容': '酒店位于市中心，周边交通挺便利，房间布置挺温馨挺时尚，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店的环境还是不错的,服务员的态度也比较满意,就是我定的大床房信息上显示一米八而实际上只有一米五.心里不爽有钟被欺骗的感觉.希望以后能如实刊登信息.', '短评打分': 5}
{'短评内容': '位置不大好找，没有明显的指示牌，空调噪音太大，卫生间没有防滑垫，总体还是不错的', '短评打分': 3}
{'短评内容': '很好。很干净。', '短评打分': 3}
{'短评内容': '位置不错，挺安静的。在国泰观邸对面。对面白天在装修。', '短评打分': 5}
{'短评内容': '+浴室没有 防滑垫。 有水非常滑', '短评打分': 5}
{'短评内容': '10月7日早上退房，入住中间发现不足，一是洗手间没有防滑垫，地板有水很容易滑倒，入住第二天发现用过的毛巾服务员收走了，却没有补充新的。', '短评打分': 3}
{'短评内容': '环境不错，房间小巧。就是对面的住宅还在装修中，白天会有点吵，晚上还算挺安静的。', '短评打分': 5}
{'短评内容': '酒店的位置还成，周边交通比较便利，房间不大，但是挺干净的。', '短评打分': 5}
