{'短评内容': '还好，不错', '短评打分': 5}
{'短评内容': '服务态度极差', '短评打分': 3}
{'短评内容': '挺好的，方便', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '可以加床。挺好的。位置也方便', '短评打分': 5}
{'短评内容': '环境干净整洁，关键还有停车位，下次还会再考虑。', '短评打分': 5}
{'短评内容': '环境干净整洁，关键还有停车位，性价比还是很高的。', '短评打分': 5}
{'短评内容': '安静，设施没那么新，还不错。', '短评打分': 5}
{'短评内容': '酒店位置好，价格还可以', '短评打分': 5}
{'短评内容': '设施陈旧，但位置较好，出行方便，价格小贵！', '短评打分': 4}
{'短评内容': '习惯性好评', '短评打分': 3}
{'短评内容': '服务态度不好', '短评打分': 2}
{'短评内容': '还是挺好的', '短评打分': 4}
{'短评内容': '部队招待所，安全方便，不过不能开增票', '短评打分': 5}
{'短评内容': '早餐一般，交通方便，推荐入住。', '短评打分': 4}
{'短评内容': '大堂环境可以，内部设施不行，不值这个价', '短评打分': 4}
{'短评内容': '这次是第二次订房，前面说了，这个酒店的特色就是安静。另外离我家近，很方便的，到玄武湖，鼓楼都很方便！这次定的超南的房间，感觉明显比超北的标间要好，可能上次客人到的晚（凌晨），所以给的房间靠北，总体还是推荐的，挺不错的一个酒店！', '短评打分': 5}
{'短评内容': '这个酒店是帮亲戚定制的，内部设施干净整洁，房间不是很宽敞，四周交通还行，主要是到家里近，酒店在大院里，很安静，看重这一点，所以后面又帮北京来的朋友又定了一次。', '短评打分': 5}
{'短评内容': '饭店不错，服务到位。', '短评打分': 5}
{'短评内容': '不想再入住~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~··', '短评打分': 1}
{'短评内容': '非常安静，服务一流，物有所值，地理位置也还可以', '短评打分': 5}
{'短评内容': '非常温馨的一家酒店，各方面都感觉舒服，还会去住的！', '短评打分': 5}
{'短评内容': '部队开的酒店，硬件不错，浴室水量较小，莲蓬头该换了，出的水很刺皮肤。', '短评打分': 5}
{'短评内容': ' 服务好，环境好，设施齐全', '短评打分': 3}
{'短评内容': '高楼门饭店还不错虽外面看着不起眼里面还是很不错的', '短评打分': 3}
{'短评内容': '<南京高楼门饭店>是部队招待所，综合条件还好，院内设有停车场房间不小、早餐还好。', '短评打分': 5}
{'短评内容': '军队的，安全，安静，还好。交通也方便，下次可能还会住那里。', '短评打分': 5}
{'短评内容': '外表一般，里面还行！', '短评打分': 3}
{'短评内容': '酒店虽地处闹市，却十分安静，停车场较大，客房整洁卫生，服务热情。', '短评打分': 5}
{'短评内容': '酒店离玄武湖很近，酒店很干净，很安静，很安全，是军方背景的。早餐也不贵。但是很难再酒店吃到晚餐，因为都是人家包场。', '短评打分': 5}
{'短评内容': '酒店环境还可以，服务态度比较好，房间比较干净，就是现在在装修，早上7点左右就在施工，比较吵，希望改善一下施工时间，', '短评打分': 5}
