{'短评内容': '很不错，房间挺大，服务态度也好', '短评打分': 5}
{'短评内容': '早餐一般，样式减较少', '短评打分': 4}
{'短评内容': '服务都挺好 上次也住的这里 这次换了种房型 ', '短评打分': 5}
{'短评内容': '服务态度很好的', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '挺好的住的', '短评打分': 5}
{'短评内容': '酒店很安全  安静   整洁，没有人从门缝里塞小广告；出门就有邮政银行和农业银行，饭店很多，离永旺商场很近。去烟台大学和滨州医学院，坐公交车几站就能直达。可惜不能上图', '短评打分': 5}
{'短评内容': '姐说还可以', '短评打分': 5}
{'短评内容': '我很满意，距离佳世客很近，结果被高德地图坑了，饶了个大圈去的。', '短评打分': 5}
{'短评内容': '暖气不热啊，又赶上降温，半夜冻醒了', '短评打分': 4}
{'短评内容': '暖气不热啊，又赶上降温，半夜冻醒了', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '比较干净，安静，酒店设施也不错。', '短评打分': 5}
{'短评内容': '还不错，挺干净的，只是房间比图片上显示了小了点。酒店出门右拐就是餐饮一条街，其中一家鱼火锅还有一家黑猪肉餐厅都非常不错……', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置有点偏，典型的快捷酒店', '短评打分': 3}
{'短评内容': '服务和居住环境不赖 就是太偏了有点', '短评打分': 5}
{'短评内容': '每次出差就住在这里，旅游淡季性价比高', '短评打分': 5}
{'短评内容': '酒店整体不错，就是有一些顽渍没有根除，给人视觉上的效果不干净', '短评打分': 3}
{'短评内容': '环境很好，地板很干净，感觉很好，也安静，住在最顶层，附近就是佳世客，很方便购物和出行', '短评打分': 5}
{'短评内容': '给朋友订的，房间挺大，也还干净，还可以，还是会推荐的', '短评打分': 5}
{'短评内容': '住的还行 挺好的 嘻嘻 下次还来 积分怎么兑换 方便说一下吗', '短评打分': 5}
{'短评内容': '旁边有建筑施工，不过动静不是很大，而且看样子快要完工了，房间挺宽敞的，不过餐厅比较小。', '短评打分': 5}
{'短评内容': ' 干净，房间挺大。', '短评打分': 3}
{'短评内容': '经济型酒店，价格便宜。房间也还干净。不过酒店不能打国际长途。', '短评打分': 5}
{'短评内容': '前台办理入住的手续挺快的，房间很暖和，有空调还有暖气，虽然烟台下雪了但是很温暖，挺满意的。', '短评打分': 5}
{'短评内容': '方不错，就是烟味太大。提出批评', '短评打分': 3}
{'短评内容': '酒店很干净，位置也挺好的。客房和前台服务员都非常热情，烟台非常漂亮，酒店离海边很近。下次去烟台还选这家店，太好了，推荐！', '短评打分': 5}
{'短评内容': '以前住过北京的锦江，印象很好，所以这次仍然找烟台的锦江。总体来说没让我失望，房间里各种设施一如既往的干净整洁，被褥等也盖得很舒服，服务态度也很好。不过有点让人抓狂的是屋里没有纯净水或者是直饮水设施，要喝热水只能自己烧自来水或者是买瓶装纯净水。因为现在大部分自来水的味道都不怎么样，所以无奈只能出去买了纯净水回来烧，才喝上热水。唯一要提的意见就是这个了，希望能加装个纯净水设施，现在很多和锦江一样的连锁', '短评打分': 5}
{'短评内容': '不错，就是贵了点！第一次入住，感觉房间还算比较干净。', '短评打分': 5}
{'短评内容': '不错 就是贵了点！旺季就贵 旅游季节嘛！', '短评打分': 5}
{'短评内容': '不错 就是贵了一点，离海边还比较近，推荐！！！！', '短评打分': 5}
{'短评内容': '我订的商务套房A，房间非常大，很舒服，满意', '短评打分': 3}
{'短评内容': '酒店设施不错，服务还可以，就是位置比较偏僻，离烟大较近。', '短评打分': 5}
{'短评内容': '已是第三次入住，很满意，干净、服务态度良好。有机会也会再次入住。', '短评打分': 5}
{'短评内容': '还好，值这个钱，离烟台会展中心较近，方便，房子有点小', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '性价比不错的酒店', '短评打分': 3}
{'短评内容': '距离杰瑞股份很近，很方便去公司。房间整体不错，都很好，值得推荐。吃得就不咋样了', '短评打分': 5}
{'短评内容': '位置有点偏,但交通方便,旁边有大的商场,里面吃的选择很多,还有很多商店,值得一去.', '短评打分': 5}
{'短评内容': '房间干净明亮，设计合理，保洁人员很热情，只是前台结账的时候在早餐上出了点小麻烦，总体还不错', '短评打分': 5}
{'短评内容': '    其它都好，就是后面施工单位下班夜了还不停作业，太吵了！', '短评打分': 3}
{'短评内容': 'convenient, a Jusco nearby, and many restaurants you can pick.', '短评打分': 5}
{'短评内容': '前台服务态度非常好、亲切有礼。值得再次入住。', '短评打分': 5}
{'短评内容': '距离我去的地方很近，旁边有个挺大的日本超市，挺好。', '短评打分': 5}
{'短评内容': '因空调漏水，一天换了三次房间，前台职员服务态度非常好。\n但多住数天，发现收拾房间的职员每天只更换毛巾，并没有打埽房间，如放置在房间的纸杯已用过，打埽后，脏的纸杯还是在原处，也没摆放新的纸杯在房间。', '短评打分': 3}
{'短评内容': '酒店设施不错，服务也行，就是位置比较偏僻。', '短评打分': 3}
{'短评内容': 'clean and comfortable.', '短评打分': 3}
{'短评内容': '前台及服务员态度非常热情有礼。值得再入住！', '短评打分': 5}
{'短评内容': ' 离烟台大学不远，附近有超市，性价比较高。', '短评打分': 5}
{'短评内容': '环境是挺干净不过房间小了一些，房间里面空调坏了也没有人修不过当时确实因为没有房间了其实烟台到晚上就没有这么热而且当时酒店也主动减少了一些房费所以也还不错处理的还是挺及时的，服务人员是挺少的但是态度都不错。环境倒是也可以。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，但位置还是稍偏，总体来说还可以，推荐入住。', '短评打分': 5}
{'短评内容': '地理位置还行，就是毛巾和床单洗的不太干净，可能是旺季吧。', '短评打分': 5}
{'短评内容': '卫生挺好服务也挺好！环境还好！挺满意的！要提前预订！', '短评打分': 5}
{'短评内容': '整体来说：这个酒店的硬件很好，软件不行。\r\n\r\n优点：1、酒店很新，装修简洁明快，设施便利舒适，细节比较到位，比一般的经济型酒店好一些。比如，房间里有冰箱、吹风、小衣柜等，床也很大很舒服。\r\n2、酒店提供免费的地图、还可以免费使用自行车。\r\n3、酒店离公交车站比较近，基本到各个地方都可以有直达的公交车。\r\n\r\n不足：1、服务还是不行。我们上午10点多到酒店，办理入住时前台的小姐告诉我们现在服务员都', '短评打分': 5}
{'短评内容': '服务员不太诚实，给安排的房间也挺小的。感觉没有其他城市的店干净。', '短评打分': 5}
{'短评内容': '位置还行，在主干道上，出行比较方便，离海边也比较近。价格也比较合适。', '短评打分': 5}
{'短评内容': '服务上很专业，态度很热情，隔音不错，晚上很安静，睡的挺踏实。', '短评打分': 5}
{'短评内容': '位置不是很好找，价格和其他锦江之星都差不多，像他的那个房间的布局和设施都和其他的锦江之星都差不多，其他的都还行。', '短评打分': 5}
{'短评内容': '性价比非常高的一家酒店.硬件和软件条件都很到位，而且房间住起来也很舒适.', '短评打分': 5}
{'短评内容': '房间采光通风都很好，房间里比较显新也很干净。', '短评打分': 5}
{'短评内容': '设施比较新，也比较全，房间干净整洁。住在二楼房间有些小，有点压抑。电视信号不好。总体还不错。', '短评打分': 5}
{'短评内容': '感觉就便宜，但太环保了，泡茶就给一个一次性杯子。。。。。。\r\n冲凉给的是很小很小的肥皂~\r\n那个吹风机质量超级差，用两下就不动了~\r\n\r\n不过价格真便宜~', '短评打分': 5}
