{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '早餐还可以，价格也不贵，住的地方很方便离一汽解放很近，方便去客户，下次如果出差还会住这里的。', '短评打分': 5}
{'短评内容': '卫生有待提高。', '短评打分': 5}
{'短评内容': '停车场实在是太差劲', '短评打分': 4}
{'短评内容': '缺乏早餐，有待完善，交通异常便利，附近餐饮就餐方便，早起还有丰富多彩的早市，非常不错的休闲度假的理想住处', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好很好特别好前台负责卫生打扫及时服务人员都很周到贴心好很好特别好前台负责卫生打扫及时服务人员都很周到贴心', '短评打分': 5}
{'短评内容': '周边环境很方便', '短评打分': 5}
{'短评内容': '客人觉得方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很温暖', '短评打分': 5}
{'短评内容': '非常好，老顾客，还会在选择', '短评打分': 5}
{'短评内容': '酒店很好，很干净，老顾客，谢谢', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '经常入住，非常好，环境卫生都非常好，就是长庆街是单行开车不太方便', '短评打分': 5}
{'短评内容': '房间很大，落地窗，躺椅，超大双人床，在同档时尚连锁酒店里绝对算是环境舒适的。我个人的感觉是很中意星月3，价钱或许不像别的地方那么便宜，可是环境和卫生也的确是比不了。附近还有南湖哦....强烈推荐！', '短评打分': 5}
{'短评内容': '真的很好，下次还来！环境很棒，服务也很好！床很大，靠椅很舒服！相当不错！', '短评打分': 3}
{'短评内容': '环境真的太好了，房间很大，很喜欢，以后还是会考虑来的', '短评打分': 5}
{'短评内容': '酒店内部环境设施都还算是可以了，总体感觉实在是太一般般了', '短评打分': 5}
{'短评内容': '服务态度很好，有很大的停车场，安静，有家的感觉挺好。', '短评打分': 5}
{'短评内容': '太失望了，订了个三号房没有擦鞋布毛巾都破的漏洞了还在用，卫生间小的跟鸽子笼一样，整个厨房跟没有一样光有个电磁炉，还不如都改成卫生间，地板都起皮了也不收拾一下，见过会过的酒店，没见过这么会过的。总之一个字“破”，以后不会再住了。', '短评打分': 1}
{'短评内容': '地点很好，距离商业街很近\n房间里面的条件很舒适\n整个酒店的装修也非常有特色\n\n就是电梯出了点故障，好在楼层低，靠腿就可以\n另，希望在厕所备一双拖鞋', '短评打分': 5}
{'短评内容': '很时尚的装修风格，性价比很高，住的是3号房，卫生间超小，厨房不太实用，只有一个电磁炉，出门没带锅，根本用不上。床单被罩什么的洗的很干净，没有异味。', '短评打分': 5}
{'短评内容': '还是不错的，非常值得住，但是是适合人多或者是享受型的', '短评打分': 5}
{'短评内容': '星月还是一如既往的讓我满意。', '短评打分': 3}
{'短评内容': '舒适！性价比还是不错的！洗手间显得拥挤些。', '短评打分': 5}
{'短评内容': '不错 很干净 很安静  住的三号房 很大 算是长春不错的酒店了性价比很高                         ', '短评打分': 5}
{'短评内容': '酒店比较旧 洗澡的地方更差 不推荐   我定的是五号房 最大的那种 客厅的电视还不好', '短评打分': 1}
{'短评内容': '五号房非常大而且舒适，服务热情周到，性价比非常高，以后就住这了。', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '      有厨房很不错，就是提供的做饭工具很少，很温馨。。。', '短评打分': 5}
{'短评内容': ' 86平方米,一室一厅,太爽了!', '短评打分': 3}
{'短评内容': ' 很不错 ,干净,安静!', '短评打分': 3}
{'短评内容': '这个酒店不错不错不错啊。。房间很别致 空间也是很大很充足。床也很舒服~\n', '短评打分': 5}
{'短评内容': '性价比比较高，美中不足的是装修时间可能久了些，墙壁有些掉皮，不过整体很不错，尤其床垫很舒服', '短评打分': 5}
{'短评内容': '冬季有点冷，比想象中脏一些，有点失望，下次不会选择这家了', '短评打分': 1}
{'短评内容': '洗漱备品五元一套，房间还有蟑螂，装修老旧。', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '环境很好，服务也很好，很好很好很好很好很好很好很很好', '短评打分': 5}
{'短评内容': '环境还不错，挺有氛围～～挺舒适。价位也还可以把。', '短评打分': 5}
{'短评内容': '＋不错', '短评打分': 5}
{'短评内容': '入住的价格比网上订的高啊!', '短评打分': 5}
{'短评内容': '一直喜欢南湖二店，这次试了新的公寓式，比较有家的感觉，但设施一般，看卧室墙角那里有大面积受潮的痕迹~~不过这价位也差不多了~~', '短评打分': 5}
