{'短评内容': '很好 环境不吃  ', '短评打分': 4}
{'短评内容': '一如既往的好！多次入住', '短评打分': 4}
{'短评内容': '早餐好，品种多', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '这个价位，真心牛', '短评打分': 5}
{'短评内容': '环境舒适、干净、当地最有档次、最好的一家酒店、值得下次入住', '短评打分': 5}
{'短评内容': '不错！舒城最好的宾馆了！', '短评打分': 5}
{'短评内容': '一般般，太一般，舒城住就还可以啦', '短评打分': 4}
{'短评内容': '你就知道啦……在哪里！你就知道我们是因为一切处有一个不一样了，我是西瓜回家吃饱你健康长寿！需那么你呢！', '短评打分': 5}
{'短评内容': '房间很大，设施很好，物超所值。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '非常不错的酒店，在县城里位置很好，已经很好了，就是携程早餐只有一位不太好。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '早餐虽然很丰盛，但是管理过于死板。因为早起外出赶时间六点五十就要出发，可是孩子没有吃早饭，所以想用用两张早餐券想给孩子带一份早餐，结果都被拒绝，觉得很不尽人情。', '短评打分': 5}
{'短评内容': '已经好几次入住了，满意', '短评打分': 5}
{'短评内容': '酒店环境还不错，设施什么的也很好', '短评打分': 5}
{'短评内容': '已经多次选择了，在舒城目前应该算最好的酒店了吧，自助餐也不错。', '短评打分': 4}
{'短评内容': '早餐不行。酒店管理，餐饮需要大大提高！！！！！！！', '短评打分': 5}
{'短评内容': '早餐不行。酒店管理\\餐饮需要大大提高!！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店不错干净安静,早餐也丰富,价格也不贵。', '短评打分': 3}
{'短评内容': '热水是黄的 没有bb床 行政酒廊不开放 早餐太差 服务员不会主动打招呼 好吧是我要求太高了 这个一个小县城~！！！！！！！', '短评打分': 1}
{'短评内容': '房间味道太大，早餐不行。酒店管理水平差，餐饮改进距离五星标准需要', '短评打分': 5}
{'短评内容': '便宜、实惠！这个县城（很快应该成为市）应该是最好的酒店了。值得推荐。', '短评打分': 5}
