{'短评内容': '服务不是很好', '短评打分': 3}
{'短评内容': '在市中心，去哪里都比较方便，房间比较小。', '短评打分': 4}
{'短评内容': '还行。实惠吧。快捷酒店的品质。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '总体还不错吧，经济舒适！', '短评打分': 5}
{'短评内容': '定的价格便宜点的，房间较小，问了是否可以下午两点退房，服务员回复在携程定的不能延迟到两点只能12前退(碰到之前一个入住的客人最后商量的是两点退房，全程我在旁边听着)', '短评打分': 4}
{'短评内容': '没什么好评论', '短评打分': 3}
{'短评内容': '如家也就没什么好点评的啦，位置一般，只是个人需要离店里比较近，所以才安排在那边。客房里连支矿泉水都没有', '短评打分': 3}
{'短评内容': '好多年前在南京住过如家，那次印象特别差，这次抱着试试看的心情又选择了如家，非常惊喜！房间很宽敞，无烟房果然没有烟味，陶瓷的水龙头，还有直饮水，各种设施都很好！', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧就是近高铁?车', '短评打分': 5}
{'短评内容': '环境一般， 位置还不错', '短评打分': 5}
{'短评内容': '好，下次还会入住', '短评打分': 5}
{'短评内容': '位于老城区，旁边就有公交可以直达潮汕高铁站。周围小吃不少，还有电影院可以去看看。不过想逛商场就没有了。挺好的', '短评打分': 4}
{'短评内容': '位置比较好找 就是房间有些小。', '短评打分': 5}
{'短评内容': '第二次入住，虽然房间小点，网速给力', '短评打分': 5}
{'短评内容': '房间有点小，网络不错，性价比总体还可以', '短评打分': 4}
{'短评内容': '房间有点小，网速真快', '短评打分': 4}
{'短评内容': '非常非常不错的酒店，安静，卫生，方便。价格又合理。', '短评打分': 5}
{'短评内容': '值得推荐的酒店。 地理位置好，非常卫生，服务态度好。如家，真的像在家一样的舒服！', '短评打分': 5}
{'短评内容': '酒店环境还可以，服务还不错，不过入住结账后四天还没有更改订单状态，还要本人咨询在线客服才解决，有点失望。', '短评打分': 5}
{'短评内容': '环境还不错，空调好给力，房间有点小，却厕所很大个', '短评打分': 5}
{'短评内容': '环境不错，特别是厕所很光亮，就是有点小，隔音效果有点差。', '短评打分': 5}
{'短评内容': '总体还不错，干净卫生，设备齐全，服务态度也还行，就是被子有点薄，隔音效果不是很好.', '短评打分': 5}
{'短评内容': ' 空间不算大，不过确实挺干净的。整体感觉还不错~', '短评打分': 3}
{'短评内容': '环境不错！小巧，照明也不错', '短评打分': 3}
{'短评内容': '还是不错的，挺温馨的，就是有点小，总体可以的，哈哈！', '短评打分': 3}
{'短评内容': '还行，环境比七天连琐好，但价格就比七天连锁贵。', '短评打分': 3}
{'短评内容': '房间太小了.', '短评打分': 3}
{'短评内容': '被子有点薄，空调有点猛.\n周边环境还算不错，网络稍微有点慢，玩网游不是非常给力', '短评打分': 5}
{'短评内容': '价格还算可以，比较经济，房间的比较干净，就是窄了点', '短评打分': 5}
{'短评内容': '房间有点小，消声不咋滴隔壁一点动静都知道，楼下服务态度不咋的，清洁的阿姨不错要走还打下招呼。不过还是不错卫生实惠', '短评打分': 5}
{'短评内容': '很好，每次都要来点评一次，确实感觉相当的不错！', '短评打分': 5}
{'短评内容': '很好，很不错，个人感觉非常好，已经住过N遍了！', '短评打分': 5}
{'短评内容': '＋入住了三天，总体而言，房间较小，干净整洁，提供的设施与服务较为齐全，服务态度也不错，可以给四颗星。', '短评打分': 3}
{'短评内容': '内部环境布置不错，颜色搭配也比较合理，感觉确实挺温馨的！不错！！', '短评打分': 5}
{'短评内容': '相当不错，环境卫生都很好，个人非常之满意。', '短评打分': 5}
{'短评内容': '环境不错,还满意,下次还去,希望价格能再优惠一些', '短评打分': 5}
{'短评内容': '酒店地理位置很好，离汽车站和火车站很近，交通很方便。周边有KFC Pizza Hut吃的还比较方便。房间卫生状况很好，干净整洁，设施齐全，酒店服务人员的服务也很周到。价格优惠，下次再光顾！', '短评打分': 5}
{'短评内容': '交通便捷，房间舒服卫生，还会继续入住!!!', '短评打分': 5}
{'短评内容': '服务态度好，酒店房间干净舒服！下次会再选择！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '浴室很好。其他的都不错。整体很干净。服务人员态度也很好。当晚8点多到了，剩下的房间还帮我留着。很不错。', '短评打分': 5}
{'短评内容': '服务态度好，酒店房间干净舒服！下次会再选择！', '短评打分': 5}
{'短评内容': '服务态度好，酒店房间干净舒服！下次会再选择！', '短评打分': 5}
{'短评内容': '来晚了一个小时，房费恢复原价，很不人性化。', '短评打分': 3}
{'短评内容': '环境挺好的，交通也还便利，价格相对低廉，性价比很高', '短评打分': 5}
{'短评内容': '交通是比较方便的  房间也很静  很好找  服务态度不错  不过觉得跟广州的如家比的话  房间会有点小就是了', '短评打分': 5}
{'短评内容': '酒店很干净，服务态度很好。周围有超市，走一些路就是金砂公园和步行街。', '短评打分': 3}
{'短评内容': '感觉还不错，同样的房间配置，价格比七天优惠好多，还有饮用水送…窗户隔音效果也还不错！性价比挺高的！', '短评打分': 5}
{'短评内容': '房间干净卫生，很好', '短评打分': 3}
{'短评内容': '各方面都还不错,就是房间有点小.', '短评打分': 3}
{'短评内容': '酒店周围有好多吃的，很地道！酒店所处的环境也很好，非常安静。', '短评打分': 5}
{'短评内容': '前台跟服务员的服务都很好，房间很卫生，以后还会继续入住', '短评打分': 5}
{'短评内容': '前台服务态度很好，房间干净卫生，以后还会继续入住', '短评打分': 5}
{'短评内容': '感觉很舒服，床很好，交通也方便，附近也有电影院，超市,挺不错的', '短评打分': 5}
