{'短评内容': '什么都是可以，就是门不能反锁，没有安全感', '短评打分': 4}
{'短评内容': '硬件设备包含墙体，地板等都有些旧。服务不错，很安静。', '短评打分': 5}
{'短评内容': '如果网上订，八、九十块还算賈格实惠，到店付感觉就太贵了。设施比较旧一些，如果不计较，还是可以接受的。周围吃饭的地方多，很方便。', '短评打分': 4}
{'短评内容': '经济实惠，大众住得起的酒店', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': 'good', '短评打分': 4}
{'短评内容': '交通方便、离办公的地点很近', '短评打分': 5}
{'短评内容': '交通方便快捷、房间宽敞明亮、后面还有个小区、比较安静', '短评打分': 5}
{'短评内容': '房间大，干净，不错。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很好，因原来住的房间有问题要修就给我免费换了一间更贵的，很好。', '短评打分': 5}
{'短评内容': '挺干净的，价钱不错，而且服务态度很可以。', '短评打分': 3}
{'短评内容': '还好。内部设施还不错，就是房间有股味。不过还能接受。周边环境不太好', '短评打分': 5}
{'短评内容': '优点：房间够大，清洁卫生做得好\n缺点：因为房间大，空调制冷显得不足', '短评打分': 5}
{'短评内容': '    酒店装修简洁大方，主要是卫生很干净！前台服务非常细致周到，值得表扬！酒店位置也很合理，距离火车站不远，南宁的各个客运中心都挺近的，交通便利。赞一个！', '短评打分': 5}
{'短评内容': '上次有住过觉得还不错，这次是带朋友过去住的，和前台那美女挺有缘的，这次接待我们的又是她，还记得我叫什么，挺惊讶的。朋友也说房间蛮干净的，服务态度也好。下次会介绍朋友过来。', '短评打分': 1}
{'短评内容': '到了酒店之后的第一个房间还可以，发现网线不可用之后联系服务员，结果是给我调了一个很小的房间，虽说有窗户，但是变成了内窗，明明不是一个价位的房间，可是工作人员就是不承认。最可恶的是不能开发票，住了几天我找谁报销去？', '短评打分': 1}
{'短评内容': '前台服务员很漂亮态度也很好、很热情！房间很整洁，环境也还可以，交通也很便利。总体来说非常不错！', '短评打分': 5}
{'短评内容': '房间新装修的 挺干净，晚上也很安静，前台服务不错，还是性价比比较好一个经济型酒店。', '短评打分': 5}
