{'短评内容': '感觉良好，非常满意，地理位置优越，干净卫生，服务态度良好，房间安静，下一次出差要是来这边，还会选择这个酒店。', '短评打分': 5}
{'短评内容': '家里旁边，招待亲戚入住，没如家好', '短评打分': 3}
{'短评内容': '感觉一般', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '价格便宜，环境一般', '短评打分': 3}
{'短评内容': '环境一般，服务态度欠缺一点', '短评打分': 3}
{'短评内容': '去的时候热水器坏了，不能洗澡', '短评打分': 4}
{'短评内容': '真心差，房间还是没窗户的！态度也差！不会再去了', '短评打分': 3}
{'短评内容': '真的好一般 不过周边情况来讲 这个价格也算正常了', '短评打分': 3}
{'短评内容': '非常不推荐这家，首先，通过艺龙定特价房会被拒绝，只能定标间，但是到了入住的时候你会发现，所谓的标间就是特价房，没窗的那种，这完全是欺诈', '短评打分': 3}
{'短评内容': '蛮好的。。。。。。。。', '短评打分': 3}
{'短评内容': '住的还是可以的，不过就是服务还有待于进一步提高哈！', '短评打分': 4}
