{'短评内容': '前台服务态度冷淡', '短评打分': 5}
{'短评内容': '挺好的，就是房子小', '短评打分': 2}
{'短评内容': '环境不错，地点便利，整体感觉很好。携程预定也方便，优惠力度很大，离钟楼只有一站地，却没有那边吵闹，闹中取静。', '短评打分': 5}
{'短评内容': '酒店位置靠近地铁站 挺好的', '短评打分': 5}
{'短评内容': '不是很适合带太小的小朋友去。离地铁近，夜晚安静。', '短评打分': 4}
{'短评内容': '经济划算，住着挺好的', '短评打分': 5}
{'短评内容': '服务挺好的', '短评打分': 5}
{'短评内容': 'good.......', '短评打分': 5}
{'短评内容': '隔音不行，外面声音超级清楚，外面不知道是谁连着wifi一直和人视屏聊天，大清早被吵醒', '短评打分': 4}
{'短评内容': '帮妈妈跟妹妹订的，说是房间很差，什么也没有，表示很尴尬啊', '短评打分': 4}
{'短评内容': '服务很好 但是我住的房间没有窗户 而且浴室玻璃窗还是透明的 我媳妇都不好意思洗澡 哈哈哈哈哈', '短评打分': 5}
{'短评内容': '房间太小了，卫生还不错。', '短评打分': 4}
{'短评内容': '网络差的要命，还没手机网络快。', '短评打分': 3}
{'短评内容': '不喜欢', '短评打分': 3}
{'短评内容': '一开始定的特价房，下去之后还以为是地下室，睡了一晚头有点晕，后面加了一百调到了三楼', '短评打分': 4}
{'短评内容': '挺好的，就是有点小房间????', '短评打分': 5}
