{'短评内容': '还可以，卫生条件挺好，周边生活设施挺全的。', '短评打分': 5}
{'短评内容': '挺好的    挺干净   环境不错   有去天津旅游的朋友可以选择    性价比很高', '短评打分': 5}
{'短评内容': '交通、饮食方便。附近紧靠南开大学，天津师大，公交站也较近。', '短评打分': 5}
{'短评内容': '酒店住处很方便又实惠', '短评打分': 3}
{'短评内容': '还可以，挺干净的，楼下就是小市场，吃东西还算方便。', '短评打分': 5}
{'短评内容': '环境一般，总体也是一般', '短评打分': 4}
{'短评内容': '布局挺好，就是有点烟味太大，差不多对的起这个价吧', '短评打分': 3}
{'短评内容': '地方很好，周边很方便，但是不熟悉天津的人应该不算好找。周边小吃很多，天津早晨值得推荐。二楼的游戏城关门结业了，所以不吵。有电脑，没有电视，其他还是很方便的，屋子也算干净。活动期间的价钱算很合适的。', '短评打分': 5}
{'短评内容': '性价比不是很高。房间太小，没法用自己的电脑上网。窗子居然是开向楼道的。', '短评打分': 1}
{'短评内容': '基本上对的起这个价格了，就是床太软了，空调吹的嗓子疼。', '短评打分': 5}
{'短评内容': '很一般没有任何性价比。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '楼下是电玩城，味道很不好，各种乌烟瘴气；房间差，小，不推荐之！', '短评打分': 1}
{'短评内容': '感觉现在这个女服务员比原来的强，我纳闷，屋里没电视，弄个电脑，而且很憋的难受，不过价格不贵', '短评打分': 3}
{'短评内容': '听了一晚上的嘿咻声，隔音效果实在是...........', '短评打分': 1}
{'短评内容': '环境还行，就是有点难找。\n房屋卫生，格局各方面都还不错，很实惠。\n楼下有很多商店，很方便。总体来说是挺不错的。', '短评打分': 5}
{'短评内容': '还可以吧，就是我们住的那间小点，不过挺紧凑的功能还算齐。上网蛮方便，附近吃饭也方便，还可以吧。', '短评打分': 5}
{'短评内容': '第二次来了，和以往一样边喝酒边上网边。。呵呵！谁美谁知道', '短评打分': 5}
{'短评内容': '房间不大，但价格合适还送了我一张20元的打折卷，挺划算的。离南大、天大，水上都很近学习娱乐两不耽误。楼下有个台球和游戏厅真方便、最主要屋里有电脑还能上网。值得常来', '短评打分': 5}
{'短评内容': '过年太忙了，没时间评价一下，今来赞一下！！还好，挺干净的，老板人不错，老公给买的结婚礼物钻戒丢屋里了，他们帮着找到了。非常感谢！！最主要的这的电脑用着方便。总之以后常来。', '短评打分': 5}
{'短评内容': '去过几次，房间挺格局的有电脑网速还挺快，最好的就是游戏都自动更新，挺省事的，电影也不少，不错，我喜欢。房价还算好物有所值。', '短评打分': 5}
{'短评内容': '房间很小，洗澡的水不是很大。舒适程度隔音都一般吧。要求不高的话也是可以的。开门时房卡段在里边了服务员费了很大劲给我弄出来。', '短评打分': 1}
{'短评内容': '数码大床房\n外面看上去破破烂烂的，不过房间内部设施不错，干净整洁，房间隔音差些。\n离南开大学步行5到10分钟路程，边上吃的地方很多。\n楼下新开了一家游戏厅，不知道会不会对以后的经营有影响。', '短评打分': 1}
{'短评内容': '主要位置不错，价格合理。。 冲这个来的   房间不大但很舒适  暖气也足~~', '短评打分': 5}
{'短评内容': '有点吵，外面是什么机器始终在启动。。。。', '短评打分': 1}
{'短评内容': '空间面积小，卫生不是很好，价格还不实惠！好处就是可以打台球，周围吃饭比较方便。', '短评打分': 1}
