{'descr': '刚刚入住是139的 后来京东网上订购  118元  一样的房间 一样的服务 实惠', 'star': 5}
{'descr': '离火车站并不近，在太原比较破的老城区....................', 'star': 1}
{'descr': '交通方便，卫生较好，服务好。房间比较大。值得入住。', 'star': 5}
{'descr': '酒店交通很便利离火车站、汽车站都很近，房间干净明亮，大小也合适。', 'star': 5}
{'descr': '交通挺方便的，临火车站！服务人员很热情，下次还住着家酒店', 'star': 5}
{'descr': '十价格合理', 'star': 3}
{'descr': '挺好！也挺干净的！  \n   就是刚去不认识路还让别人宰了20块！ ', 'star': 5}
{'descr': '对于这个价位来说已经很好了……而且房间设施很贴心……', 'star': 5}
{'descr': '酒店位置还好，就是床不太柔软，卫生间浴室简单', 'star': 3}
{'descr': '装修还行,离火车站较近,环境还不错.下次还会去住.', 'star': 5}
{'descr': '环境相当一般！', 'star': 3}
{'descr': '交通方便，门口就有公交站点，卫生整洁，服务也不错，电视效果也不错。性价比不错，下次来还住这', 'star': 5}
{'descr': '卫生不错', 'star': 3}
{'descr': '环境一般，交通方便，离火车站近，还有院子可以免费停车。就是二楼餐厅有太吵。', 'star': 5}
{'descr': '没热水，地面懒得一塌糊涂。床上有蚊子……', 'star': 3}
{'descr': '环境差.服务也差', 'star': 3}
{'descr': '装修还可以,房间较大,还有麻将桌.比较安静.', 'star': 5}
{'descr': '这个酒店还算可以入住，不过与网上的有差距。而且地址也不是很容易找。', 'star': 3}
{'descr': '离火车站确实还算不远，下了车差不多很快就走到了，房间性价比确实还不错。很干净，该有的都有，设施也确实都很好。就是网线实在太短了，必须坐在凳子上上网。整体还是推荐。', 'star': 5}
{'descr': '住的还好，就是晚上有点冷。。。其他方面值得推荐', 'star': 5}
{'descr': '酒店很破旧，楼梯间一股很浓的霉味，设施也很差，对不起139元的价格，充其量也就是个招待所的水平。', 'star': 1}
{'descr': '不错了，，，性价比很高啊，，，就是传单上有些洗不掉的东西，这些需要改进的', 'star': 5}
{'descr': '房间设施不好，空调也不能用啊，上次的还凑合，这次真不行', 'star': 1}
{'descr': '隔音较差 单从房间环境来说140有点高', 'star': 3}
{'descr': '还好，，退房时间太早了吧，，，，，\n\n\n希望在客服入住前检查一下设施设备', 'star': 5}
{'descr': '挺好的。。。环境就挺的。。。值得去来，下次还来。。', 'star': 5}
{'descr': '定的是大床，感觉没以前标间干净！主要是床单上！而且晚上不知有啥东西，吵的厉害！5层背间！', 'star': 5}
{'descr': ' 房间太烂中央空调不热晚上冻死了。停了车堵的也出不来。前台服务太差爱搭不理的。再也不去了。', 'star': 3}
{'descr': '还可以     就是有点冷   希望多加修改', 'star': 5}
{'descr': '还行，就是酒店味道重，有点邋蹋！饭菜还好！', 'star': 3}
{'descr': '定了一个标间和大床,还算干净，暖气不好,空调太响,不过价格很超值,值得推荐', 'star': 3}
{'descr': '价格很优惠，就是空调声音太大了，晚上只能关了空调睡，有些冷。', 'star': 5}
{'descr': '服务水平较低，服务意识较差。新建酒店卫生装修应该较好，可实际较差。有宽带没有电脑。有电视，频道太少。预定了房间就应该保留，可实际上只保留了配楼的麻将屋，感觉不受重视，房间卧具、水杯等感觉不太干净。房间电话也是坏的。电话里推荐的内容与实际的相差较大。结帐发票应备充足，可结帐时说发票用完，只能邮寄，影响单位按时报销，感觉不好', 'star': 1}
{'descr': '房间不错，环境也挺好的。推荐。', 'star': 3}
{'descr': ' 比较可以        以后还会入住此酒店', 'star': 5}
{'descr': '房间不错,很干净,就是热水小了点,还有空调声太响了.总的说对的起这价格', 'star': 3}
{'descr': '还不错，标准的商务快捷酒店。', 'star': 3}
{'descr': '酒店服务很好，挺周到的', 'star': 3}
{'descr': '环境不错，隔音效果稍微差点，总体来说哦还是可以经常光临的', 'star': 5}
{'descr': '房间里东西简单实用，作为旅途中转过夜很是合适。过道前台可以稍加翻新，相信感觉会更好，房里也可加两小画增加趣味。', 'star': 3}
{'descr': '酒店服务态度有点差,有许多地方都不够周到,不给开发票.', 'star': 3}
{'descr': '挺好的，服务不错', 'star': 3}
{'descr': '酒店地理位置便利，外观一般，但里边房间还行', 'star': 3}
{'descr': '三人间的房间还算实用，位置也还好，经济实惠。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '太原捷程离火车站和长途汽车总站都很近，交通非常方便，酒店的服务很好，也很干净。', 'star': 3}
{'descr': '房间整洁卫生', 'star': 3}
{'descr': '房价不低，但是条件不太好，房间内部档次中等，走廊的噪音很大，房间隔音的效果不好。', 'star': 1}
{'descr': '环境好，休息的很舒服，前台服务小姐的态度也很好', 'star': 5}
{'descr': '不错，', 'star': 3}
{'descr': '环境卫生，设施完好，卫生间还装有吹风机感到很贴心！下回再来，推荐给其他朋友第一次来太原一定要体验一下，离火车站很近的！', 'star': 5}
{'descr': '方便', 'star': 3}
{'descr': '环境还行了。', 'star': 3}
{'descr': '酒店清洁度还行，环境也不错，网速有点慢，最主要的是没有浴帽！', 'star': 3}
{'descr': '没热水，床上头发太多…', 'star': 3}
{'descr': '总的来说很好，唯一不足的是淋浴是坏的……', 'star': 5}
{'descr': '一般', 'star': 3}
