{'短评内容': '不错哦哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦', '短评打分': 4}
{'短评内容': '不错的选择(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦', '短评打分': 4}
{'短评内容': '每次来这里出差都住这个酒店，算熟客了。周边交通也方便，出去吃饭有很多选择。房间很大，床品很舒服。卫生间也干净，没有异味。', '短评打分': 5}
{'短评内容': '一般般，房间小', '短评打分': 3}
{'短评内容': '早餐丰盛，位置可以，离高铁站近。', '短评打分': 5}
{'短评内容': '酒店整体不错，硬件很好。但软件服务值得商榷。check-in  和check-out效率较差。周边很方便。下次再来。', '短评打分': 4}
{'短评内容': '性价比比较高的酒店', '短评打分': 5}
{'短评内容': '房间还不错，比现场预定优惠', '短评打分': 5}
{'短评内容': '可以可以', '短评打分': 5}
{'短评内容': '商务出差，方便。', '短评打分': 4}
{'短评内容': '周边交通方便，酒店位置不错。房间干净 舒适。早餐也有很多选择。以后也会继续选择。', '短评打分': 5}
{'短评内容': '很好的酒店，气派。交通便利，吃饭方便及坐车都方便，值得推荐，下次来还会考虑的。地理位置也较理想。行行。', '短评打分': 5}
{'短评内容': '酒店环境不错，整体的入住体验还是可以的', '短评打分': 5}
{'短评内容': '到上虞出差，看评价定了此酒店，酒店性价比不错，周围吃饭方便！早餐品种相对较少，希望提高，其他都还可以！', '短评打分': 5}
{'短评内容': '到上虞出差，看评价定了此酒店，酒店性价比不错，周围吃饭方便！早餐品种相对较少，希望提高，其他都还可以！', '短评打分': 5}
{'短评内容': '很不错的四星级酒店，只是早餐有点简陋。', '短评打分': 4}
{'短评内容': '不错，没房了，免费帮忙升级的更好的房间。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '出差住宿蛮好的', '短评打分': 4}
{'短评内容': '房间挺宽敞的，干净整洁，服务员态度较好，wifi入户方便，就是缺少娱乐项目', '短评打分': 5}
{'短评内容': '，出行还是方便不错，比较卫生，下次入住推荐', '短评打分': 5}
{'短评内容': '挺好的。！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店很好~以這樣一個價位可以有這樣的服務很好的。早餐也豐富。是不錯的選擇。雖然房間沒有冰箱~但是很樂意又繼續再住幾晚吧~', '短评打分': 3}
{'短评内容': '营业没几年的酒店，墙壁已有发霉的地方，隔音很差，朋友来看我，把车停地下室，保安人员给安排的车位，没过多久，就来电话说影响其他客人车子进出，让去开走，不知道这是怎么培训的，一点也不为客人着想，实在是不满意！', '短评打分': 1}
{'短评内容': ' 没住上，说什么杨梅节。', '短评打分': 3}
{'短评内容': '环境很好，服务也很好！！！', '短评打分': 5}
